Transcript_Id	Length	Source	evalue	Symbol	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_17332_0_1	722	PLDB	5.00E-12	NP_001010926.1	HES5 bHLHb38	hes family bHLH transcription factor 5	Homo sapiens
dd_Smed_v6_17402_0_1	1619	PLDB	2.00E-28	NP_001710.1	BMP7 OP-1	bone morphogenetic protein 7	Homo sapiens
dd_Smed_v6_176_0_1	451	PLDB	6.00E-80	NP_003324.1	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_17854_0_1	1126	PLDB	3.00E-62	NP_064647.1	ARRB1 ARB1 ARR1	arrestin beta 1	Homo sapiens
dd_Smed_v6_18389_0_1	1468	PLDB	3.00E-46	NP_005242.1	FOXC2 FKHL14 LD MFH-1 MFH1	forkhead box C2	Homo sapiens
dd_Smed_v6_1868_0_1	2075	PLDB	1.00E-81	NP_002810.1	PTBP1 HNRNP-I HNRNPI HNRPI PTB PTB-1 PTB-T PTB2 PTB3 PTB4 pPTB	polypyrimidine tract binding protein 1	Homo sapiens
dd_Smed_v6_1934_0_1	1548	PLDB	2.00E-18	NP_001136123.1	NEURL1B NEURL3 hNeur2 neur2	neuralized E3 ubiquitin protein ligase 1B	Homo sapiens
dd_Smed_v6_19631_0_1	1408	PLDB	1.00E-134	NP_004304.1	ARRB2 ARB2 ARR2 BARR2	"arrestin, beta 2"	Homo sapiens
dd_Smed_v6_1976_0_1	1613	PLDB	0	NP_004682.2	ATP6V0D1 ATP6D ATP6DV P39 VATX VMA6 VPATPD	ATPase H  transporting V0 subunit d1	Homo sapiens
dd_Smed_v6_2001_0_1	708	PLDB	3.00E-18	NP_061828.1	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_20122_0_1	1028	PLDB	1.00E-19	NP_006048.1	"B3GALT5 B3GalT-V B3GalTx B3T5 GLCT5 beta-1,3-GalTase 5 beta-3-Gx-T5 beta3Gal-T5"	"beta-1,3-galactosyltransferase 5"	Homo sapiens
dd_Smed_v6_20133_0_1	1048	PLDB	8.00E-27	NP_055778.2	SBNO2 KIAA0963 SNO STNO	strawberry notch homolog 2 (Drosophila)	Homo sapiens
dd_Smed_v6_20243_0_1	252	PLDB	1.00E-28	NP_002945.1	RPS27A CEP80 HEL112 S27A UBA80 UBC UBCEP1 UBCEP80	ribosomal protein S27a	Homo sapiens
dd_Smed_v6_20764_0_1	1080	PLDB	3.00E-11	NP_055159.2	FJX1	four jointed box 1	Homo sapiens
dd_Smed_v6_21574_0_1	2530	PLDB	7.00E-140	NP_060653.3	SBNO1 MOP3 Sno	strawberry notch homolog 1 (Drosophila)	Homo sapiens
dd_Smed_v6_22479_0_1	1151	PLDB	2.00E-16	XP_005266935.1	HEY2 CHF1 GRIDLOCK GRL HERP1 HESR2 HRT2 bHLHb32	hes related family bHLH transcription factor with YRPW motif 2	Homo sapiens
dd_Smed_v6_2325_0_1	1776	PLDB	2.00E-102	XP_005267471.1	SNW1 Bx42 NCOA-62 PRPF45 Prp45 SKIIP SKIP	SNW domain containing 1	Homo sapiens
dd_Smed_v6_2341_0_1	3074	PLDB	7.00E-144	NP_001101.1	ADAM10 AD10 AD18 CD156c HsT18717 MADM RAK kuz	ADAM metallopeptidase domain 10	Homo sapiens
dd_Smed_v6_2439_0_1	925	PLDB	7.00E-40	NP_077016.2	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1	Homo sapiens
dd_Smed_v6_2478_0_1	1581	PLDB	7.00E-20	NP_036331.1	AGO1 EIF2C EIF2C1 GERP95 Q99	argonaute RISC catalytic component 1	Homo sapiens
dd_Smed_v6_2490_0_1	725	PLDB	6.00E-09	NP_061828.1	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_24931_0_1	1053	PLDB	5.00E-18	NP_006048.1	"B3GALT5 B3GalT-V B3GalTx B3T5 GLCT5 beta-1,3-GalTase 5 beta-3-Gx-T5 beta3Gal-T5"	"beta-1,3-galactosyltransferase 5"	Homo sapiens
dd_Smed_v6_2525_0_1	7037	PLDB	3.00E-105	NP_001271145.1	TRIP12 TRIP-12 ULF	thyroid hormone receptor interactor 12	Homo sapiens
dd_Smed_v6_2525_0_2	6995	PLDB	4.00E-105	NP_001271145.1	TRIP12 TRIP-12 ULF	thyroid hormone receptor interactor 12	Homo sapiens
dd_Smed_v6_2525_0_3	6811	PLDB	3.00E-105	NP_001271145.1	TRIP12 TRIP-12 ULF	thyroid hormone receptor interactor 12	Homo sapiens
dd_Smed_v6_2525_0_4	6769	PLDB	4.00E-105	NP_001271145.1	TRIP12 TRIP-12 ULF	thyroid hormone receptor interactor 12	Homo sapiens
dd_Smed_v6_25321_0_1	836	PLDB	9.00E-28	NP_003097.1	SOX2 ANOP3 MCOPS3	SRY-box 2	Homo sapiens
dd_Smed_v6_2537_0_1	1232	PLDB	3.00E-17	NP_001071096.1	APH1A 6530402N02Rik APH-1 APH-1A CGI-78	"aph-1 homolog A, gamma-secretase subunit"	Homo sapiens
dd_Smed_v6_2561_0_1	1976	PLDB	1.00E-20	NP_958817.1	APP AAA ABETA ABPP AD1 APPI CTFgamma CVAP PN-II PN2	amyloid beta (A4) precursor protein	Homo sapiens
dd_Smed_v6_25683_0_1	443	PLDB	3.00E-10	XP_005260107.1	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_2650_0_1	1770	PLDB	0	NP_115882.1	AP1M1 AP47 CLAPM2 CLTNM MU-1A	adaptor related protein complex 1 mu 1 subunit	Homo sapiens
dd_Smed_v6_2651_0_1	2778	PLDB	1.00E-86	NP_037434.1	EEF2K HSU93850 eEF-2K	eukaryotic elongation factor 2 kinase	Homo sapiens
dd_Smed_v6_2795_0_1	771	PLDB	2.00E-16	NP_758844.1	PSENEN MSTP064 PEN-2 PEN2	presenilin enhancer gamma secretase subunit	Homo sapiens
dd_Smed_v6_28398_0_1	1245	PLDB	1.00E-56	NP_005421.1	WNT1 BMND16 INT1 OI15	Wnt family member 1	Homo sapiens
dd_Smed_v6_31415_0_1	1114	PLDB	4.00E-69	NP_060879.2	LRP2BP	LRP2 binding protein	Homo sapiens
dd_Smed_v6_3247_0_1	3139	PLDB	2.00E-180	XP_005247833.1	TBL1XR1 C21 DC42 IRA1 TBLR1	transducin (beta)-like 1 X-linked receptor 1	Homo sapiens
dd_Smed_v6_325_0_1	866	PLDB	1.00E-65	NP_003324.1	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_3378_0_1	12783	PLDB	1.00E-166	NP_113584.3	HUWE1 ARF-BP1 HECTH9 HSPC272 Ib772 LASU1 MULE URE-B1 UREB1	"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"	Homo sapiens
dd_Smed_v6_338_0_1	437	PLDB	8.00E-12	NP_003324.1	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_3450_0_1	4398	PLDB	5.00E-40	NP_002810.1	PTBP1 HNRNP-I HNRNPI HNRPI PTB PTB-1 PTB-T PTB2 PTB3 PTB4 pPTB	polypyrimidine tract binding protein 1	Homo sapiens
dd_Smed_v6_3464_0_1	2322	PLDB	0	NP_005056.3	SEL1L PRO1063 SEL1-LIKE SEL1L1	SEL1L ERAD E3 ligase adaptor subunit	Homo sapiens
dd_Smed_v6_3464_0_2	2262	PLDB	0	NP_005056.3	SEL1L PRO1063 SEL1-LIKE SEL1L1	SEL1L ERAD E3 ligase adaptor subunit	Homo sapiens
dd_Smed_v6_38428_0_1	1168	PLDB	5.00E-13	NP_001101.1	ADAM10 AD10 AD18 CD156c HsT18717 MADM RAK kuz	ADAM metallopeptidase domain 10	Homo sapiens
dd_Smed_v6_3861_0_1	3233	PLDB	0	NP_036286.2	AGO2 EIF2C2 Q10	"argonaute 2, RISC catalytic component"	Homo sapiens
dd_Smed_v6_39015_0_1	1271	PLDB	1.00E-23	NP_001186930.1	NOTCH2 AGS2 HJCYS hN2	notch 2	Homo sapiens
dd_Smed_v6_4112_0_1	3050	PLDB	2.00E-154	NP_001269911.1	TLE3 ESG ESG3 GRG3 HsT18976	transducin like enhancer of split 3	Homo sapiens
dd_Smed_v6_422_0_1	606	PLDB	1.00E-08	NP_061828.1	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_4310_0_1	1254	PLDB	2.00E-70	NP_064541.1	C1GALT1 C1GALT T-synthase	"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"	Homo sapiens
dd_Smed_v6_453_0_1	1466	PLDB	0	NP_005712.1	ACTR3 ARP3	ARP3 actin-related protein 3 homolog (yeast)	Homo sapiens
dd_Smed_v6_458_0_1	386	PLDB	6.00E-48	NP_061828.1	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_4639_0_1	3432	PLDB	2.00E-83	XP_006721532.1	DVL2	dishevelled segment polarity protein 2	Homo sapiens
dd_Smed_v6_4639_0_2	3387	PLDB	3.00E-85	XP_006721532.1	DVL2	dishevelled segment polarity protein 2	Homo sapiens
dd_Smed_v6_4639_0_3	3072	PLDB	9.00E-84	XP_006721532.1	DVL2	dishevelled segment polarity protein 2	Homo sapiens
dd_Smed_v6_4639_0_4	3027	PLDB	9.00E-86	XP_006721532.1	DVL2	dishevelled segment polarity protein 2	Homo sapiens
dd_Smed_v6_4779_0_1	2643	PLDB	6.00E-64	NP_683723.2	EPN2 EHB21	epsin 2	Homo sapiens
dd_Smed_v6_4807_0_1	2955	PLDB	1.00E-84	XP_005260031.1	CC2D1A FREUD-1 Freud-1/Aki1 MRT3	coiled-coil and C2 domain containing 1A	Homo sapiens
dd_Smed_v6_48430_0_1	490	PLDB	2.00E-29	XP_005260840.1	OVOL2 EUROIMAGE566589 ZNF339	ovo-like zinc finger 2	Homo sapiens
dd_Smed_v6_4846_0_1	1595	PLDB	3.00E-122	NP_036227.1	AP3M1	adaptor related protein complex 3 mu 1 subunit	Homo sapiens
dd_Smed_v6_4880_0_1	1633	PLDB	1.00E-10	NP_065825.1	MIB1 DIP-1 DIP1 LVNC7 MIB ZZANK2 ZZZ6	mindbomb E3 ubiquitin protein ligase 1	Homo sapiens
dd_Smed_v6_4978_0_1	1016	PLDB	1.00E-93	NP_005181.2	CCNC CycC	cyclin C	Homo sapiens
dd_Smed_v6_5009_0_1	725	PLDB	8.00E-63	NP_115729.1	VPS25 DERP9 EAP20 FAP20	vacuolar protein sorting 25 homolog	Homo sapiens
dd_Smed_v6_5131_0_1	3386	PLDB	3.00E-104	NP_001269682.1	TLE4 BCE-1 BCE1 E(spI) ESG ESG4 GRG4	transducin-like enhancer of split 4	Homo sapiens
dd_Smed_v6_522_0_1	1028	PLDB	3.00E-84	NP_005393.2	RALA RAL	RALA Ras like proto-oncogene A	Homo sapiens
dd_Smed_v6_52385_0_1	306	PLDB	2.00E-06	XP_005260108.1	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_5563_0_1	2168	PLDB	2.00E-11	NP_001108453.1	TP63 AIS B(p51A) B(p51B) EEC3 KET LMS NBP OFC8 RHS SHFM4 TP53CP TP53L TP73L p40 p51 p53CP p63 p73H p73L	tumor protein p63	Homo sapiens
dd_Smed_v6_5602_0_1	927	PLDB	4.00E-73	XP_006721539.1	EPN2 EHB21	epsin 2	Homo sapiens
dd_Smed_v6_5709_0_1	1221	PLDB	0	NP_001491.1	GMDS GMD SDR3E1	"GDP-mannose 4,6-dehydratase"	Homo sapiens
dd_Smed_v6_5770_0_1	2848	PLDB	0	NP_003583.2	CUL1	cullin 1	Homo sapiens
dd_Smed_v6_57865_0_1	314	PLDB	7.00E-13	NP_003324.1	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_5837_0_1	4320	PLDB	6.00E-158	NP_001278350.1	KDM6A KABUK2 UTX bA386N14.2	lysine demethylase 6A	Homo sapiens
dd_Smed_v6_6047_0_1	1562	PLDB	0	NP_056958.3	RBPJ AOS3 CBF1 IGKJRB IGKJRB1 KBF2 RBP-J RBPJK RBPSUH SUH csl	recombination signal binding protein for immunoglobulin kappa J region	Homo sapiens
dd_Smed_v6_6104_0_1	4924	PLDB	2.00E-131	NP_065825.1	MIB1 DIP-1 DIP1 LVNC7 MIB ZZANK2 ZZZ6	mindbomb E3 ubiquitin protein ligase 1	Homo sapiens
dd_Smed_v6_6104_0_2	4876	PLDB	4.00E-153	NP_065825.1	MIB1 DIP-1 DIP1 LVNC7 MIB ZZANK2 ZZZ6	mindbomb E3 ubiquitin protein ligase 1	Homo sapiens
dd_Smed_v6_6104_0_3	4874	PLDB	2.00E-131	NP_065825.1	MIB1 DIP-1 DIP1 LVNC7 MIB ZZANK2 ZZZ6	mindbomb E3 ubiquitin protein ligase 1	Homo sapiens
dd_Smed_v6_6104_0_4	4826	PLDB	3.00E-153	NP_065825.1	MIB1 DIP-1 DIP1 LVNC7 MIB ZZANK2 ZZZ6	mindbomb E3 ubiquitin protein ligase 1	Homo sapiens
dd_Smed_v6_6309_0_1	3307	PLDB	5.00E-79	XP_006719656.1	GNPTAB GNPTA ICD	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits	Homo sapiens
dd_Smed_v6_6340_0_1	4636	PLDB	0	NP_001073315.1	CREBBP CBP KAT3A RSTS	CREB binding protein	Homo sapiens
dd_Smed_v6_6366_0_1	1822	PLDB	3.00E-46	NP_919299.3	B3GALTL B3GLCT B3GTL B3Glc-T Gal-T beta3Glc-T	"beta 1,3-galactosyltransferase-like"	Homo sapiens
dd_Smed_v6_6366_0_2	1772	PLDB	2.00E-51	NP_919299.3	B3GALTL B3GLCT B3GTL B3Glc-T Gal-T beta3Glc-T	"beta 1,3-galactosyltransferase-like"	Homo sapiens
dd_Smed_v6_6366_0_3	1764	PLDB	1.00E-51	NP_919299.3	B3GALTL B3GLCT B3GTL B3Glc-T Gal-T beta3Glc-T	"beta 1,3-galactosyltransferase-like"	Homo sapiens
dd_Smed_v6_6366_0_4	1714	PLDB	1.00E-63	XP_006719831.1	B3GALTL B3GLCT B3GTL B3Glc-T Gal-T beta3Glc-T	"beta 1,3-galactosyltransferase-like"	Homo sapiens
dd_Smed_v6_6366_0_6	1086	PLDB	2.00E-19	NP_919299.3	B3GALTL B3GLCT B3GTL B3Glc-T Gal-T beta3Glc-T	"beta 1,3-galactosyltransferase-like"	Homo sapiens
dd_Smed_v6_6366_0_8	1028	PLDB	7.00E-27	XP_006719831.1	B3GALTL B3GLCT B3GTL B3Glc-T Gal-T beta3Glc-T	"beta 1,3-galactosyltransferase-like"	Homo sapiens
dd_Smed_v6_6418_0_1	3237	PLDB	3.00E-16	NP_066289.3	UBC HMG20	ubiquitin C	Homo sapiens
dd_Smed_v6_6428_0_1	1775	PLDB	7.00E-57	NP_001013433.1	FBXW7 AGO CDC4 FBW6 FBW7 FBX30 FBXO30 FBXW6 SEL-10 SEL10 hAgo hCdc4	"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase"	Homo sapiens
dd_Smed_v6_6458_0_1	7845	PLDB	2.00E-59	NP_055816.2	SPEN HIAA0929 MINT RBM15C SHARP	spen family transcriptional repressor	Homo sapiens
dd_Smed_v6_6545_0_1	1567	PLDB	3.00E-18	XP_006710437.1	MIB2 ZZANK1 ZZZ5	mindbomb E3 ubiquitin protein ligase 2	Homo sapiens
dd_Smed_v6_6929_0_1	1680	PLDB	2.00E-17	NP_000205.1	JAG1 AGS AHD AWS CD339 HJ1 JAGL1	jagged 1	Homo sapiens
dd_Smed_v6_6988_1_1	870	PLDB	2.00E-37	NP_078804.2	NKAP	NFKB activating protein	Homo sapiens
dd_Smed_v6_7067_0_1	7594	PLDB	0	NP_077719.2	NOTCH2 AGS2 HJCYS hN2	notch 2	Homo sapiens
dd_Smed_v6_7067_0_2	3557	PLDB	7.00E-52	XP_005259981.1	NOTCH3 CADASIL CASIL IMF2	notch 3	Homo sapiens
dd_Smed_v6_7297_0_1	866	PLDB	5.00E-65	NP_004153.2	RAB5A RAB5	"RAB5A, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_746_0_1	1127	PLDB	5.00E-78	NP_006818.3	TMED10 P24(DELTA) S31I125 S31III125 TMP21 Tmp-21-I p23	transmembrane emp24-like trafficking protein 10 (yeast)	Homo sapiens
dd_Smed_v6_7527_0_1	5116	PLDB	3.00E-67	NP_001284523.1	SEL1L3 Sel-1L3	SEL1L family member 3	Homo sapiens
dd_Smed_v6_7527_0_2	4869	PLDB	3.00E-67	NP_001284523.1	SEL1L3 Sel-1L3	SEL1L family member 3	Homo sapiens
dd_Smed_v6_7527_0_3	4496	PLDB	4.00E-67	XP_005248200.1	SEL1L3 Sel-1L3	sel-1 suppressor of lin-12-like 3 (C. elegans)	Homo sapiens
dd_Smed_v6_7594_0_1	3432	PLDB	2.00E-101	NP_036286.2	AGO2 EIF2C2 Q10	"argonaute 2, RISC catalytic component"	Homo sapiens
dd_Smed_v6_7626_0_1	543	PLDB	7.00E-15	NP_061828.1	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_7709_0_1	4302	PLDB	3.00E-33	XP_006721668.1	NCOR1 N-CoR N-CoR1 PPP1R109 TRAC1 hN-CoR	nuclear receptor corepressor 1	Homo sapiens
dd_Smed_v6_7923_0_1	784	PLDB	9.00E-21	NP_075565.2	COA7 C1orf163 RESA1 SELRC1	cytochrome c oxidase assembly factor 7 (putative)	Homo sapiens
dd_Smed_v6_796_0_1	1208	PLDB	2.00E-88	NP_004574.2	RAB5C L1880 RAB5CL RAB5L RABL	"RAB5C, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_8104_0_1	2757	PLDB	2.00E-35	NP_003097.1	SOX2 ANOP3 MCOPS3	SRY-box 2	Homo sapiens
dd_Smed_v6_8154_0_1	2098	PLDB	6.00E-50	NP_001265659.1	GAS2L1 GAR22	growth arrest specific 2 like 1	Homo sapiens
dd_Smed_v6_8163_0_1	1577	PLDB	4.00E-37	NP_114436.1	B3GNT5 B3GN-T5 beta3Gn-T5	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"	Homo sapiens
dd_Smed_v6_8211_0_1	1498	PLDB	9.00E-101	NP_001013433.1	FBXW7 AGO CDC4 FBW6 FBW7 FBX30 FBXO30 FBXW6 SEL-10 SEL10 hAgo hCdc4	"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase"	Homo sapiens
dd_Smed_v6_8303_0_1	1445	PLDB	2.00E-72	NP_001005745.1	NUMB C14orf41 S171 c14_5527	numb homolog (Drosophila)	Homo sapiens
dd_Smed_v6_8442_0_1	1722	PLDB	1.00E-52	XP_006721539.1	EPN2 EHB21	epsin 2	Homo sapiens
dd_Smed_v6_8613_0_1	4046	PLDB	0	NP_001420.2	EP300 KAT3B RSTS2 p300	E1A binding protein p300	Homo sapiens
dd_Smed_v6_8737_0_1	1377	PLDB	2.00E-21	NP_060726.3	WDR12 YTM1	WD repeat domain 12	Homo sapiens
dd_Smed_v6_9343_0_1	4807	PLDB	0	NP_001073315.1	CREBBP CBP KAT3A RSTS	CREB binding protein	Homo sapiens
dd_Smed_v6_9576_0_1	1808	PLDB	2.00E-86	NP_037434.1	EEF2K HSU93850 eEF-2K	eukaryotic elongation factor 2 kinase	Homo sapiens
dd_Smed_v6_9651_0_1	1380	PLDB	4.00E-67	NP_001488.2	B4GALT1 B4GAL-T1 CDG2D GGTB2 GT1 GTB beta4Gal-T1	"beta-1,4-galactosyltransferase 1"	Homo sapiens
dd_Smed_v6_9682_0_1	2166	PLDB	2.00E-39	NP_001188474.1	RBM15 OTT OTT1 SPEN	RNA binding motif protein 15	Homo sapiens
dd_Smed_v6_9780_0_1	1306	PLDB	8.00E-83	NP_060879.2	LRP2BP	LRP2 binding protein	Homo sapiens
