transcript_id	transcript_length	transcript_source	evalue	score_type	symbol	blast_symbol	blast_description	target_species
dd_Smed_v6_11022_0_1	1647	PLDB	8.00E-06	e-value	XP_005255433.1	RRN3 A-270G1.2 TIFIA	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	Homo sapiens
dd_Smed_v6_11024_0_1	3081	PLDB	3.00E-80	e-value	NP_075252.2	FGFR4 CD334 JTK2 TKF	fibroblast growth factor receptor 4	Homo sapiens
dd_Smed_v6_11026_0_1	769	PLDB	4.00E-41	e-value	NP_001171172.1	IFT27 BBS19 RABL4 RAYL	intraflagellar transport 27	Homo sapiens
dd_Smed_v6_11041_0_1	2350	PLDB	4.00E-81	e-value	NP_056016.1	BOP1	block of proliferation 1	Homo sapiens
dd_Smed_v6_11070_0_1	1469	PLDB	1.00E-21	e-value	NP_003004.1	SFRP2 FRP-2 SARP1 SDF-5	secreted frizzled related protein 2	Homo sapiens
dd_Smed_v6_11071_0_1	776	PLDB	4.00E-60	e-value	NP_004152.1	RAB1A RAB1 YPT1	"RAB1A, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_11087_0_1	1961	PLDB	2.00E-40	e-value	NP_055228.2	EIF2AK1 HCR HRI	eukaryotic translation initiation factor 2 alpha kinase 1	Homo sapiens
dd_Smed_v6_11134_0_3	2380	PLDB	6.00E-25	e-value	XP_006721382.1	CBFA2T3 ETO2 MTG16 MTGR2 ZMYND4	"core-binding factor, runt domain, alpha subunit 2. translocated to, 3"	Homo sapiens
dd_Smed_v6_11134_0_4	2265	PLDB	5.00E-25	e-value	XP_006721382.1	CBFA2T3 ETO2 MTG16 MTGR2 ZMYND4	"core-binding factor, runt domain, alpha subunit 2. translocated to, 3"	Homo sapiens
dd_Smed_v6_11134_0_5	2144	PLDB	2.00E-24	e-value	NP_783553.1	RUNX1T1 AML1T1 CBFA2T1 CDR ETO MTG8 ZMYND2	"runt-related transcription factor 1. translocated to, 1 (cyclin D-related)"	Homo sapiens
dd_Smed_v6_11134_0_6	2029	PLDB	2.00E-24	e-value	NP_783553.1	RUNX1T1 AML1T1 CBFA2T1 CDR ETO MTG8 ZMYND2	"runt-related transcription factor 1. translocated to, 1 (cyclin D-related)"	Homo sapiens
dd_Smed_v6_11134_0_7	1529	PLDB	8.00E-25	e-value	XP_006721382.1	CBFA2T3 ETO2 MTG16 MTGR2 ZMYND4	"core-binding factor, runt domain, alpha subunit 2. translocated to, 3"	Homo sapiens
dd_Smed_v6_1113_0_1	1099	PLDB	3.00E-130	e-value	NP_002856.1	RAB2A LHX RAB2	"RAB2A, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_11140_0_1	5626	PLDB	0	e-value	NP_006819.2	ASCC3 ASC1p200 HELIC1 RNAH	activating signal cointegrator 1 complex subunit 3	Homo sapiens
dd_Smed_v6_1118_0_1	1815	PLDB	0	e-value	NP_005539.1	KARS CMTRIB DFNB89 KARS1 KARS2 KRS	lysyl-tRNA synthetase	Homo sapiens
dd_Smed_v6_11198_0_1	1278	PLDB	1.00E-32	e-value	NP_006159.2	NKX6-1 NKX6.1 NKX6A	NK6 homeobox 1	Homo sapiens
dd_Smed_v6_11236_0_1	2031	PLDB	9.00E-49	e-value	NP_000515.2	HTR1A 5-HT-1A 5-HT1A 5HT1a ADRB2RL1 ADRBRL1 G-21 PFMCD	5-hydroxytryptamine receptor 1A	Homo sapiens
dd_Smed_v6_11265_0_1	1381	PLDB	3.00E-112	e-value	NP_001777.1	CDK1 CDC2 CDC28A P34CDC2	cyclin-dependent kinase 1	Homo sapiens
dd_Smed_v6_11279_0_1	1660	PLDB	0	e-value	NP_057492.2	CDK5RAP1 C20orf34 C42 CGI-05 HSPC167	CDK5 regulatory subunit associated protein 1	Homo sapiens
dd_Smed_v6_11285_0_1	2516	PLDB	2.00E-12	e-value	NP_068742.2	FGFRL1 FGFR5 FHFR	fibroblast growth factor receptor-like 1	Homo sapiens
dd_Smed_v6_11310_0_1	4798	PLDB	1.00E-92	e-value	NP_005226.1	ERBB4 ALS19 HER4 p180erbB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	Homo sapiens
dd_Smed_v6_11354_0_1	1735	PLDB	2.00E-07	e-value	NP_004611.1	TRAF6 MGC:3310 RNF85	TNF receptor associated factor 6	Homo sapiens
dd_Smed_v6_11357_0_1	787	PLDB	1.00E-46	e-value	NP_008839.2	RAC1 Rac-1 TC-25 p21-Rac1	"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	Homo sapiens
dd_Smed_v6_11363_0_1	2859	PLDB	3.00E-178	e-value	NP_002303.2	LIG4	"ligase IV, DNA, ATP-dependent"	Homo sapiens
dd_Smed_v6_1136_0_1	597	PLDB	5.00E-60	e-value	NP_055063.1	RBX1 BA554C12.1 RNF75 ROC1	ring-box 1	Homo sapiens
dd_Smed_v6_11370_0_1	1547	PLDB	6.00E-125	e-value	NP_149017.2	BBS4	Bardet-Biedl syndrome 4	Homo sapiens
dd_Smed_v6_11372_0_1	1818	PLDB	8.00E-154	e-value	NP_001275504.1	EYA1 BOP BOR BOS1 OFC1	EYA transcriptional coactivator and phosphatase 1	Homo sapiens
dd_Smed_v6_1140_0_1	14199	PLDB	0	e-value	NP_001367.2	DYNC1H1 DHC1 DHC1a DNCH1 DNCL DNECL DYHC Dnchc1 HL-3 SMALED1 p22	"dynein, cytoplasmic 1, heavy chain 1"	Homo sapiens
dd_Smed_v6_11453_0_1	1686	PLDB	5.00E-94	e-value	XP_006721881.1	KAT2A GCN5 GCN5L2 PCAF-b hGCN5	lysine acetyltransferase 2A	Homo sapiens
dd_Smed_v6_11478_0_1	912	PLDB	1.00E-23	e-value	NP_000309.1	PEX2 PAF1 PBD5A PBD5B PMP3 PMP35 PXMP3 RNF72 ZWS3	peroxisomal biogenesis factor 2	Homo sapiens
dd_Smed_v6_11487_0_1	1398	PLDB	1.00E-08	e-value	NP_114172.1	CCNB1 CCNB	cyclin B1	Homo sapiens
dd_Smed_v6_11521_0_1	2532	PLDB	1.00E-34	e-value	NP_071758.1	LHX5	LIM homeobox 5	Homo sapiens
dd_Smed_v6_11535_0_1	1375	PLDB	5.00E-42	e-value	NP_116246.2	LACTB G24 MRPL56	lactamase beta	Homo sapiens
dd_Smed_v6_11544_0_1	2746	PLDB	9.00E-61	e-value	NP_570711.1	MEN1 MEAI SCG2	menin 1	Homo sapiens
dd_Smed_v6_11561_0_1	1949	PLDB	0	e-value	NP_002028.1	FYN SLK SYN p59-FYN	"FYN proto-oncogene, Src family tyrosine kinase"	Homo sapiens
dd_Smed_v6_11598_0_1	1437	PLDB	6.00E-132	e-value	NP_001139628.1	GSK3B	glycogen synthase kinase 3 beta	Homo sapiens
dd_Smed_v6_11635_0_1	1180	PLDB	1.00E-19	e-value	NP_057647.1	RASL12 RIS	"RAS-like, family 12"	Homo sapiens
dd_Smed_v6_11674_0_1	2064	PLDB	2.00E-131	e-value	NP_001258973.1	RPS6KB1 PS6K S6K S6K-beta-1 S6K1 STK14A p70 S6KA p70(S6K)-alpha p70-S6K p70-alpha	ribosomal protein S6 kinase B1	Homo sapiens
dd_Smed_v6_11693_0_1	2214	PLDB	8.00E-115	e-value	NP_005985.3	TBX2	T-box 2	Homo sapiens
dd_Smed_v6_11717_0_1	3591	PLDB	6.00E-103	e-value	XP_006713328.1	KIF15 HKLP2 KNSL7 NY-BR-62	kinesin family member 15	Homo sapiens
dd_Smed_v6_11767_0_1	3865	PLDB	0	e-value	NP_000897.3	NPR1 ANPRA ANPa GUC2A GUCY2A NPRA	natriuretic peptide receptor 1	Homo sapiens
dd_Smed_v6_11809_0_1	2794	PLDB	8.00E-51	e-value	NP_055918.2	PLXND1 PLEXD1	plexin D1	Homo sapiens
dd_Smed_v6_1181_0_1	2702	PLDB	4.00E-58	e-value	NP_060707.2	CCAR1	cell division cycle and apoptosis regulator 1	Homo sapiens
dd_Smed_v6_1181_0_2	2633	PLDB	3.00E-58	e-value	NP_060707.2	CCAR1	cell division cycle and apoptosis regulator 1	Homo sapiens
dd_Smed_v6_11823_0_1	2367	PLDB	0	e-value	NP_003459.2	FZD5 C2orf31 HFZ5	frizzled class receptor 5	Homo sapiens
dd_Smed_v6_11832_0_1	4715	PLDB	2.00E-89	e-value	XP_006712206.1	NRXN1 Hs.22998 PTHSL2 SCZD17	neurexin 1	Homo sapiens
dd_Smed_v6_11876_0_1	5112	PLDB	0	e-value	NP_000205.1	JAG1 AGS AHD AWS CD339 HJ1 JAGL1	jagged 1	Homo sapiens
dd_Smed_v6_11939_0_1	955	PLDB	8.00E-139	e-value	NP_001263219.1	PRKAR1A ACRDYS1 ADOHR CAR CNC CNC1 PKR1 PPNAD1 PRKAR1 TSE1	protein kinase cAMP-dependent type I regulatory subunit alpha	Homo sapiens
dd_Smed_v6_11948_0_1	3593	PLDB	7.00E-15	e-value	NP_001278423.1	ITGA8	"integrin, alpha 8"	Homo sapiens
dd_Smed_v6_11963_0_1	1161	PLDB	4.00E-105	e-value	NP_057628.1	DNAJC27 RBJ RabJS	DnaJ heat shock protein family (Hsp40) member C27	Homo sapiens
dd_Smed_v6_12067_0_1	684	PLDB	3.00E-18	e-value	NP_219481.1	LRRC46	leucine rich repeat containing 46	Homo sapiens
dd_Smed_v6_12111_0_1	5012	PLDB	0	e-value	NP_003053.1	SLIT3 MEGF5 SLIL2 SLIT1 Slit-3 slit2	slit homolog 3 (Drosophila)	Homo sapiens
dd_Smed_v6_12133_0_1	2640	PLDB	5.00E-25	e-value	XP_005265291.1	PLXNB1 PLEXIN-B1 PLXN5 SEP	plexin B1	Homo sapiens
dd_Smed_v6_12229_0_1	3100	PLDB	5.00E-48	e-value	NP_002126.2	NR4A1 GFRP1 HMR N10 NAK-1 NGFIB NP10 NUR77 TR3	"nuclear receptor subfamily 4, group A, member 1"	Homo sapiens
dd_Smed_v6_12242_0_1	1419	PLDB	1.00E-81	e-value	NP_004798.3	HS6ST1 HH15 HS6ST	heparan sulfate 6-O-sulfotransferase 1	Homo sapiens
dd_Smed_v6_12247_0_1	738	PLDB	1.00E-83	e-value	XP_006721371.1	CDK10 PISSLRE	cyclin-dependent kinase 10	Homo sapiens
dd_Smed_v6_12262_0_1	833	PLDB	8.00E-11	e-value	NP_005441.1	NOG SYM1 SYNS1	noggin	Homo sapiens
dd_Smed_v6_12274_0_1	1131	PLDB	4.00E-38	e-value	XP_005265585.1	KAT2B CAF P P/CAF PCAF	K(lysine) acetyltransferase 2B	Homo sapiens
dd_Smed_v6_122_1_1	1259	PLDB	2.00E-106	e-value	NP_000226.2	LIPA CESD LAL	"lipase A, lysosomal acid type"	Homo sapiens
dd_Smed_v6_12355_0_1	2091	PLDB	5.00E-100	e-value	NP_690043.1	ACE ACE1 CD143 DCP DCP1 ICH MVCD3	angiotensin I converting enzyme	Homo sapiens
dd_Smed_v6_1239_0_1	1282	PLDB	9.00E-93	e-value	NP_056461.1	RAP1B K-REV RAL1B	"RAP1B, member of RAS oncogene family"	Homo sapiens
dd_Smed_v6_12432_0_1	3166	PLDB	7.00E-33	e-value	XP_006711408.1	DDR2 MIG20a NTRKR3 TKT TYRO10	discoidin domain receptor tyrosine kinase 2	Homo sapiens
dd_Smed_v6_12435_0_1	805	PLDB	1.00E-15	e-value	NP_597998.1	SAT2 SSAT2	spermidine/spermine N1-acetyltransferase family member 2	Homo sapiens
dd_Smed_v6_12446_0_1	949	PLDB	1.00E-42	e-value	NP_037525.1	FTSJ2 FJH1 HEL97 MRM2	FtsJ RNA methyltransferase homolog 2 (E. coli)	Homo sapiens
dd_Smed_v6_12485_0_1	1185	PLDB	7.00E-139	e-value	NP_001921.1	DHPS DHS DS MIG13	deoxyhypusine synthase	Homo sapiens
dd_Smed_v6_12551_0_1	4135	PLDB	4.00E-48	e-value	NP_000050.2	BRCA2 BRCC2 BROVCA2 FACD FAD FAD1 FANCD FANCD1 GLM3 PNCA2	"breast cancer 2, early onset"	Homo sapiens
dd_Smed_v6_12567_0_1	2054	PLDB	3.00E-48	e-value	XP_005251788.1	RASEF RAB45	RAS and EF-hand domain containing	Homo sapiens
dd_Smed_v6_1257_0_1	1077	PLDB	6.00E-19	e-value	NP_004348.2	CD151 GP27 MER2 PETA-3 RAPH SFA1 TSPAN24	CD151 molecule (Raph blood group)	Homo sapiens
dd_Smed_v6_12580_0_1	825	PLDB	3.00E-13	e-value	NP_060328.2	TIPIN	TIMELESS interacting protein	Homo sapiens
dd_Smed_v6_1259_0_1	894	PLDB	8.00E-98	e-value	NP_000627.2	SOD2 IPOB MNSOD MVCD6	"superoxide dismutase 2, mitochondrial"	Homo sapiens
dd_Smed_v6_12601_0_1	1286	PLDB	2.00E-15	e-value	NP_004521.1	MMP2 CLG4 CLG4A MMP-II MONA TBE-1	"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)"	Homo sapiens
dd_Smed_v6_12602_0_1	1533	PLDB	1.00E-49	e-value	NP_001238811.1	VIPR1 HVR1 II PACAP-R-2 PACAP-R2 RDC1 V1RG VAPC1 VIP-R-1 VIPR VIRG VPAC1 VPAC1R VPCAP1R	vasoactive intestinal peptide receptor 1	Homo sapiens
dd_Smed_v6_12653_0_1	1848	PLDB	0	e-value	NP_000808.2	GAD1 CPSQ1 GAD SCP	glutamate decarboxylase 1	Homo sapiens
dd_Smed_v6_12656_0_1	1345	PLDB	2.00E-06	e-value	NP_003657.1	BLZF1 GOLGIN-45 JEM-1 JEM-1s JEM1	basic leucine zipper nuclear factor 1	Homo sapiens
dd_Smed_v6_12674_0_1	2309	PLDB	3.00E-19	e-value	NP_068742.2	FGFRL1 FGFR5 FHFR	fibroblast growth factor receptor-like 1	Homo sapiens
dd_Smed_v6_12699_0_1	3351	PLDB	4.00E-77	e-value	NP_001278850.1	RXRA NR2B1	retinoid X receptor alpha	Homo sapiens
dd_Smed_v6_12700_0_1	2625	PLDB	0	e-value	NP_001036.1	SLC6A4 5-HTT 5-HTTLPR 5HTT HTT OCD1 SERT SERT1 hSERT	solute carrier family 6 member 4	Homo sapiens
dd_Smed_v6_1276_0_1	1858	PLDB	0	e-value	NP_055317.1	PRPF19 NMP200 PRP19 PSO4 SNEV UBOX4 hPSO4	pre-mRNA processing factor 19	Homo sapiens
dd_Smed_v6_12784_0_1	610	PLDB	1.00E-26	e-value	NP_003320.2	TXN TRDX TRX TRX1	thioredoxin	Homo sapiens
dd_Smed_v6_1280_0_1	1444	PLDB	0	e-value	NP_002706.1	PPP2CA PP2Ac PP2CA PP2Calpha RP-C	protein phosphatase 2 catalytic subunit alpha	Homo sapiens
dd_Smed_v6_12823_0_1	1007	PLDB	7.00E-37	e-value	NP_006014.2	CDC123 C10orf7 D123	cell division cycle 123	Homo sapiens
dd_Smed_v6_12873_0_1	1042	PLDB	2.00E-33	e-value	NP_006159.2	NKX6-1 NKX6.1 NKX6A	NK6 homeobox 1	Homo sapiens
dd_Smed_v6_12890_0_1	1512	PLDB	4.00E-20	e-value	XP_005269197.1	MAP3K12 DLK MEKK12 MUK ZPK ZPKP1	mitogen-activated protein kinase kinase kinase 12	Homo sapiens
dd_Smed_v6_12929_0_1	1299	PLDB	2.00E-26	e-value	NP_060064.2	DIRAS2 Di-Ras2	DIRAS family GTPase 2	Homo sapiens
dd_Smed_v6_12930_0_1	2461	PLDB	1.00E-23	e-value	XP_006721857.1	SUZ12 CHET9 JJAZ1	SUZ12 polycomb repressive complex 2 subunit	Homo sapiens
dd_Smed_v6_12933_0_1	3923	PLDB	2.00E-111	e-value	NP_000897.3	NPR1 ANPRA ANPa GUC2A GUCY2A NPRA	natriuretic peptide receptor 1	Homo sapiens
dd_Smed_v6_12987_0_1	1507	PLDB	8.00E-148	e-value	NP_001921.1	DHPS DHS DS MIG13	deoxyhypusine synthase	Homo sapiens
dd_Smed_v6_12998_0_1	3202	PLDB	5.00E-76	e-value	NP_001138391.1	FGFR2 BBDS BEK BFR-1 CD332 CEK3 CFD1 ECT1 JWS K-SAM KGFR TK14 TK25	fibroblast growth factor receptor 2	Homo sapiens
dd_Smed_v6_13016_0_1	2178	PLDB	6.00E-30	e-value	XP_005261965.1	PLXNB2 MM1 Nbla00445 PLEXB2 dJ402G11.3	plexin B2	Homo sapiens
dd_Smed_v6_1308_0_1	3177	PLDB	6.00E-09	e-value	NP_001186356.1	TRAF3 CAP-1 CAP1 CD40bp CRAF1 IIAE5 LAP1	TNF receptor associated factor 3	Homo sapiens
dd_Smed_v6_13164_0_1	1644	PLDB	0	e-value	NP_055577.1	DHCR24 DCE Nbla03646 SELADIN1 seladin-1	24-dehydrocholesterol reductase	Homo sapiens
