subjectID	SMEDID	"Sub-lethal (SL) 
cell cluster"	NB subclass	queryID	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score
dd_Smed_v6_333_0_1	SMED30006311	SL1	NA	SMED30006311|AsxlWT_comp33704_c0_seq1|AsxlWT	99.93	1446	1	0	1	1446	368	1813	0	2603
dd_Smed_v6_1010_0_1	SMED30013408	SL1	NA	SMED30013408|AsxlWT_comp52592_c0_seq1|AsxlWT	99.86	1479	2	0	70	1548	1	1479	0	2659
dd_Smed_v6_740_0_1	SMED30017388	SL1	NA	SMED30017388|AsxlWT_comp47087_c0_seq1|AsxlWT	99.95	4258	2	0	13	4270	174	4431	0	7671
dd_Smed_v6_840_0_1	SMED30017945	SL1	NA	SMED30017945|AsxlWT_comp61273_c0_seq1|AsxlWT	99.79	4302	9	0	5	4306	101	4402	0	7717
dd_Smed_v6_323_0_1	SMED30027460	SL1	NA	SMED30027460|AsxlWT_comp46290_c0_seq4|AsxlWT	99.72	1412	1	1	1	1409	372	1783	0	2527
dd_Smed_v6_635_0_1	SMED30029432	SL1	NA	SMED30029432|Asxlregen_comp65284_c0_seq3|Asxlregen	100	471	0	0	594	1064	544	74	0	850
dd_Smed_v6_402_0_1	SMED30031625	SL1	NA	SMED30031625|AsxlWT_comp64965_c0_seq1|AsxlWT	99.98	5262	0	1	7	5267	158	5419	0	9481
dd_Smed_v6_356_0_1	SMED30006007	SL10	NA	SMED30006007|OX_Smed_1.0.14389|Oxford	98.91	274	2	1	287	560	503	775	5.00E-134	477
dd_Smed_v6_924_0_2	SMED30013976	SL10	NA	SMED30013976|Asxlsort_comp80966_c2_seq5|Asxlsort	90.76	314	27	2	3	315	423	111	1.00E-119	428
dd_Smed_v6_940_0_1	SMED30018331	SL10	NA	SMED30018331|AsxlX1_comp80733_c0_seq3|AsxlX1	92.72	673	45	2	1	669	36	708	0	987
dd_Smed_v6_940_0_2	SMED30025756	SL10	NA	SMED30025756|AsxlWT_comp62003_c1_seq9|AsxlWT	94.61	408	22	0	1	408	299	706	0	637
dd_Smed_v6_1566_0_1	SMED30010096	SL2	NA	SMED30010096|AsxlWT_comp50715_c0_seq1|AsxlWT	100	2542	0	0	1	2542	52	2593	0	4585
dd_Smed_v6_3628_0_1	SMED30014318	SL2	NA	SMED30014318|AsxlWT_comp53003_c0_seq1|AsxlWT	99.94	1722	1	0	71	1792	3	1724	0	3101
dd_Smed_v6_3135_0_1	SMED30016589	SL2	NA	SMED30016589|AsxlWT_comp58579_c1_seq1|AsxlWT	98.59	2203	1	1	163	2365	43	2215	0	3856
dd_Smed_v6_6730_0_1	SMED30019471	SL2	NA	SMED30019471|AsxlWT_comp56354_c0_seq1|AsxlWT	99.95	1881	1	0	30	1910	1	1881	0	3388
dd_Smed_v6_1684_0_1	SMED30031715	SL2	NA	SMED30031715|AsxlWT_comp61675_c0_seq1|AsxlWT	100	7520	0	0	1	7520	14	7533	0	13562
dd_Smed_v6_125_0_2	SMED30005345	SL3	NA	SMED30005345|Asxlsort_comp78663_c1_seq1|Asxlsort	100	273	0	0	102	374	1	273	5.00E-139	493
dd_Smed_v6_2292_0_1	SMED30006263	SL3	NA	SMED30006263|AsxlX1_comp80880_c0_seq1|AsxlX1	99.77	2586	5	1	960	3544	1	2586	0	4634
dd_Smed_v6_459_0_1	SMED30006821	SL3	NA	SMED30006821|berlin_CUFF.262650.1|Berlin	75.82	153	37	0	103	255	446	294	2.00E-23	109
dd_Smed_v6_1329_0_1	SMED30017556	SL3	NA	SMED30017556|AsxlWT_comp23488_c0_seq1|AsxlWT	100	968	0	0	1	968	12	979	0	1746
dd_Smed_v6_351_0_1	SMED30019187	SL3	NA	SMED30019187|Sxlembryo_comp94970_c0_seq1|Sxlembryo	98.91	3015	30	1	1	3012	157	3171	0	5286
dd_Smed_v6_1548_0_1	SMED30024979	SL3	NA	SMED30024979|AsxlWT_comp61457_c0_seq1|AsxlWT	99.8	1464	3	0	972	2435	4	1467	0	2626
dd_Smed_v6_1886_0_1	SMED30030168	SL3	NA	SMED30030168|AsxlWT_comp56169_c1_seq1|AsxlWT	99.81	2614	4	1	1	2613	18	2631	0	4688
dd_Smed_v6_380_0_1	SMED30032199	SL3	NA	SMED30032199|AsxlWT_comp49537_c0_seq1|AsxlWT	99.53	635	3	0	38	672	17	651	0	1131
dd_Smed_v6_2423_0_1	SMED30034889	SL3	NA	SMED30034889|Asxlregen_comp65759_c0_seq4|Asxlregen	95.38	390	16	2	67	455	1	389	7.00E-176	616
dd_Smed_v6_593_1_27	SMED30035805	SL3	NA	SMED30035805|SxlWT_comp66601_c0_seq2|SxlWT	89.58	307	31	1	98	404	1	306	6.00E-113	407
dd_Smed_v6_1022_0_1	SMED30009337	SL4	NA	SMED30009337|AsxlWT_comp64414_c0_seq1|AsxlWT	99.86	727	1	0	7	733	1	727	0	1306
dd_Smed_v6_1_0_1	SMED30010350	SL4	NA	SMED30010350|OX_Smed_1.0.14610|Oxford	98.68	379	5	0	2	380	38	416	0	661
dd_Smed_v6_1347_0_1	SMED30013155	SL4	NA	SMED30013155|SxlWT_comp70389_c0_seq1|SxlWT	99.03	517	4	1	3	518	23	539	0	906
dd_Smed_v6_48_0_1	SMED30018252	SL4	NA	SMED30018252|AsxlWT_comp63155_c0_seq1|AsxlWT	100	1107	0	0	1	1107	120	1226	0	1997
dd_Smed_v6_75_0_1	SMED30024204	SL4	NA	SMED30024204|AsxlWT_comp32451_c0_seq1|AsxlWT	99.83	600	1	0	1	600	32	631	0	1077
dd_Smed_v6_44_0_1	SMED30030799	SL4	NA	SMED30030799|AsxlWT_comp42028_c0_seq1|AsxlWT	99.54	649	3	0	1	649	143	791	0	1157
dd_Smed_v6_583_0_1	SMED30033387	SL4	NA	SMED30033387|AsxlWT_comp65447_c0_seq1|AsxlWT	100	1365	0	0	1	1365	62	1426	0	2462
dd_Smed_v6_500_0_1	SMED30033716	SL4	NA	SMED30033716|SxlWT_comp63349_c1_seq1|SxlWT	99.32	884	6	0	3	886	1	884	0	1568
dd_Smed_v6_267_0_1	SMED30035609	SL4	NA	SMED30035609|dd_smedV4_267_0_1|Dresden	100	1185	0	0	1	1185	1	1185	0	2138
dd_Smed_v6_398_0_1	SMED30013591	SL5	NA	SMED30013591|AsxlWT_comp46859_c0_seq1|AsxlWT	100	1593	0	0	1	1593	2	1594	0	2874
dd_Smed_v6_907_0_1	SMED30021445	SL5	NA	SMED30021445|AsxlWT_comp41968_c0_seq1|AsxlWT	99.78	1392	2	1	1	1392	1	1391	0	2493
dd_Smed_v6_3097_0_1	SMED30025971	SL5	NA	SMED30025971|AsxlWT_comp58670_c0_seq1|AsxlWT	99.8	1985	4	0	1	1985	61	2045	0	3562
dd_Smed_v6_2083_0_1	SMED30035502	SL5	NA	SMED30035502|AsxlWT_comp59032_c0_seq1|AsxlWT	99.67	2124	7	0	1	2124	47	2170	0	3799
dd_Smed_v6_289_0_1	SMED30008414	SL6	NA	SMED30008414|mito_ND3|unknown	97.41	270	7	0	1	270	230	499	8.00E-128	455
dd_Smed_v6_753_0_1	SMED30010375	SL6	NA	SMED30010375|mito_COX1|unknown	96.57	1545	53	0	1	1545	729	2273	0	2547
dd_Smed_v6_258_0_1	SMED30012212	SL6	NA	SMED30012212|mito_ND1|unknown	97.31	891	24	0	1	891	2175	3065	0	1499
dd_Smed_v6_297_0_1	SMED30026531	SL6	NA	SMED30026531|mito_COX2|unknown	97.72	879	20	0	1	879	59	937	0	1496
dd_Smed_v6_421_0_1	SMED30026539	SL6	NA	SMED30026539|AsxlWT_comp63623_c0_seq1|AsxlWT	100	466	0	0	38	503	3	468	0	841
dd_Smed_v6_8540_0_1	SMED30026803	SL6	NA	SMED30026803|AsxlWT_comp38527_c0_seq1|AsxlWT	99.69	644	2	0	8	651	1	644	0	1153
dd_Smed_v6_1999_0_2	SMED30033302	SL6	NA	SMED30033302|AsxlWT_comp54292_c0_seq1|AsxlWT	99.81	4168	2	3	1	4165	1	4165	0	7472
dd_Smed_v6_133_0_1	SMED30035360	SL6	NA	SMED30035360|AsxlWT_comp28348_c0_seq1|AsxlWT	100	1033	0	0	1	1033	21	1053	0	1864
dd_Smed_v6_768_0_1	SMED30008640	SL7	NA	SMED30008640|Sxlembryo_comp101583_c1_seq18|Sxlembryo	98.04	4641	91	0	1	4641	90	4730	0	7959
dd_Smed_v6_124_0_1	SMED30008917	SL7	NA	SMED30008917|AsxlWT_comp52917_c0_seq1|AsxlWT	99.83	1744	1	1	1	1742	13	1756	0	3130
dd_Smed_v6_3228_0_1	SMED30009355	SL7	NA	SMED30009355|AsxlX1_comp93283_c0_seq1|AsxlX1	99.82	550	1	0	1	550	66	615	0	987
dd_Smed_v6_1866_0_1	SMED30014079	SL7	NA	SMED30014079|AsxlWT_comp65271_c0_seq1|AsxlWT	100	1237	0	0	1	1237	19	1255	0	2232
dd_Smed_v6_175_0_1	SMED30017940	SL7	NA	SMED30017940|AsxlWT_comp63435_c0_seq1|AsxlWT	100	1165	0	0	1	1165	79	1243	0	2102
dd_Smed_v6_142_0_1	SMED30024160	SL7	NA	SMED30024160|AsxlX1_comp68769_c0_seq1|AsxlX1	100	370	0	0	409	778	143	512	0	668
dd_Smed_v6_2851_0_1	SMED30034221	SL7	NA	SMED30034221|AsxlWT_comp37064_c0_seq1|AsxlWT	99.49	1748	2	1	1	1741	11	1758	0	3113
dd_Smed_v6_8268_0_1	SMED30035928	SL7	NA	SMED30035928|AsxlWT_comp58999_c1_seq7|AsxlWT	99.68	1571	5	0	1	1571	96	1666	0	2810
dd_Smed_v6_3913_0_1	SMED30009801	SL8	NA	SMED30009801|AsxlWT_comp26297_c0_seq1|AsxlWT	74.76	420	97	5	103	519	96	509	2.00E-70	266
dd_Smed_v6_719_0_1	SMED30010951	SL8	NA	SMED30010951|AsxlWT_comp33191_c0_seq1|AsxlWT	100	880	0	0	1	880	81	960	0	1588
dd_Smed_v6_605_0_1	SMED30011700	SL8	NA	SMED30011700|uniq_smed26971|033226_uniq	100	340	0	0	1	340	116	455	2.00E-175	614
dd_Smed_v6_2843_0_1	SMED30014220	SL8	NA	SMED30014220|Asxlregen_comp71544_c0_seq1|Asxlregen	99.02	305	3	0	1	305	47	351	3.00E-152	536
dd_Smed_v6_2178_0_1	SMED30021793	SL8	NA	SMED30021793|AsxlWT_comp51652_c0_seq1|AsxlWT	100	1285	0	0	1	1285	110	1394	0	2318
dd_Smed_v6_361_0_1	SMED30022628	SL8	NA	SMED30022628|AsxlX1_comp52959_c0_seq1|AsxlX1	99.75	787	0	2	1	785	47	833	0	1404
dd_Smed_v6_1066_0_1	SMED30025584	SL8	NA	SMED30025584|OX_Smed_1.0.02368|Oxford	98.54	479	7	0	1	479	35	513	0	832
dd_Smed_v6_5493_0_1	SMED30027207	SL8	NA	SMED30027207|AsxlWT_comp54464_c0_seq1|AsxlWT	99.73	1481	4	0	1	1481	85	1565	0	2654
dd_Smed_v6_146_0_1	SMED30028287	SL8	NA	SMED30028287|SxlWT_comp96692_c0_seq1|SxlWT	93.43	411	27	0	10	420	7	417	5.00E-177	619
dd_Smed_v6_1140_0_2	SMED30008568	SL9	NA	SMED30008568|AsxlX1_comp83904_c0_seq6|AsxlX1	99.96	14081	5	0	57	14137	1	14081	0	25371
dd_Smed_v6_300_0_1	SMED30019234	SL9	NA	SMED30019234|berlin_isotig17728|Berlin	86.3	73	7	2	472	544	319	388	4.00E-15	82.4
dd_Smed_v6_5053_0_1	SMED30022187	SL9	NA	SMED30022187|AsxlWT_comp48679_c0_seq5|AsxlWT	100	2887	0	0	323	3209	1	2887	0	5207
dd_Smed_v6_4761_0_1	SMED30025382	SL9	NA	SMED30025382|AsxlWT_comp58955_c0_seq1|AsxlWT	99.74	2687	7	0	45	2731	1	2687	0	4814
dd_Smed_v6_2966_0_1	SMED30027563	SL9	NA	SMED30027563|AsxlWT_comp43085_c0_seq1|AsxlWT	100	2326	0	0	51	2376	1	2326	0	4195
dd_Smed_v6_4009_0_1	SMED30027648	SL9	NA	SMED30027648|AsxlWT_comp34900_c0_seq1|AsxlWT	99.72	710	1	1	3	712	27	735	0	1269
dd_Smed_v6_1970_0_1	SMED30033282	SL9	NA	SMED30033282|AsxlWT_comp67569_c0_seq1|AsxlWT	99.81	1060	0	1	1	1058	217	1276	0	1900
dd_Smed_v6_854_1_1	SMED30033611	SL9	NA	SMED30033611|AsxlWT_comp61073_c3_seq1|AsxlWT	99.85	1324	1	1	1	1323	96	1419	0	2376
