Transcript_Id	Length	Source	evalue	Symbol	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_10045_0_1	1917	PLDB	0	NP_003574.1	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens
dd_Smed_v6_10047_0_1	725	PLDB	6.00E-27	NP_653201.1	FOPNL C16orf63 FOR20 PHSECRG2	FGFR1OP N-terminal like	Homo sapiens
dd_Smed_v6_100524_0_1	252	PLDB	6.00E-37	NP_000030.1	APOA1	apolipoprotein A-I	Homo sapiens
dd_Smed_v6_10055_0_1	1118	PLDB	2.00E-102	NP_003574.1	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens
dd_Smed_v6_10056_0_1	1497	PLDB	2.00E-10	NP_079089.2	RPAP2 C1orf82	RNA polymerase II associated protein 2	Homo sapiens
dd_Smed_v6_10064_0_1	1840	PLDB	4.00E-65	NP_005307.1	GTF2H1 BTF2 P62 TFB1 TFIIH	general transcription factor IIH subunit 1	Homo sapiens
dd_Smed_v6_10069_0_1	3225	PLDB	0	NP_056175.3	SKIV2L2 Dob1 KIAA0052 Mtr4 fSAP118	Ski2 like RNA helicase 2	Homo sapiens
dd_Smed_v6_10078_0_1	2286	PLDB	2.00E-53	NP_055782.3	FAN1 KIAA1018 KMIN MTMR15	FANCD2/FANCI-associated nuclease 1	Homo sapiens
dd_Smed_v6_10081_0_1	1157	PLDB	1.00E-05	NP_003155.2	STX5 SED5 STX5A	syntaxin 5	Homo sapiens
dd_Smed_v6_10082_0_1	2522	PLDB	1.00E-32	XP_006711841.1	NVL	nuclear VCP-like	Homo sapiens
dd_Smed_v6_10083_0_1	884	PLDB	1.00E-23	NP_001734.1	CALM2 CAMII PHKD PHKD2	"calmodulin 2 (phosphorylase kinase, delta)"	Homo sapiens
dd_Smed_v6_10084_0_1	523	PLDB	1.00E-49	NP_003737.1	DYNLL1 DLC1 DLC8 DNCL1 DNCLC1 LC8 LC8a PIN hdlc1	dynein light chain LC8-type 1	Homo sapiens
dd_Smed_v6_10086_0_1	2879	PLDB	4.00E-58	XP_005251375.1	LRRCC1 CLERC SAP2 VFL1	leucine rich repeat and coiled-coil centrosomal protein 1	Homo sapiens
dd_Smed_v6_10092_0_1	1759	PLDB	4.00E-68	NP_003394.1	YY1 DELTA INO80S NF-E1 UCRBP YIN-YANG-1	YY1 transcription factor	Homo sapiens
dd_Smed_v6_100930_0_1	263	PLDB	8.00E-33	NP_009057.1	VCP ALS14 HEL-220 HEL-S-70 IBMPFD IBMPFD1 TERA p97	valosin containing protein	Homo sapiens
dd_Smed_v6_10108_0_1	3058	PLDB	0	NP_056175.3	SKIV2L2 Dob1 KIAA0052 Mtr4 fSAP118	Ski2 like RNA helicase 2	Homo sapiens
dd_Smed_v6_10109_0_1	888	PLDB	4.00E-24	NP_775929.2	ZNF660	zinc finger protein 660	Homo sapiens
dd_Smed_v6_101106_0_1	259	PLDB	1.00E-26	NP_002701.1	PPP1CC PP-1G PP1C PPP1G	protein phosphatase 1 catalytic subunit gamma	Homo sapiens
dd_Smed_v6_10110_0_1	3407	PLDB	4.00E-52	NP_056091.1	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens
dd_Smed_v6_10113_0_1	1793	PLDB	8.00E-137	NP_060566.2	NLE1 Nle	notchless homolog 1	Homo sapiens
dd_Smed_v6_10115_0_1	4543	PLDB	2.00E-38	XP_006713531.1	TNK2 ACK ACK-1 ACK1 p21cdc42Hs	"tyrosine kinase, non-receptor, 2"	Homo sapiens
dd_Smed_v6_10119_0_1	3645	PLDB	0	NP_000048.1	BLM BS RECQ2 RECQL2 RECQL3	Bloom syndrome RecQ like helicase	Homo sapiens
dd_Smed_v6_10123_0_1	1460	PLDB	2.00E-18	NP_689416.1	IPMK	inositol polyphosphate multikinase	Homo sapiens
dd_Smed_v6_10128_0_4	1477	PLDB	2.00E-09	XP_005250984.1	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens
dd_Smed_v6_10128_0_5	1431	PLDB	7.00E-05	XP_006716633.1	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens
dd_Smed_v6_10128_0_6	1429	PLDB	2.00E-12	XP_005250984.1	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens
dd_Smed_v6_10128_0_7	1426	PLDB	5.00E-12	XP_005250984.1	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens
dd_Smed_v6_10128_0_8	1378	PLDB	5.00E-15	XP_005250984.1	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens
dd_Smed_v6_101414_0_1	317	PLDB	7.00E-32	NP_000987.2	RPL35A DBA5 L35A	ribosomal protein L35a	Homo sapiens
dd_Smed_v6_10149_0_1	1143	PLDB	1.00E-96	NP_003554.1	SPOP BTBD32 TEF2	speckle type BTB/POZ protein	Homo sapiens
dd_Smed_v6_10152_0_1	2441	PLDB	8.00E-40	NP_001445.2	FOXJ1 FKHL13 HFH-4 HFH4	forkhead box J1	Homo sapiens
dd_Smed_v6_101551_0_1	226	PLDB	8.00E-17	NP_001258671.1	CSNK1A1 CK1 CK1a CKIa HEL-S-77p HLCDGP1 PRO2975	casein kinase 1 alpha 1	Homo sapiens
dd_Smed_v6_10163_0_1	1688	PLDB	4.00E-37	NP_000928.1	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_10164_0_1	1537	PLDB	9.00E-53	NP_004751.2	STK17A DRAK1	serine/threonine kinase 17a	Homo sapiens
dd_Smed_v6_101655_0_1	252	PLDB	4.00E-43	NP_000928.1	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_10189_0_1	3117	PLDB	2.00E-95	XP_005266019.1	NSD1 ARA267 KMT3B SOTOS SOTOS1 STO	nuclear receptor binding SET domain protein 1	Homo sapiens
dd_Smed_v6_10201_0_1	2274	PLDB	1.00E-46	NP_821078.1	SOX5 L-SOX5 L-SOX5B L-SOX5F	SRY (sex determining region Y)-box 5	Homo sapiens
dd_Smed_v6_10211_0_1	1052	PLDB	4.00E-20	XP_006715418.1	KHDRBS2 SLM-1 SLM1 bA535F17.1	"KH domain containing, RNA binding, signal transduction associated 2"	Homo sapiens
dd_Smed_v6_10216_0_1	1034	PLDB	2.00E-49	NP_003059.1	SNAI2 SLUG SLUGH1 SNAIL2 WS2D	snail family transcriptional repressor 2	Homo sapiens
dd_Smed_v6_10219_0_1	974	PLDB	2.00E-69	NP_001267479.1	PAX5 ALL3 BSAP	paired box 5	Homo sapiens
dd_Smed_v6_102256_0_1	245	PLDB	9.00E-37	NP_002700.1	PPP1CB HEL-S-80p PP-1B PP1B PP1beta PPP1CD	protein phosphatase 1 catalytic subunit beta	Homo sapiens
dd_Smed_v6_10225_0_1	2111	PLDB	7.00E-58	NP_473367.2	CNOT7 CAF1 Caf1a hCAF-1	"CCR4-NOT transcription complex, subunit 7"	Homo sapiens
dd_Smed_v6_10229_0_1	2856	PLDB	7.00E-12	NP_065194.2	TUBGCP6 GCP-6 GCP6 MCCRP MCPHCR	"tubulin, gamma complex associated protein 6"	Homo sapiens
dd_Smed_v6_10238_0_10	1300	PLDB	3.00E-68	NP_054859.2	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_12	1206	PLDB	1.00E-64	NP_054859.2	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_2	2118	PLDB	4.00E-107	NP_054859.2	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_3	2091	PLDB	2.00E-112	NP_054859.2	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_4	2068	PLDB	1.00E-102	NP_054859.2	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_5	1950	PLDB	1.00E-122	NP_054859.2	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_6	1927	PLDB	1.00E-97	NP_054859.2	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_7	1900	PLDB	6.00E-103	NP_054859.2	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_8	1877	PLDB	4.00E-93	NP_054859.2	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_10238_0_9	1350	PLDB	3.00E-81	NP_054859.2	SMARCAL1 HARP HHARP	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	Homo sapiens
dd_Smed_v6_102399_0_1	254	PLDB	1.00E-06	NP_006316.1	RAN ARA24 Gsp1 TC4	"RAN, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_10239_0_1	630	PLDB	2.00E-32	NP_005176.1	CALML3 CLP	calmodulin like 3	Homo sapiens
dd_Smed_v6_10246_0_1	1840	PLDB	1.00E-15	NP_116321.2	RAB11FIP4 RAB11-FIP4	RAB11 family interacting protein 4	Homo sapiens
dd_Smed_v6_10248_0_1	3156	PLDB	4.00E-12	NP_733822.1	LMNA CDCD1 CDDC CMD1A CMT2B1 EMD2 FPL FPLD FPLD2 HGPS IDC LDP1 LFP LGMD1B LMN1 LMNC LMNL1 PRO1	lamin A/C	Homo sapiens
dd_Smed_v6_1025_0_1	2073	PLDB	0	NP_110379.2	TCP1 CCT-alpha CCT1 CCTa D6S230E TCP-1-alpha	t-complex 1	Homo sapiens
dd_Smed_v6_10261_0_1	1129	PLDB	6.00E-17	NP_076983.1	NOC4L NET49 NOC4 UTP19	nucleolar complex associated 4 homolog	Homo sapiens
dd_Smed_v6_10273_0_1	2723	PLDB	1.00E-41	NP_056292.1	SIN3A	SIN3 transcription regulator family member A	Homo sapiens
dd_Smed_v6_102795_0_1	286	PLDB	3.00E-19	NP_001257405.1	PPP2R5D B56D	"protein phosphatase 2, regulatory subunit B', delta"	Homo sapiens
dd_Smed_v6_10279_0_1	1328	PLDB	5.00E-20	NP_003409.1	CNBP CNBP1 DM2 PROMM RNF163 ZCCHC22 ZNF9	CCHC-type zinc finger nucleic acid binding protein	Homo sapiens
dd_Smed_v6_1027_0_1	2596	PLDB	5.00E-76	NP_055437.2	VWA5A BCSC-1 BCSC1 LOH11CR2A	von Willebrand factor A domain containing 5A	Homo sapiens
dd_Smed_v6_10293_0_1	911	PLDB	2.00E-45	NP_004459.2	FHL3 SLIM2	four and a half LIM domains 3	Homo sapiens
dd_Smed_v6_1030_0_1	461	PLDB	5.00E-18	NP_055075.1	PFDN6 H2-KE2 HKE2 KE-2 PFD6	prefoldin subunit 6	Homo sapiens
dd_Smed_v6_10311_0_1	4184	PLDB	8.00E-100	NP_872579.2	BPTF FAC1 FALZ NURF301	bromodomain PHD finger transcription factor	Homo sapiens
dd_Smed_v6_1031_0_1	2413	PLDB	0	NP_005691.2	DPP3 DPPIII	dipeptidyl peptidase 3	Homo sapiens
dd_Smed_v6_10323_0_1	1400	PLDB	5.00E-72	NP_001015878.1	AURKC AIE2 AIK3 ARK3 AurC SPGF5 STK13 aurora-C	aurora kinase C	Homo sapiens
dd_Smed_v6_10329_0_1	1095	PLDB	3.00E-20	NP_001274514.1	NUP35 MP-44 MP44 NP44 NUP53	nucleoporin 35kDa	Homo sapiens
dd_Smed_v6_1032_0_1	2409	PLDB	4.00E-31	NP_443086.1	CREB3L1 OASIS	cAMP responsive element binding protein 3-like 1	Homo sapiens
dd_Smed_v6_10330_0_1	3997	PLDB	2.00E-10	XP_005266561.1	XPO4 exp4	exportin 4	Homo sapiens
dd_Smed_v6_10335_0_1	1631	PLDB	2.00E-34	NP_001246.2	CDC20 CDC20A bA276H19.3 p55CDC	cell division cycle 20	Homo sapiens
dd_Smed_v6_10336_0_1	2601	PLDB	5.00E-64	NP_006444.2	TBL3 SAZD UTP13	transducin beta like 3	Homo sapiens
dd_Smed_v6_10338_0_1	2920	PLDB	0	NP_001609.2	PARP1 ADPRT ADPRT 1 ADPRT1 ARTD1 PARP PARP-1 PPOL pADPRT-1	poly(ADP-ribose) polymerase 1	Homo sapiens
dd_Smed_v6_10338_0_2	596	PLDB	4.00E-43	NP_001609.2	PARP1 ADPRT ADPRT 1 ADPRT1 ARTD1 PARP PARP-1 PPOL pADPRT-1	poly(ADP-ribose) polymerase 1	Homo sapiens
dd_Smed_v6_10347_0_1	1722	PLDB	5.00E-54	NP_001265532.1	NUP54	nucleoporin 54kDa	Homo sapiens
dd_Smed_v6_10354_0_1	2011	PLDB	1.00E-90	NP_057253.2	SUFU PRO1280 SUFUH SUFUXL	SUFU negative regulator of hedgehog signaling	Homo sapiens
dd_Smed_v6_1035_1_1	5651	PLDB	7.00E-46	NP_005179.2	CBL C-CBL CBL2 FRA11B NSLL RNF55	Cbl proto-oncogene	Homo sapiens
dd_Smed_v6_1035_1_2	5606	PLDB	4.00E-50	XP_006713860.1	CBLB Cbl-b RNF56	"Cbl proto-oncogene B, E3 ubiquitin protein ligase"	Homo sapiens
dd_Smed_v6_10360_0_1	1419	PLDB	1.00E-13	XP_005253638.1	ZCCHC8	"zinc finger, CCHC domain containing 8"	Homo sapiens
dd_Smed_v6_103690_0_1	221	PLDB	2.00E-37	NP_001280142.1	TUBB CDCBM6 M40 OK/SW-cl.56 TUBB1 TUBB5	"tubulin, beta class I"	Homo sapiens
dd_Smed_v6_10369_0_1	6670	PLDB	1.00E-44	XP_006717007.1	CNTRL CEP1 CEP110 FAN bA165P4.1	centriolin	Homo sapiens
dd_Smed_v6_1036_0_1	856	PLDB	3.00E-44	NP_001027459.1	UBE2V1 CIR1 CROC-1 CROC1 UBE2V UEV-1 UEV1 UEV1A	ubiquitin conjugating enzyme E2 V1	Homo sapiens
dd_Smed_v6_1038_0_1	940	PLDB	4.00E-119	NP_002625.1	PHB HEL-215 HEL-S-54e PHB1	prohibitin	Homo sapiens
dd_Smed_v6_10392_0_1	2685	PLDB	8.00E-46	NP_001159891.1	HDAC8 CDLS5 HD8 HDACL1 MRXS6 RPD3 WTS	histone deacetylase 8	Homo sapiens
dd_Smed_v6_10394_0_1	1942	PLDB	1.00E-33	NP_003027.1	SKI SGS SKV	SKI proto-oncogene	Homo sapiens
dd_Smed_v6_10398_0_1	3034	PLDB	1.00E-107	NP_001140168.1	KDM4C GASC1 JHDM3C JMJD2C TDRD14C bA146B14.1	lysine (K)-specific demethylase 4C	Homo sapiens
dd_Smed_v6_104002_0_1	213	PLDB	2.00E-16	NP_009193.2	PARK7 DJ-1 DJ1 HEL-S-67p	Parkinsonism associated deglycase	Homo sapiens
dd_Smed_v6_10404_0_1	1130	PLDB	3.00E-68	NP_006388.2	RNASEH2A AGS4 JUNB RNASEHI RNHIA RNHL	ribonuclease H2 subunit A	Homo sapiens
dd_Smed_v6_10414_0_1	1502	PLDB	5.00E-126	XP_005248351.1	DROSHA ETOHI2 HSA242976 RANSE3L RN3 RNASE3L RNASEN	drosha ribonuclease III	Homo sapiens
dd_Smed_v6_10417_0_1	2124	PLDB	2.00E-76	NP_001171827.1	PHF8 JHDM1F MRXSSD ZNF422	PHD finger protein 8	Homo sapiens
dd_Smed_v6_10424_0_1	1744	PLDB	5.00E-28	NP_004611.1	TRAF6 MGC:3310 RNF85	TNF receptor associated factor 6	Homo sapiens
dd_Smed_v6_10427_0_1	2580	PLDB	6.00E-30	XP_005251975.1	NR6A1 CT150 GCNF GCNF1 NR61 RTR hGCNF hRTR	"nuclear receptor subfamily 6, group A, member 1"	Homo sapiens
dd_Smed_v6_10434_0_1	2685	PLDB	0	NP_003578.2	DHX16 DBP2 DDX16 PRO2014 PRP8 PRPF2 Prp2	DEAH-box helicase 16	Homo sapiens
dd_Smed_v6_10436_0_1	1140	PLDB	3.00E-84	NP_036272.2	SLC25A10 DIC	solute carrier family 25 member 10	Homo sapiens
dd_Smed_v6_10448_0_1	3634	PLDB	3.00E-32	NP_073153.1	ANAPC1 APC1 MCPR TSG24	anaphase promoting complex subunit 1	Homo sapiens
dd_Smed_v6_10454_0_1	2772	PLDB	2.00E-36	NP_001135906.1	MGEA5 MEA5 NCOAT OGA	meningioma expressed antigen 5 (hyaluronidase)	Homo sapiens
dd_Smed_v6_10459_1_1	3873	PLDB	0	NP_001261.2	CHD1	chromodomain helicase DNA binding protein 1	Homo sapiens
dd_Smed_v6_10462_0_1	1754	PLDB	3.00E-107	NP_813977.1	TUB rd5	tubby bipartite transcription factor	Homo sapiens
dd_Smed_v6_1047_0_1	1233	PLDB	5.00E-40	NP_733829.1	DAZAP1	DAZ associated protein 1	Homo sapiens
dd_Smed_v6_10481_0_1	1405	PLDB	5.00E-160	NP_006569.1	GNB5 GB5	G protein subunit beta 5	Homo sapiens
dd_Smed_v6_10483_0_1	1529	PLDB	2.00E-52	NP_004403.1	TRDMT1 DMNT2 DNMT2 MHSAIIP PUMET RNMT1	tRNA aspartic acid methyltransferase 1	Homo sapiens
dd_Smed_v6_10489_0_1	1584	PLDB	9.00E-110	NP_055478.2	KDM4A JHDM3A JMJD2 JMJD2A TDRD14A	lysine (K)-specific demethylase 4A	Homo sapiens
dd_Smed_v6_10506_0_1	2181	PLDB	4.00E-54	NP_003611.1	PPM1D PP2C-DELTA WIP1	"protein phosphatase, Mg2 /Mn2  dependent, 1D"	Homo sapiens
dd_Smed_v6_10526_0_1	1814	PLDB	1.00E-102	XP_006720986.1	UNKL C16orf28 ZC3H5L ZC3HDC5L	unkempt family zinc finger-like	Homo sapiens
dd_Smed_v6_10553_0_2	1356	PLDB	2.00E-06	XP_005245428.1	POGK BASS2 KRBOX2	pogo transposable element with KRAB domain	Homo sapiens
dd_Smed_v6_10561_0_1	2391	PLDB	7.00E-68	NP_079170.2	NOL10 PQBP5	nucleolar protein 10	Homo sapiens
dd_Smed_v6_10564_0_1	1153	PLDB	8.00E-102	NP_057623.2	SIRT6 SIR2L6	sirtuin 6	Homo sapiens
dd_Smed_v6_10576_0_1	1847	PLDB	0	NP_872270.1	PKM CTHBP HEL-S-30 OIP3 PK3 PKM2 TCB THBP1	"pyruvate kinase, muscle"	Homo sapiens
dd_Smed_v6_10577_0_1	2070	PLDB	0	NP_060341.2	CPSF3L CPSF73L INT11 INTS11 RC-68 RC68	cleavage and polyadenylation specific factor 3-like	Homo sapiens
dd_Smed_v6_10581_0_1	1218	PLDB	5.00E-29	NP_775745.1	NTAN1 PNAA PNAD	N-terminal asparagine amidase	Homo sapiens
dd_Smed_v6_105_0_1	387	PLDB	1.00E-25	NP_056229.2	RPL36 L36	ribosomal protein L36	Homo sapiens
dd_Smed_v6_10609_0_1	1991	PLDB	1.00E-78	NP_001129521.2	LMLN GP63 INV IX14 MSP	leishmanolysin like peptidase	Homo sapiens
dd_Smed_v6_10614_0_1	1407	PLDB	0	NP_060387.2	PPP2R3C C14orf10 G4-1 G5pr	protein phosphatase 2 regulatory subunit B''gamma	Homo sapiens
dd_Smed_v6_10622_0_1	1805	PLDB	9.00E-30	XP_005250984.1	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens
dd_Smed_v6_10624_0_1	4838	PLDB	5.00E-69	XP_005246433.1	ERBB4 ALS19 HER4 p180erbB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	Homo sapiens
dd_Smed_v6_10632_0_1	4628	PLDB	8.00E-127	NP_060045.4	SMG6 C17orf31 EST1A SMG-6 hSMG5/7a	"SMG6, nonsense mediated mRNA decay factor"	Homo sapiens
dd_Smed_v6_10637_0_1	2505	PLDB	5.00E-63	XP_005277471.1	OTUD7B CEZANNE ZA20D1	OTU deubiquitinase 7B	Homo sapiens
dd_Smed_v6_10638_0_1	4811	PLDB	0	NP_056477.1	IFT172 NPHP17 SLB SRTD10 osm-1 wim	intraflagellar transport 172	Homo sapiens
dd_Smed_v6_10647_0_1	2039	PLDB	6.00E-51	NP_036436.1	FBXL7 FBL6 FBL7	F-box and leucine-rich repeat protein 7	Homo sapiens
dd_Smed_v6_10658_0_1	981	PLDB	1.00E-64	NP_054763.2	UNC50 GMH1 UNCL URP	unc-50 homolog (C. elegans)	Homo sapiens
dd_Smed_v6_10662_0_1	1765	PLDB	4.00E-22	XP_005257322.1	SOCS7 NAP4 NCKAP4	suppressor of cytokine signaling 7	Homo sapiens
dd_Smed_v6_10666_0_1	2155	PLDB	3.00E-85	NP_061167.1	LANCL2 GPR69B TASP	LanC like 2	Homo sapiens
dd_Smed_v6_10667_0_1	1813	PLDB	0	NP_002694.3	PPAT ATASE GPAT PRAT	phosphoribosyl pyrophosphate amidotransferase	Homo sapiens
dd_Smed_v6_10673_0_1	811	PLDB	7.00E-46	XP_005274074.1	OVOL1 HOVO1	ovo-like zinc finger 1	Homo sapiens
dd_Smed_v6_10704_0_1	1899	PLDB	3.00E-60	XP_005259675.1	STK11 LKB1 PJS hLKB1	serine/threonine kinase 11	Homo sapiens
dd_Smed_v6_10708_0_1	1537	PLDB	4.00E-24	XP_005246951.1	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	caspase 8	Homo sapiens
dd_Smed_v6_10716_0_1	3063	PLDB	3.00E-54	NP_060087.3	NOTCH1 TAN1 hN1	notch 1	Homo sapiens
dd_Smed_v6_10724_0_1	1735	PLDB	6.00E-59	NP_689991.1	MFSD8 CLN7	major facilitator superfamily domain containing 8	Homo sapiens
dd_Smed_v6_10725_0_1	1057	PLDB	6.00E-28	XP_005248684.1	CCNH CAK CycH p34 p37	cyclin H	Homo sapiens
dd_Smed_v6_10731_0_1	1406	PLDB	4.00E-118	NP_001735.1	CAMK4 CaMK IV CaMK-GR IV caMK	calcium/calmodulin-dependent protein kinase IV	Homo sapiens
dd_Smed_v6_10742_0_1	7457	PLDB	2.00E-53	XP_005265151.1	SETD2 HBP231 HIF-1 HIP-1 HYPB KMT3A SET2 p231HBP	SET domain containing 2	Homo sapiens
dd_Smed_v6_10752_0_1	1844	PLDB	2.00E-57	NP_945327.2	NELFCD NELF-C NELF-D TH1 TH1L	negative elongation factor complex member C/D	Homo sapiens
dd_Smed_v6_1075_0_1	776	PLDB	7.00E-83	NP_003339.1	UBE2N HEL-S-71 UBC13 UbcH-ben UbcH13	ubiquitin-conjugating enzyme E2N	Homo sapiens
dd_Smed_v6_10798_0_1	876	PLDB	9.00E-15	XP_005253638.1	ZCCHC8	"zinc finger, CCHC domain containing 8"	Homo sapiens
dd_Smed_v6_10802_0_1	4577	PLDB	3.00E-53	NP_055791.1	PDCD11 ALG-4 ALG4 NFBP RRP5	programmed cell death 11	Homo sapiens
dd_Smed_v6_10811_0_1	1416	PLDB	2.00E-11	NP_001253972.1	AEBP2	AE binding protein 2	Homo sapiens
dd_Smed_v6_10816_0_1	1625	PLDB	1.00E-107	NP_001252.1	CDK9 C-2k CDC2L4 CTK1 PITALRE TAK	cyclin-dependent kinase 9	Homo sapiens
dd_Smed_v6_1081_0_1	1675	PLDB	7.00E-56	NP_473367.2	CNOT7 CAF1 Caf1a hCAF-1	"CCR4-NOT transcription complex, subunit 7"	Homo sapiens
dd_Smed_v6_10829_1_1	705	PLDB	2.00E-07	NP_057142.1	TPRKB	TP53RK binding protein	Homo sapiens
dd_Smed_v6_10848_0_1	1812	PLDB	1.00E-110	NP_001014834.1	PAK4	p21 (RAC1) activated kinase 4	Homo sapiens
dd_Smed_v6_10851_0_1	2435	PLDB	2.00E-19	NP_115544.1	WDR75 NET16 UTP17	WD repeat domain 75	Homo sapiens
dd_Smed_v6_10863_0_1	1310	PLDB	6.00E-75	NP_031401.1	TARDBP ALS10 TDP-43	TAR DNA binding protein	Homo sapiens
dd_Smed_v6_10868_0_1	622	PLDB	3.00E-24	NP_690862.1	FERD3L N-TWIST NATO3 NTWIST bHLHa31	Fer3-like bHLH transcription factor	Homo sapiens
dd_Smed_v6_10869_0_1	1362	PLDB	2.00E-135	NP_037534.3	FADS1 D5D FADS6 FADSD5 LLCDL1 TU12	fatty acid desaturase 1	Homo sapiens
dd_Smed_v6_1087_0_1	2610	PLDB	0	NP_055093.2	HSPA4L APG-1 HSPH3 Osp94	heat shock protein family A (Hsp70) member 4 like	Homo sapiens
dd_Smed_v6_10883_0_1	1775	PLDB	5.00E-34	XP_005246951.1	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	caspase 8	Homo sapiens
dd_Smed_v6_10894_0_1	1287	PLDB	1.00E-21	NP_004856.1	TBPL1 MGC:8389 MGC:9620 STUD TLF TLP TRF2	TATA-box binding protein like 1	Homo sapiens
dd_Smed_v6_108_0_1	905	PLDB	1.00E-127	NP_000964.1	RPL8 L8	ribosomal protein L8	Homo sapiens
