Transcript > Id	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_12806_0_8	2092	PLDB	2.00E-57	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_9	2063	PLDB	3.00E-38	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12966_0_1	3475	PLDB	0	POLD1 CDC2 CRCS10 MDPL POLD	"polymerase (DNA) delta 1, catalytic subunit"	Homo sapiens
dd_Smed_v6_13054_0_1	3639	PLDB	0	POLD1 CDC2 CRCS10 MDPL POLD	"polymerase (DNA) delta 1, catalytic subunit"	Homo sapiens
dd_Smed_v6_13140_0_1	652	PLDB	5.00E-53	MND1 GAJ	meiotic nuclear divisions 1	Homo sapiens
dd_Smed_v6_1324_0_1	1080	PLDB	0	PPP4C PP4 PP4C PPH3 PPP4 PPX	"protein phosphatase 4, catalytic subunit"	Homo sapiens
dd_Smed_v6_13345_0_1	2310	PLDB	9.00E-51	ACTR5 Arp5 INO80M	ARP5 actin-related protein 5 homolog	Homo sapiens
dd_Smed_v6_13525_0_1	371	PLDB	4.00E-05	SWI5 C9orf119 bA395P17.9	SWI5 recombination repair homolog (yeast)	Homo sapiens
dd_Smed_v6_13711_0_1	843	PLDB	6.00E-16	TSEN2 PCH2B SEN2 SEN2L	tRNA splicing endonuclease subunit 2	Homo sapiens
dd_Smed_v6_13711_0_2	800	PLDB	1.00E-15	TSEN2 PCH2B SEN2 SEN2L	tRNA splicing endonuclease subunit 2	Homo sapiens
dd_Smed_v6_13980_0_1	4923	PLDB	0	POLE CRCS12 FILS POLE1	"polymerase (DNA) epsilon, catalytic subunit"	Homo sapiens
dd_Smed_v6_14064_0_1	3668	PLDB	0	TOP2A TOP2 TP2A	topoisomerase (DNA) II alpha	Homo sapiens
dd_Smed_v6_14099_0_1	1700	PLDB	1.00E-76	ZSWIM2 MEX ZZZ2	zinc finger SWIM-type containing 2	Homo sapiens
dd_Smed_v6_14121_0_1	1198	PLDB	7.00E-44	RAD9A RAD9	RAD9 checkpoint clamp component A	Homo sapiens
dd_Smed_v6_141_0_1	1924	PLDB	0	HSPD1 CPN60 GROEL HLD4 HSP-60 HSP60 HSP65 HuCHA60 SPG13	heat shock protein family D (Hsp60) member 1	Homo sapiens
dd_Smed_v6_14392_0_1	2113	PLDB	1.00E-122	DDX5 G17P1 HLR1 HUMP68 p68	DEAD-box helicase 5	Homo sapiens
dd_Smed_v6_14484_0_1	1729	PLDB	1.00E-16	KLHDC3 PEAS dJ20C7.3	kelch domain containing 3	Homo sapiens
dd_Smed_v6_14547_0_1	1864	PLDB	3.00E-75	EXO1 HEX1 hExoI	exonuclease 1	Homo sapiens
dd_Smed_v6_14586_0_1	4334	PLDB	1.00E-139	ATM AT1 ATA ATC ATD ATDC ATE TEL1 TELO1	ATM serine/threonine kinase	Homo sapiens
dd_Smed_v6_15463_0_1	3673	PLDB	0	MSH6 GTBP GTMBP HNPCC5 HSAP p160	mutS homolog 6	Homo sapiens
dd_Smed_v6_15463_0_2	2818	PLDB	0	MSH6 GTBP GTMBP HNPCC5 HSAP p160	mutS homolog 6	Homo sapiens
dd_Smed_v6_15532_0_1	2376	PLDB	0	RAD54L HR54 RAD54A hHR54 hRAD54	RAD54-like (S. cerevisiae)	Homo sapiens
dd_Smed_v6_15639_0_1	2655	PLDB	8.00E-82	ERCC4 ERCC11 FANCQ RAD1 XPF	excision repair cross-complementation group 4	Homo sapiens
dd_Smed_v6_15640_0_1	2192	PLDB	2.00E-37	PMS1 HNPCC3 PMSL1 hPMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_15678_0_1	978	PLDB	3.00E-45	HUS1 hHUS1	HUS1 checkpoint clamp component	Homo sapiens
dd_Smed_v6_15826_0_1	619	PLDB	6.00E-14	PPP4C PP4 PP4C PPH3 PPP4 PPX	"protein phosphatase 4, catalytic subunit"	Homo sapiens
dd_Smed_v6_16638_0_1	2400	PLDB	2.00E-106	BRIP1 BACH1 FANCJ OF	BRCA1 interacting protein C-terminal helicase 1	Homo sapiens
dd_Smed_v6_16724_0_1	967	PLDB	5.00E-65	RAD51C BROVCA3 FANCO R51H3 RAD51L2	RAD51 paralog C	Homo sapiens
dd_Smed_v6_16724_0_2	915	PLDB	4.00E-67	RAD51C BROVCA3 FANCO R51H3 RAD51L2	RAD51 paralog C	Homo sapiens
dd_Smed_v6_16760_0_1	2306	PLDB	1.00E-80	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_16760_0_2	2265	PLDB	1.00E-80	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_16760_0_3	2262	PLDB	9.00E-81	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_16760_0_4	2221	PLDB	1.00E-80	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_17671_0_1	949	PLDB	7.00E-23	RAD51B R51H2 RAD51L1 REC2	RAD51 paralog B	Homo sapiens
dd_Smed_v6_18101_0_1	1895	PLDB	1.00E-151	MCM9 C6orf61 MCMDC1 dJ329L24.1 dJ329L24.3	minichromosome maintenance complex component 9	Homo sapiens
dd_Smed_v6_18963_0_1	1019	PLDB	4.00E-46	YY1 DELTA INO80S NF-E1 UCRBP YIN-YANG-1	YY1 transcription factor	Homo sapiens
dd_Smed_v6_19166_0_1	1044	PLDB	5.00E-94	TOP2A TOP2 TP2A	topoisomerase (DNA) II alpha	Homo sapiens
dd_Smed_v6_20423_0_1	1669	PLDB	4.00E-49	RAD17 CCYC HRAD17 R24L RAD17SP RAD24	RAD17 checkpoint clamp loader component	Homo sapiens
dd_Smed_v6_20968_0_1	1849	PLDB	0	POLE CRCS12 FILS POLE1	"polymerase (DNA) epsilon, catalytic subunit"	Homo sapiens
dd_Smed_v6_2126_0_1	1045	PLDB	7.00E-163	PSMD14 PAD1 POH1 RPN11	"proteasome 26S subunit, non-ATPase 14"	Homo sapiens
dd_Smed_v6_22244_0_1	2543	PLDB	0	MCM8 C20orf154 dJ967N21.5	minichromosome maintenance complex component 8	Homo sapiens
dd_Smed_v6_22244_0_2	2352	PLDB	0	MCM8 C20orf154 dJ967N21.5	minichromosome maintenance complex component 8	Homo sapiens
dd_Smed_v6_2233_0_1	2408	PLDB	0	DDX1 DBP-RB UKVH5d	DEAD/H-box helicase 1	Homo sapiens
dd_Smed_v6_23954_0_1	1815	PLDB	7.00E-118	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_30393_0_1	1594	PLDB	2.00E-99	MSH5 G7 MUTSH5 NG23	mutS homolog 5	Homo sapiens
dd_Smed_v6_30393_0_2	1571	PLDB	1.00E-94	MSH5 G7 MUTSH5 NG23	mutS homolog 5	Homo sapiens
dd_Smed_v6_3342_0_1	1803	PLDB	8.00E-109	RPA1 HSSB MST075 REPA1 RF-A RP-A RPA70	replication protein A1	Homo sapiens
dd_Smed_v6_3355_0_1	3195	PLDB	0	SMARCA5 ISWI SNF2H WCRF135 hISWI hSNF2H	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"	Homo sapiens
dd_Smed_v6_34206_0_1	592	PLDB	2.00E-22	HMGB3 HMG-2a HMG-4 HMG2A HMG4	high mobility group box 3	Homo sapiens
dd_Smed_v6_3473_0_1	2835	PLDB	0	SMARCA1 ISWI NURF140 SNF2L SNF2L1 SNF2LB SNF2LT SWI SWI2	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"	Homo sapiens
dd_Smed_v6_3543_0_1	1115	PLDB	4.00E-79	UBE2B E2-17kDa HHR6B HR6B RAD6B UBC2	ubiquitin conjugating enzyme E2 B	Homo sapiens
dd_Smed_v6_36720_0_1	956	PLDB	6.00E-42	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_3968_0_1	4806	PLDB	0	SUPT6H SPT6 SPT6H emb-5	"SPT6 homolog, histone chaperone"	Homo sapiens
dd_Smed_v6_3968_0_2	4755	PLDB	0	SUPT6H SPT6 SPT6H emb-5	suppressor of Ty 6 homolog (S. cerevisiae)	Homo sapiens
dd_Smed_v6_4032_0_1	2964	PLDB	1.00E-79	RAD21 CDLS4 HR21 HRAD21 MCD1 NXP1 SCC1 hHR21	RAD21 cohesin complex component	Homo sapiens
dd_Smed_v6_40616_0_1	434	PLDB	2.00E-34	TOP3A TOP3 ZGRF7	topoisomerase (DNA) III alpha	Homo sapiens
dd_Smed_v6_4200_0_1	1610	PLDB	9.00E-17	PPP4R2 PP4R2	protein phosphatase 4 regulatory subunit 2	Homo sapiens
dd_Smed_v6_4341_0_1	822	PLDB	5.00E-21	RPA2 REPA2 RP-A p32 RP-A p34 RPA32	replication protein A2	Homo sapiens
dd_Smed_v6_43889_0_1	629	PLDB	1.00E-32	SPO11 CT35 SPATA43 TOPVIA	"SPO11, initiator of meiotic double stranded breaks"	Homo sapiens
dd_Smed_v6_45876_0_1	234	PLDB	1.00E-13	PPP4C PP4 PP4C PPH3 PPP4 PPX	"protein phosphatase 4, catalytic subunit"	Homo sapiens
dd_Smed_v6_4595_0_1	3955	PLDB	0	INO80 INO80A INOC1 hINO80	INO80 complex subunit	Homo sapiens
dd_Smed_v6_46627_0_1	949	PLDB	1.00E-95	TRIP13 16E1BP	thyroid hormone receptor interactor 13	Homo sapiens
dd_Smed_v6_4873_0_1	880	PLDB	1.00E-41	HMGB1 HMG1 HMG3 SBP-1	high mobility group box 1	Homo sapiens
dd_Smed_v6_4961_0_1	1887	PLDB	3.00E-159	MRE11A ATLD HNGS1 MRE11 MRE11B	"MRE11 homolog A, double strand break repair nuclease"	Homo sapiens
dd_Smed_v6_50057_0_1	386	PLDB	2.00E-23	PPP4C PP4 PP4C PPH3 PPP4 PPX	"protein phosphatase 4, catalytic subunit"	Homo sapiens
dd_Smed_v6_51242_0_1	244	PLDB	8.00E-18	PPP4C PP4 PP4C PPH3 PPP4 PPX	"protein phosphatase 4, catalytic subunit"	Homo sapiens
dd_Smed_v6_5198_0_1	3971	PLDB	1.00E-83	MAP3K1 MAPKKK1 MEKK MEKK 1 MEKK1 SRXY6	"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase"	Homo sapiens
dd_Smed_v6_5222_0_1	7033	PLDB	1.00E-59	ZSWIM8 KIAA0913	"zinc finger, SWIM-type containing 8"	Homo sapiens
dd_Smed_v6_55682_0_3	253	PLDB	5.00E-07	PPP4C PP4 PP4C PPH3 PPP4 PPX	"protein phosphatase 4, catalytic subunit"	Homo sapiens
dd_Smed_v6_5637_0_1	514	PLDB	2.00E-27	NABP1 OBFC2A SOSS-B2 SSB2	nucleic acid binding protein 1	Homo sapiens
dd_Smed_v6_5865_0_1	4231	PLDB	0	SMC4 CAP-C CAPC SMC-4 SMC4L1 hCAP-C	structural maintenance of chromosomes 4	Homo sapiens
dd_Smed_v6_5890_0_1	1455	PLDB	1.00E-26	MORF4L1 Eaf3 HsT17725 MEAF3 MORFRG15 MRG15 S863-6	mortality factor 4 like 1	Homo sapiens
dd_Smed_v6_5890_0_2	1443	PLDB	2.00E-26	MORF4L1 Eaf3 HsT17725 MEAF3 MORFRG15 MRG15 S863-6	mortality factor 4 like 1	Homo sapiens
dd_Smed_v6_5890_0_3	1404	PLDB	3.00E-30	MORF4L1 Eaf3 HsT17725 MEAF3 MORFRG15 MRG15 S863-6	mortality factor 4 like 1	Homo sapiens
dd_Smed_v6_5890_0_4	1392	PLDB	3.00E-30	MORF4L1 Eaf3 HsT17725 MEAF3 MORFRG15 MRG15 S863-6	mortality factor 4 like 1	Homo sapiens
dd_Smed_v6_5956_0_1	2435	PLDB	0	MCM4 CDC21 CDC54 NKCD NKGCD P1-CDC21 hCdc21	minichromosome maintenance complex component 4	Homo sapiens
dd_Smed_v6_6047_0_1	1562	PLDB	0	RBPJ AOS3 CBF1 IGKJRB IGKJRB1 KBF2 RBP-J RBPJK RBPSUH SUH csl	recombination signal binding protein for immunoglobulin kappa J region	Homo sapiens
dd_Smed_v6_6294_0_1	1873	PLDB	0	HSPD1 CPN60 GROEL HLD4 HSP-60 HSP60 HSP65 HuCHA60 SPG13	heat shock protein family D (Hsp60) member 1	Homo sapiens
dd_Smed_v6_6447_0_1	2874	PLDB	7.00E-124	MLH1 COCA2 FCC2 HNPCC HNPCC2 hMLH1	mutL homolog 1	Homo sapiens
dd_Smed_v6_6447_0_2	2324	PLDB	5.00E-151	MLH1 COCA2 FCC2 HNPCC HNPCC2 hMLH1	mutL homolog 1	Homo sapiens
dd_Smed_v6_6447_0_3	771	PLDB	3.00E-12	MLH1 COCA2 FCC2 HNPCC HNPCC2 hMLH1	mutL homolog 1	Homo sapiens
dd_Smed_v6_65108_0_1	367	PLDB	3.00E-24	UBE2N HEL-S-71 UBC13 UbcH-ben UbcH13	ubiquitin-conjugating enzyme E2N	Homo sapiens
dd_Smed_v6_6624_0_1	544	PLDB	7.00E-61	UBE2B E2-17kDa HHR6B HR6B RAD6B UBC2	ubiquitin conjugating enzyme E2 B	Homo sapiens
dd_Smed_v6_67540_0_1	472	PLDB	6.00E-19	PPP4C PP4 PP4C PPH3 PPP4 PPX	"protein phosphatase 4, catalytic subunit"	Homo sapiens
dd_Smed_v6_7281_0_1	4217	PLDB	1.00E-98	ZSWIM4	"zinc finger, SWIM-type containing 4"	Homo sapiens
dd_Smed_v6_7382_0_1	2183	PLDB	0	LIG1	"ligase I, DNA, ATP-dependent"	Homo sapiens
dd_Smed_v6_7794_0_1	9162	PLDB	2.00E-59	ZFYVE26 FYVE-CENT SPG15	"zinc finger, FYVE domain containing 26"	Homo sapiens
dd_Smed_v6_78856_0_1	203	PLDB	9.00E-11	H2AFX H2A.X H2A/X H2AX	H2A histone family member X	Homo sapiens
dd_Smed_v6_80598_0_1	250	PLDB	2.00E-09	PPP4C PP4 PP4C PPH3 PPP4 PPX	"protein phosphatase 4, catalytic subunit"	Homo sapiens
dd_Smed_v6_8206_0_1	1245	PLDB	2.00E-149	FEN1 FEN-1 MF1 RAD2	flap structure-specific endonuclease 1	Homo sapiens
dd_Smed_v6_8421_0_1	2204	PLDB	6.00E-64	XRCC5 KARP-1 KARP1 KU80 KUB2 Ku86 NFIV	X-ray repair complementing defective repair in Chinese hamster cells 5	Homo sapiens
dd_Smed_v6_8462_0_1	12532	PLDB	1.00E-98	PRKDC DNA-PKcs DNAPK DNPK1 HYRC HYRC1 XRCC7 p350	"protein kinase, DNA-activated, catalytic polypeptide"	Homo sapiens
dd_Smed_v6_8570_0_1	3495	PLDB	5.00E-123	RECQL4 RECQ4	RecQ like helicase 4	Homo sapiens
dd_Smed_v6_8626_0_1	813	PLDB	2.00E-154	RAD51 BRCC5 HRAD51 HsRad51 HsT16930 MRMV2 RAD51A RECA	RAD51 recombinase	Homo sapiens
dd_Smed_v6_8689_0_1	2427	PLDB	2.00E-149	SRBD1	S1 RNA binding domain 1	Homo sapiens
dd_Smed_v6_8890_0_1	779	PLDB	5.00E-48	YRDC DRIP3 IRIP SUA5	yrdC N6-threonylcarbamoyltransferase domain containing	Homo sapiens
dd_Smed_v6_9168_0_1	4955	PLDB	0	POLA1 NSX POLA p180	"polymerase (DNA) alpha 1, catalytic subunit"	Homo sapiens
dd_Smed_v6_9360_0_1	4634	PLDB	0	SMC1A CDLS2 DXS423E SB1.8 SMC1 SMC1L1 SMC1alpha SMCB	structural maintenance of chromosomes 1A	Homo sapiens
dd_Smed_v6_9394_0_1	848	PLDB	5.00E-33	HMGB1 HMG1 HMG3 SBP-1	high mobility group box 1	Homo sapiens
dd_Smed_v6_9619_0_1	947	PLDB	4.00E-51	ERCC1 COFS4 RAD10 UV20	excision repair cross-complementation group 1	Homo sapiens
dd_Smed_v6_9695_0_1	1205	PLDB	7.00E-143	RFC3 RFC38	replication factor C subunit 3	Homo sapiens
dd_Smed_v6_9943_0_1	2654	PLDB	9.00E-166	RAD54B RDH54	RAD54 homolog B (S. cerevisiae)	Homo sapiens
