Transcript > Id	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_11283_0_1	1236	PLDB	6.00E-30	RDH13 SDR7C3	retinol dehydrogenase 13 (all-trans/9-cis)	Homo sapiens
dd_Smed_v6_11289_0_1	5900	PLDB	0	MYO5B	myosin VB	Homo sapiens
dd_Smed_v6_11310_0_1	4798	PLDB	1.00E-92	ERBB4 ALS19 HER4 p180erbB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	Homo sapiens
dd_Smed_v6_11322_0_1	1955	PLDB	2.00E-22	MUS81 SLX3	MUS81 structure-specific endonuclease subunit	Homo sapiens
dd_Smed_v6_11322_0_2	1944	PLDB	9.00E-28	MUS81 SLX3	MUS81 structure-specific endonuclease subunit	Homo sapiens
dd_Smed_v6_11322_0_3	1907	PLDB	5.00E-25	MUS81 SLX3	MUS81 structure-specific endonuclease subunit	Homo sapiens
dd_Smed_v6_11322_0_4	1896	PLDB	7.00E-31	MUS81 SLX3	MUS81 structure-specific endonuclease subunit	Homo sapiens
dd_Smed_v6_11324_0_1	2815	PLDB	2.00E-82	ASNSD1 NBLA00058 NS3TP1	asparagine synthetase domain containing 1	Homo sapiens
dd_Smed_v6_11359_0_1	1595	PLDB	2.00E-103	CWF19L1	"CWF19-like 1, cell cycle control (S. pombe)"	Homo sapiens
dd_Smed_v6_11363_0_1	2859	PLDB	3.00E-178	LIG4	"ligase IV, DNA, ATP-dependent"	Homo sapiens
dd_Smed_v6_11363_0_2	1767	PLDB	8.00E-46	LIG4	"ligase IV, DNA, ATP-dependent"	Homo sapiens
dd_Smed_v6_1136_0_1	597	PLDB	5.00E-60	RBX1 BA554C12.1 RNF75 ROC1	ring-box 1	Homo sapiens
dd_Smed_v6_11372_0_1	1818	PLDB	8.00E-154	EYA1 BOP BOR BOS1 OFC1	EYA transcriptional coactivator and phosphatase 1	Homo sapiens
dd_Smed_v6_1140_0_1	14199	PLDB	0	DYNC1H1 DHC1 DHC1a DNCH1 DNCL DNECL DYHC Dnchc1 HL-3 SMALED1 p22	"dynein, cytoplasmic 1, heavy chain 1"	Homo sapiens
dd_Smed_v6_1140_0_2	14121	PLDB	0	DYNC1H1 DHC1 DHC1a DNCH1 DNCL DNECL DYHC Dnchc1 HL-3 SMALED1 p22	"dynein, cytoplasmic 1, heavy chain 1"	Homo sapiens
dd_Smed_v6_11417_0_1	1083	PLDB	4.00E-101	APEX1 APE APE1 APEN APEX APX HAP1 REF1	apurinic/apyrimidinic endodeoxyribonuclease 1	Homo sapiens
dd_Smed_v6_11434_0_1	2732	PLDB	0	MSH2 COCA1 FCC1 HNPCC HNPCC1 LCFS2	mutS homolog 2	Homo sapiens
dd_Smed_v6_11450_0_1	1217	PLDB	1.00E-64	MCAT FASN2C MCT MT NET62 fabD	malonyl-CoA-acyl carrier protein transacylase	Homo sapiens
dd_Smed_v6_11475_0_1	3984	PLDB	5.00E-179	RAD50 NBSLD RAD502 hRad50	RAD50 double strand break repair protein	Homo sapiens
dd_Smed_v6_11475_0_2	3931	PLDB	5.00E-149	RAD50 NBSLD RAD502 hRad50	RAD50 double strand break repair protein	Homo sapiens
dd_Smed_v6_11510_0_1	1623	PLDB	3.00E-63	GTF2H4 P52 TFB2 TFIIH	general transcription factor IIH subunit 4	Homo sapiens
dd_Smed_v6_11522_0_1	905	PLDB	5.00E-20	PHOSPHO2	"phosphatase, orphan 2"	Homo sapiens
dd_Smed_v6_11544_0_1	2746	PLDB	9.00E-61	MEN1 MEAI SCG2	menin 1	Homo sapiens
dd_Smed_v6_11546_0_1	2857	PLDB	2.00E-154	RFC1 A1 MHCBFB PO-GA RECC1 RFC RFC140	replication factor C subunit 1	Homo sapiens
dd_Smed_v6_1157_0_1	1248	PLDB	4.00E-133	SUCLG1 GALPHA MTDPS9 SUCLA1	succinate-CoA ligase alpha subunit	Homo sapiens
dd_Smed_v6_11580_0_1	1269	PLDB	1.00E-29	RNF14 ARA54 HFB30 TRIAD2	ring finger protein 14	Homo sapiens
dd_Smed_v6_11583_0_1	3261	PLDB	3.00E-160	ERCC6L PICH RAD26L	excision repair cross-complementation group 6 like	Homo sapiens
dd_Smed_v6_1167_0_1	952	PLDB	9.00E-64	CASP7 CASP-7 CMH-1 ICE-LAP3 LICE2 MCH3	caspase 7	Homo sapiens
dd_Smed_v6_11682_0_1	1511	PLDB	1.00E-66	UFSP2 C4orf20	UFM1-specific peptidase 2	Homo sapiens
dd_Smed_v6_11699_0_1	524	PLDB	6.00E-14	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_11718_0_1	3882	PLDB	5.00E-145	FANCM FAAP250 KIAA1596	Fanconi anemia complementation group M	Homo sapiens
dd_Smed_v6_11724_0_1	1421	PLDB	9.00E-40	WWOX D16S432E FOR FRA16D HHCMA56 PRO0128 SCAR12 SDR41C1 WOX1	WW domain containing oxidoreductase	Homo sapiens
dd_Smed_v6_11728_0_1	4639	PLDB	2.00E-155	AGTPBP1 CCP1 NNA1	ATP/GTP binding protein 1	Homo sapiens
dd_Smed_v6_1176_0_1	2243	PLDB	0	PSMC5 S8 SUG-1 SUG1 TBP10 TRIP1 p45 p45/SUG	"proteasome 26S subunit, ATPase 5"	Homo sapiens
dd_Smed_v6_11874_0_1	2242	PLDB	0	PPEF1 PP7 PPEF PPP7C PPP7CA	protein phosphatase with EF-hand domain 1	Homo sapiens
dd_Smed_v6_11874_0_2	2164	PLDB	0	PPEF1 PP7 PPEF PPP7C PPP7CA	protein phosphatase with EF-hand domain 1	Homo sapiens
dd_Smed_v6_1189_0_1	1767	PLDB	0	OXCT1 OXCT SCOT	3-oxoacid CoA-transferase 1	Homo sapiens
dd_Smed_v6_11904_0_1	1777	PLDB	7.00E-57	UBC HMG20	ubiquitin C	Homo sapiens
dd_Smed_v6_11908_0_1	2688	PLDB	0	HSP90B1 ECGP GP96 GRP94 HEL-S-125m HEL35 TRA1	heat shock protein 90kDa beta family member 1	Homo sapiens
dd_Smed_v6_11926_1_1	1160	PLDB	4.00E-93	TMEM62	transmembrane protein 62	Homo sapiens
dd_Smed_v6_1195_0_1	2517	PLDB	8.00E-27	SYNGR1	synaptogyrin 1	Homo sapiens
dd_Smed_v6_12021_0_1	477	PLDB	5.00E-08	GTF2H5 C6orf175 TFB5 TFIIH TGF2H5 TTD TTD-A TTDA bA120J8.2	"general transcription factor IIH, polypeptide 5"	Homo sapiens
dd_Smed_v6_12024_0_1	2246	PLDB	9.00E-70	UBASH3B STS-1 STS1 TULA-2 p70	ubiquitin associated and SH3 domain containing B	Homo sapiens
dd_Smed_v6_12050_0_1	2002	PLDB	2.00E-129	ACSS3	acyl-CoA synthetase short-chain family member 3	Homo sapiens
dd_Smed_v6_12053_0_1	3050	PLDB	2.00E-70	PIGO HPMRS2	phosphatidylinositol glycan anchor biosynthesis class O	Homo sapiens
dd_Smed_v6_12096_0_1	1162	PLDB	3.00E-33	DCLRE1C A-SCID DCLREC1C RS-SCID SCIDA SNM1C	DNA cross-link repair 1C	Homo sapiens
dd_Smed_v6_1211_0_1	1527	PLDB	3.00E-95	PNKP EIEE10 MCSZ PNK	polynucleotide kinase 3'-phosphatase	Homo sapiens
dd_Smed_v6_1211_0_2	1512	PLDB	2.00E-95	PNKP EIEE10 MCSZ PNK	polynucleotide kinase 3'-phosphatase	Homo sapiens
dd_Smed_v6_12242_0_1	1419	PLDB	1.00E-81	HS6ST1 HH15 HS6ST	heparan sulfate 6-O-sulfotransferase 1	Homo sapiens
dd_Smed_v6_12249_0_1	1743	PLDB	5.00E-50	HINFP HiNF-P MIZF ZNF743	histone H4 transcription factor	Homo sapiens
dd_Smed_v6_12261_0_1	3254	PLDB	1.00E-179	RTEL1 C20orf41 DKCA4 DKCB5 NHL RTEL	regulator of telomere elongation helicase 1	Homo sapiens
dd_Smed_v6_12329_0_1	2177	PLDB	2.00E-169	DHX8 DDX8 HRH1 PRP22 PRPF22	DEAH (Asp-Glu-Ala-His) box polypeptide 8	Homo sapiens
dd_Smed_v6_12355_0_1	2091	PLDB	5.00E-100	ACE ACE1 CD143 DCP DCP1 ICH MVCD3	angiotensin I converting enzyme	Homo sapiens
dd_Smed_v6_12390_0_1	307	PLDB	5.00E-28	RAD51 BRCC5 HRAD51 HsRad51 HsT16930 MRMV2 RAD51A RECA	RAD51 recombinase	Homo sapiens
dd_Smed_v6_12408_0_1	2906	PLDB	5.00E-65	HEXB ENC-1AS HEL-248	hexosaminidase B (beta polypeptide)	Homo sapiens
dd_Smed_v6_12419_0_1	11788	PLDB	0	MDN1	"MDN1, midasin homolog (yeast)"	Homo sapiens
dd_Smed_v6_12478_0_1	919	PLDB	9.00E-67	RAD1 HRAD1 REC1	RAD1 checkpoint DNA exonuclease	Homo sapiens
dd_Smed_v6_1247_0_1	2636	PLDB	0	PCCA	propionyl-CoA carboxylase alpha subunit	Homo sapiens
dd_Smed_v6_1250_0_1	2374	PLDB	0	AFG3L2 SCA28 SPAX5	AFG3 like matrix AAA peptidase subunit 2	Homo sapiens
dd_Smed_v6_12519_0_1	648	PLDB	5.00E-26	SSRP1 FACT FACT80 T160	structure specific recognition protein 1	Homo sapiens
dd_Smed_v6_12523_0_1	2546	PLDB	6.00E-32	AFMID FKF KF KFA	arylformamidase	Homo sapiens
dd_Smed_v6_12551_0_1	4135	PLDB	4.00E-48	BRCA2 BRCC2 BROVCA2 FACD FAD FAD1 FANCD FANCD1 GLM3 PNCA2	"breast cancer 2, early onset"	Homo sapiens
dd_Smed_v6_12568_0_1	2634	PLDB	3.00E-164	GANC	"glucosidase alpha, neutral C"	Homo sapiens
dd_Smed_v6_12570_0_1	2113	PLDB	1.00E-149	ABCB10 EST20237 M-ABC2 MTABC2	ATP binding cassette subfamily B member 10	Homo sapiens
dd_Smed_v6_12571_0_1	4477	PLDB	1.00E-32	PTK7 CCK-4 CCK4	protein tyrosine kinase 7 (inactive)	Homo sapiens
dd_Smed_v6_12573_0_1	3165	PLDB	3.00E-166	KIF28P	"kinesin family member 28, pseudogene"	Homo sapiens
dd_Smed_v6_1260_0_1	1832	PLDB	3.00E-123	TYMS HST422 TMS TS	thymidylate synthetase	Homo sapiens
dd_Smed_v6_12622_0_1	1735	PLDB	2.00E-90	MGAT1 GLCNAC-TI GLCT1 GLYT1 GNT-1 GNT-I MGAT	"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"	Homo sapiens
dd_Smed_v6_12638_0_1	3460	PLDB	1.00E-118	DNA2 DNA2L PEOA6 SCKL8 hDNA2	DNA replication helicase/nuclease 2	Homo sapiens
dd_Smed_v6_12638_0_2	3325	PLDB	2.00E-109	DNA2 DNA2L PEOA6 SCKL8 hDNA2	DNA replication helicase/nuclease 2	Homo sapiens
dd_Smed_v6_12690_0_1	1968	PLDB	4.00E-54	ASTE1	asteroid homolog 1 (Drosophila)	Homo sapiens
dd_Smed_v6_12692_0_1	1826	PLDB	5.00E-101	MPPE1 PGAP5	metallophosphoesterase 1	Homo sapiens
dd_Smed_v6_12692_0_2	1778	PLDB	3.00E-101	MPPE1 PGAP5	metallophosphoesterase 1	Homo sapiens
dd_Smed_v6_1269_0_1	1714	PLDB	9.00E-44	ENPP6 NPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6	Homo sapiens
dd_Smed_v6_12736_0_1	897	PLDB	3.00E-25	UBE2J2 NCUBE-2 NCUBE2 PRO2121	ubiquitin conjugating enzyme E2 J2	Homo sapiens
dd_Smed_v6_1276_0_1	1858	PLDB	0	PRPF19 NMP200 PRP19 PSO4 SNEV UBOX4 hPSO4	pre-mRNA processing factor 19	Homo sapiens
dd_Smed_v6_12789_0_1	1570	PLDB	6.00E-39	CHEK1 CHK1	checkpoint kinase 1	Homo sapiens
dd_Smed_v6_12797_0_1	5118	PLDB	0	DNAH10	dynein axonemal heavy chain 10	Homo sapiens
dd_Smed_v6_1279_0_1	1378	PLDB	0	PSMC4 MIP224 RPT3 S6 TBP-7 TBP7	"proteasome 26S subunit, ATPase 4"	Homo sapiens
dd_Smed_v6_12806_0_1	2574	PLDB	1.00E-51	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_10	1982	PLDB	4.00E-43	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_11	1803	PLDB	2.00E-38	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_12	1722	PLDB	2.00E-43	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_13	1333	PLDB	4.00E-84	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_14	1252	PLDB	2.00E-90	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_15	1192	PLDB	4.00E-61	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_16	1111	PLDB	1.00E-66	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_17	963	PLDB	4.00E-70	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_18	882	PLDB	3.00E-76	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_2	2493	PLDB	1.00E-56	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_20	822	PLDB	3.00E-47	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_21	741	PLDB	5.00E-53	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_3	2433	PLDB	7.00E-52	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_4	2352	PLDB	7.00E-57	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_5	2204	PLDB	5.00E-38	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_6	2173	PLDB	3.00E-52	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_7	2123	PLDB	6.00E-43	MSH4	mutS homolog 4	Homo sapiens
