Contig.primaryIdentifier	Contig.length	Contig.blastHits.score	Contig.blastHits.blastDomain.symbol	Contig.blastHits.blastDomain.description	Contig.blastHits.blastDomain.species	Contig.blastHits.blastDomain.primaryIdentifier
dd_Smed_v6_10072_0_1	2316	3.00E-48	PLEKHG5 CMTRIC DSMA4 GEF720 Syx Tech	pleckstrin homology and RhoGEF domain containing G5	Homo sapiens	NP_001252523.1
dd_Smed_v6_10074_0_1	1298	2.00E-15	NEURL2 C20orf163 OZZ OZZ-E3	neuralized E3 ubiquitin protein ligase 2	Homo sapiens	NP_001265464.1
dd_Smed_v6_10075_0_1	3368	1.00E-34	KAL1 ADMLX HH1 HHA KAL KALIG-1 KMS WFDC19	Kallmann syndrome 1 sequence	Homo sapiens	NP_000207.2
dd_Smed_v6_10078_0_1	2286	2.00E-53	FAN1 KIAA1018 KMIN MTMR15	FANCD2/FANCI-associated nuclease 1	Homo sapiens	NP_055782.3
dd_Smed_v6_10078_0_2	2243	9.00E-54	FAN1 KIAA1018 KMIN MTMR15	FANCD2/FANCI-associated nuclease 1	Homo sapiens	NP_055782.3
dd_Smed_v6_10079_0_1	1269	6.00E-94	ZMYND12	zinc finger MYND-type containing 12	Homo sapiens	NP_115633.3
dd_Smed_v6_10081_0_1	1157	1.00E-05	STX5 SED5 STX5A	syntaxin 5	Homo sapiens	NP_003155.2
dd_Smed_v6_10082_0_1	2522	1.00E-32	NVL	nuclear VCP-like	Homo sapiens	XP_006711841.1
dd_Smed_v6_10082_0_2	2180	1.00E-32	NVL	nuclear VCP-like	Homo sapiens	XP_006711841.1
dd_Smed_v6_10082_0_3	2138	1.00E-32	NVL	nuclear VCP-like	Homo sapiens	XP_006711841.1
dd_Smed_v6_10083_0_1	884	1.00E-23	CALM2 CAMII PHKD PHKD2	"calmodulin 2 (phosphorylase kinase, delta)"	Homo sapiens	NP_001734.1
dd_Smed_v6_10084_0_1	523	1.00E-49	DYNLL1 DLC1 DLC8 DNCL1 DNCLC1 LC8 LC8a PIN hdlc1	dynein light chain LC8-type 1	Homo sapiens	NP_003737.1
dd_Smed_v6_10084_0_2	491	7.00E-50	DYNLL1 DLC1 DLC8 DNCL1 DNCLC1 LC8 LC8a PIN hdlc1	dynein light chain LC8-type 1	Homo sapiens	NP_003737.1
dd_Smed_v6_10084_0_3	412	2.00E-51	DYNLL1 DLC1 DLC8 DNCL1 DNCLC1 LC8 LC8a PIN hdlc1	dynein light chain LC8-type 1	Homo sapiens	NP_003737.1
dd_Smed_v6_10084_0_4	408	5.00E-53	DYNLL1 DLC1 DLC8 DNCL1 DNCLC1 LC8 LC8a PIN hdlc1	dynein light chain LC8-type 1	Homo sapiens	NP_003737.1
dd_Smed_v6_10084_0_5	379	1.00E-51	DYNLL1 DLC1 DLC8 DNCL1 DNCLC1 LC8 LC8a PIN hdlc1	dynein light chain LC8-type 1	Homo sapiens	NP_003737.1
dd_Smed_v6_10086_0_1	2879	4.00E-58	LRRCC1 CLERC SAP2 VFL1	leucine rich repeat and coiled-coil centrosomal protein 1	Homo sapiens	XP_005251375.1
dd_Smed_v6_1008_0_1	1002	6.00E-15	RNASET2 RNASE6PL bA514O12.3	ribonuclease T2	Homo sapiens	NP_003721.2
dd_Smed_v6_10090_0_1	436	2.00E-11	GPN3 ATPBD1C	GPN-loop GTPase 3	Homo sapiens	XP_005253953.1
dd_Smed_v6_10092_0_1	1759	4.00E-68	YY1 DELTA INO80S NF-E1 UCRBP YIN-YANG-1	YY1 transcription factor	Homo sapiens	NP_003394.1
dd_Smed_v6_100930_0_1	263	8.00E-33	VCP ALS14 HEL-220 HEL-S-70 IBMPFD IBMPFD1 TERA p97	valosin containing protein	Homo sapiens	NP_009057.1
dd_Smed_v6_10093_0_1	966	7.00E-41	HMCES C3orf37	"5-hydroxymethylcytosine (hmC) binding, ES cell-specific"	Homo sapiens	NP_064572.2
dd_Smed_v6_10095_0_1	2661	1.00E-55	PIGG GPI7 LAS21 PRO4405 RLGS1930	"phosphatidylinositol glycan anchor biosynthesis, class G"	Homo sapiens	XP_005272346.1
dd_Smed_v6_10096_0_1	1521	4.00E-26	VWA9 C15orf44	von Willebrand factor A domain containing 9	Homo sapiens	NP_001129515.1
dd_Smed_v6_1009_0_1	708	8.00E-94	LIN7B LIN-7B MALS-2 MALS2 VELI2	"lin-7 homolog B, crumbs cell polarity complex component"	Homo sapiens	NP_071448.1
dd_Smed_v6_1009_1_1	1216	5.00E-42	SLC8B1 NCKX6 NCLX SLC24A6	solute carrier family 8 member B1	Homo sapiens	XP_006719670.1
dd_Smed_v6_10102_0_1	1131	8.00E-14	METTL21B FAM119B	methyltransferase like 21B	Homo sapiens	NP_056248.2
dd_Smed_v6_10107_0_1	3316	5.00E-76	MIOS	"missing oocyte, meiosis regulator, homolog (Drosophila)"	Homo sapiens	NP_061878.3
dd_Smed_v6_10108_0_1	3058	0	SKIV2L2 Dob1 KIAA0052 Mtr4 fSAP118	Ski2 like RNA helicase 2	Homo sapiens	NP_056175.3
dd_Smed_v6_10109_0_1	888	4.00E-24	ZNF660	zinc finger protein 660	Homo sapiens	NP_775929.2
dd_Smed_v6_101106_0_1	259	1.00E-26	PPP1CC PP-1G PP1C PPP1G	protein phosphatase 1 catalytic subunit gamma	Homo sapiens	NP_002701.1
dd_Smed_v6_10110_0_1	3407	4.00E-52	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens	NP_056091.1
dd_Smed_v6_10110_0_2	2344	2.00E-72	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens	NP_056091.1
dd_Smed_v6_10110_0_3	1239	1.00E-44	USP22 USP3L	ubiquitin specific peptidase 22	Homo sapiens	NP_056091.1
dd_Smed_v6_10112_0_1	6052	2.00E-68	LRP5 BMND1 EVR1 EVR4 HBM LR3 LRP-5 LRP7 OPPG OPS OPTA1 VBCH2	LDL receptor related protein 5	Homo sapiens	NP_002326.2
dd_Smed_v6_10112_0_2	2892	5.00E-23	LRP5 BMND1 EVR1 EVR4 HBM LR3 LRP-5 LRP7 OPPG OPS OPTA1 VBCH2	low density lipoprotein receptor-related protein 5	Homo sapiens	NP_001278831.1
dd_Smed_v6_10113_0_1	1793	8.00E-137	NLE1 Nle	notchless homolog 1	Homo sapiens	NP_060566.2
dd_Smed_v6_10115_0_1	4543	2.00E-38	TNK2 ACK ACK-1 ACK1 p21cdc42Hs	"tyrosine kinase, non-receptor, 2"	Homo sapiens	XP_006713531.1
dd_Smed_v6_10116_0_1	3582	4.00E-62	SHANK3 DEL22q13.3 PROSAP2 PSAP2 SCZD15 SPANK-2	SH3 and multiple ankyrin repeat domains 3	Homo sapiens	NP_277052.1
dd_Smed_v6_10116_0_2	3552	3.00E-62	SHANK3 DEL22q13.3 PROSAP2 PSAP2 SCZD15 SPANK-2	SH3 and multiple ankyrin repeat domains 3	Homo sapiens	NP_277052.1
dd_Smed_v6_10119_0_1	3645	0	BLM BS RECQ2 RECQL2 RECQL3	Bloom syndrome RecQ like helicase	Homo sapiens	NP_000048.1
dd_Smed_v6_10121_0_1	3764	3.00E-71	C20orf194	chromosome 20 open reading frame 194	Homo sapiens	XP_005260741.1
dd_Smed_v6_10123_0_1	1460	2.00E-18	IPMK	inositol polyphosphate multikinase	Homo sapiens	NP_689416.1
dd_Smed_v6_10123_0_2	1423	2.00E-22	IPMK	inositol polyphosphate multikinase	Homo sapiens	NP_689416.1
dd_Smed_v6_10123_0_3	1417	5.00E-12	IPMK	inositol polyphosphate multikinase	Homo sapiens	NP_689416.1
dd_Smed_v6_10123_0_4	1380	3.00E-15	IPMK	inositol polyphosphate multikinase	Homo sapiens	NP_689416.1
dd_Smed_v6_10124_0_1	1375	4.00E-94	LRRC6 CILD19 LRTP TSLRP	leucine rich repeat containing 6	Homo sapiens	NP_036604.2
dd_Smed_v6_10128_0_2	1482	7.00E-05	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens	XP_006716633.1
dd_Smed_v6_10128_0_4	1477	2.00E-09	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens	XP_005250984.1
dd_Smed_v6_10128_0_5	1431	7.00E-05	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens	XP_006716633.1
dd_Smed_v6_10128_0_6	1429	2.00E-12	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens	XP_005250984.1
dd_Smed_v6_10128_0_7	1426	5.00E-12	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens	XP_005250984.1
dd_Smed_v6_10128_0_8	1378	5.00E-15	MTERF3 MTERFD1	mitochondrial transcription termination factor 3	Homo sapiens	XP_005250984.1
dd_Smed_v6_10129_0_1	1277	9.00E-137	NME7 MN23H7 NDK 7 NDK7 nm23-H7	NME/NM23 family member 7	Homo sapiens	NP_037462.1
dd_Smed_v6_1012_0_1	884	4.00E-97	NSA2 CDK105 HCL-G1 HCLG1 HUSSY29 TINP1	NSA2 ribosome biogenesis homolog (S. cerevisiae)	Homo sapiens	NP_055701.1
dd_Smed_v6_10131_0_1	2375	5.00E-30	EPB41L4A EPB41L4 NBL4	erythrocyte membrane protein band 4.1 like 4A	Homo sapiens	NP_071423.3
dd_Smed_v6_10132_0_1	1788	7.00E-05	ALS2CR12	"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12"	Homo sapiens	NP_631902.2
dd_Smed_v6_10133_0_1	1675	4.00E-149	DDX18 MrDb	DEAD-box helicase 18	Homo sapiens	NP_006764.3
dd_Smed_v6_10134_0_1	1559	3.00E-11	FBXL7 FBL6 FBL7	F-box and leucine-rich repeat protein 7	Homo sapiens	NP_036436.1
dd_Smed_v6_10134_0_2	1550	3.00E-11	FBXL7 FBL6 FBL7	F-box and leucine-rich repeat protein 7	Homo sapiens	NP_036436.1
dd_Smed_v6_10136_0_1	2002	1.00E-53	LRRD1	leucine-rich repeats and death domain containing 1	Homo sapiens	NP_001155000.1
dd_Smed_v6_10140_0_1	2488	6.00E-32	CCDC170 C6orf97 bA282P11.1	coiled-coil domain containing 170	Homo sapiens	NP_079335.2
dd_Smed_v6_10140_0_2	2473	4.00E-31	CCDC170 C6orf97 bA282P11.1	coiled-coil domain containing 170	Homo sapiens	NP_079335.2
dd_Smed_v6_101414_0_1	317	7.00E-32	RPL35A DBA5 L35A	ribosomal protein L35a	Homo sapiens	NP_000987.2
dd_Smed_v6_10141_0_1	1967	4.00E-39	TMEM39A	transmembrane protein 39A	Homo sapiens	NP_060736.1
dd_Smed_v6_10141_0_2	1948	5.00E-39	TMEM39A	transmembrane protein 39A	Homo sapiens	NP_060736.1
dd_Smed_v6_10141_0_3	1915	5.00E-39	TMEM39A	transmembrane protein 39A	Homo sapiens	NP_060736.1
dd_Smed_v6_10141_0_4	1896	5.00E-39	TMEM39A	transmembrane protein 39A	Homo sapiens	NP_060736.1
dd_Smed_v6_10144_0_1	4163	7.00E-107	NEK8 JCK NEK12A NPHP9 RHPD2	NIMA related kinase 8	Homo sapiens	NP_835464.1
dd_Smed_v6_10144_0_2	4142	6.00E-107	NEK8 JCK NEK12A NPHP9 RHPD2	NIMA related kinase 8	Homo sapiens	NP_835464.1
dd_Smed_v6_10144_0_3	4033	4.00E-107	NEK8 JCK NEK12A NPHP9 RHPD2	NIMA related kinase 8	Homo sapiens	NP_835464.1
dd_Smed_v6_10144_0_4	4012	4.00E-107	NEK8 JCK NEK12A NPHP9 RHPD2	NIMA related kinase 8	Homo sapiens	NP_835464.1
dd_Smed_v6_10144_0_5	3174	9.00E-109	NEK8 JCK NEK12A NPHP9 RHPD2	NIMA related kinase 8	Homo sapiens	NP_835464.1
dd_Smed_v6_10144_0_6	3153	7.00E-109	NEK8 JCK NEK12A NPHP9 RHPD2	NIMA related kinase 8	Homo sapiens	NP_835464.1
dd_Smed_v6_10144_0_7	3044	4.00E-109	NEK8 JCK NEK12A NPHP9 RHPD2	NIMA related kinase 8	Homo sapiens	NP_835464.1
dd_Smed_v6_10144_0_8	3023	3.00E-109	NEK8 JCK NEK12A NPHP9 RHPD2	NIMA related kinase 8	Homo sapiens	NP_835464.1
dd_Smed_v6_10149_0_1	1143	1.00E-96	SPOP BTBD32 TEF2	speckle type BTB/POZ protein	Homo sapiens	NP_003554.1
dd_Smed_v6_10152_0_1	2441	8.00E-40	FOXJ1 FKHL13 HFH-4 HFH4	forkhead box J1	Homo sapiens	NP_001445.2
dd_Smed_v6_101551_0_1	226	8.00E-17	CSNK1A1 CK1 CK1a CKIa HEL-S-77p HLCDGP1 PRO2975	casein kinase 1 alpha 1	Homo sapiens	NP_001258671.1
dd_Smed_v6_10155_0_1	1241	2.00E-35	MGLL HU-K5 HUK5 MAGL MGL	monoglyceride lipase	Homo sapiens	NP_001003794.1
dd_Smed_v6_10159_0_1	1402	9.00E-50	SMPD2 ISC1 NSMASE NSMASE1	sphingomyelin phosphodiesterase 2	Homo sapiens	NP_003071.2
dd_Smed_v6_10160_0_1	1194	6.00E-33	SLC39A1 ZIP1 ZIRTL	solute carrier family 39 member 1	Homo sapiens	NP_055252.2
dd_Smed_v6_10161_0_1	1230	4.00E-25	ZCCHC6 PAPD6 TUT7	zinc finger CCHC-type containing 6	Homo sapiens	XP_005252265.1
dd_Smed_v6_10163_0_1	1688	4.00E-37	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens	NP_000928.1
dd_Smed_v6_10163_0_2	1667	1.00E-36	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens	NP_000928.1
dd_Smed_v6_10164_0_1	1537	9.00E-53	STK17A DRAK1	serine/threonine kinase 17a	Homo sapiens	NP_004751.2
dd_Smed_v6_101655_0_1	252	4.00E-43	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens	NP_000928.1
dd_Smed_v6_10167_0_1	2005	2.00E-98	STXBP2 FHL5 Hunc18b MUNC18-2 UNC18-2 UNC18B pp10122	syntaxin binding protein 2	Homo sapiens	NP_008880.2
dd_Smed_v6_1016_0_1	850	5.00E-35	TMEM258 C11orf10	transmembrane protein 258	Homo sapiens	NP_055021.1
dd_Smed_v6_1016_0_2	807	4.00E-35	TMEM258 C11orf10	transmembrane protein 258	Homo sapiens	NP_055021.1
dd_Smed_v6_10174_0_1	535	2.00E-51	ACTN2 CMD1AA	"actinin, alpha 2"	Homo sapiens	NP_001265272.1
dd_Smed_v6_10175_0_1	1185	1.00E-32	AMN1	antagonist of mitotic exit network 1 homolog	Homo sapiens	NP_001106873.1
dd_Smed_v6_10175_0_2	821	7.00E-15	AMN1	antagonist of mitotic exit network 1 homolog	Homo sapiens	NP_001106873.1
dd_Smed_v6_10180_0_1	1703	1.00E-98	WDR46 BING4 C6orf11 FP221 UTP7	WD repeat domain 46	Homo sapiens	NP_001157739.1
dd_Smed_v6_10183_0_1	1400	1.00E-107	TRNT1 CCA1 MtCCA	"tRNA nucleotidyl transferase, CCA-adding, 1"	Homo sapiens	XP_005265253.1
dd_Smed_v6_10186_0_1	2457	3.00E-79	BBS2 BBS	Bardet-Biedl syndrome 2	Homo sapiens	XP_005256138.1
dd_Smed_v6_10186_0_2	2416	3.00E-80	BBS2 BBS	Bardet-Biedl syndrome 2	Homo sapiens	XP_005256138.1
dd_Smed_v6_10186_0_3	2398	4.00E-168	BBS2 BBS	Bardet-Biedl syndrome 2	Homo sapiens	NP_114091.3
dd_Smed_v6_10186_0_4	2357	0	BBS2 BBS	Bardet-Biedl syndrome 2	Homo sapiens	NP_114091.3
dd_Smed_v6_10186_0_5	1807	2.00E-116	BBS2 BBS	Bardet-Biedl syndrome 2	Homo sapiens	NP_114091.3
dd_Smed_v6_10186_0_6	1766	2.00E-142	BBS2 BBS	Bardet-Biedl syndrome 2	Homo sapiens	XP_005256138.1
dd_Smed_v6_10188_0_1	353	3.00E-19	THNSL2 SOFAT THS2 TSH2	threonine synthase like 2	Homo sapiens	NP_001231607.1
dd_Smed_v6_10189_0_1	3117	2.00E-95	NSD1 ARA267 KMT3B SOTOS SOTOS1 STO	nuclear receptor binding SET domain protein 1	Homo sapiens	XP_005266019.1
dd_Smed_v6_101910_0_1	359	4.00E-17	PPM1B PP2C-beta-X PP2CB PP2CBETA PPC2BETAX	"protein phosphatase, Mg2 /Mn2  dependent, 1B"	Homo sapiens	NP_001028728.1
dd_Smed_v6_10191_0_1	2051	0	DNAH9 DNAH17L DNEL1 DYH9 Dnahc9 HL-20 HL20	dynein axonemal heavy chain 9	Homo sapiens	NP_004653.2
dd_Smed_v6_101932_0_1	462	1.00E-10	AVPR1A AVPR V1a AVPR1 V1aR	arginine vasopressin receptor 1A	Homo sapiens	NP_000697.1
dd_Smed_v6_10193_0_1	2060	0	TARS ThrRS	threonyl-tRNA synthetase	Homo sapiens	NP_689508.3
dd_Smed_v6_10193_0_2	1826	3.00E-144	TARS2 TARSL1 thrRS	"threonyl-tRNA synthetase 2, mitochondrial (putative)"	Homo sapiens	NP_001258824.1
dd_Smed_v6_101_0_1	502	6.00E-08	EPPIN CT71 CT72 SPINLW1 WAP7 WFDC7 dJ461P17.2	epididymal peptidase inhibitor	Homo sapiens	NP_065131.1
dd_Smed_v6_101_0_2	454	3.00E-09	EPPIN CT71 CT72 SPINLW1 WAP7 WFDC7 dJ461P17.2	epididymal peptidase inhibitor	Homo sapiens	NP_065131.1
dd_Smed_v6_101_0_3	341	6.00E-08	EPPIN CT71 CT72 SPINLW1 WAP7 WFDC7 dJ461P17.2	epididymal peptidase inhibitor	Homo sapiens	NP_065131.1
dd_Smed_v6_101_0_4	293	3.00E-09	EPPIN CT71 CT72 SPINLW1 WAP7 WFDC7 dJ461P17.2	epididymal peptidase inhibitor	Homo sapiens	NP_065131.1
dd_Smed_v6_10200_0_1	1951	2.00E-77	MDH1B RP11-95H11	malate dehydrogenase 1B	Homo sapiens	NP_001269869.1
dd_Smed_v6_10201_0_1	2274	1.00E-46	SOX5 L-SOX5 L-SOX5B L-SOX5F	SRY (sex determining region Y)-box 5	Homo sapiens	NP_821078.1
dd_Smed_v6_102081_0_1	289	4.00E-05	ARG1	arginase 1	Homo sapiens	NP_000036.2
dd_Smed_v6_10208_0_2	1983	1.00E-40	SCMH1 Scml3	sex comb on midleg homolog 1 (Drosophila)	Homo sapiens	XP_006710533.1
dd_Smed_v6_1020_0_1	1786	8.00E-123	PHKG1 PHKG	phosphorylase kinase catalytic subunit gamma 1	Homo sapiens	NP_006204.1
dd_Smed_v6_102111_0_1	266	7.00E-36	CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 H36-1 H36-2 HFL1 HFL2	complement factor H-related 1	Homo sapiens	XP_006711347.1
dd_Smed_v6_10211_0_1	1052	4.00E-20	KHDRBS2 SLM-1 SLM1 bA535F17.1	"KH domain containing, RNA binding, signal transduction associated 2"	Homo sapiens	XP_006715418.1
dd_Smed_v6_10211_0_2	946	1.00E-20	KHDRBS2 SLM-1 SLM1 bA535F17.1	"KH domain containing, RNA binding, signal transduction associated 2"	Homo sapiens	NP_689901.2
dd_Smed_v6_10212_0_1	767	3.00E-13	ANKRD45 CT117	ankyrin repeat domain 45	Homo sapiens	NP_940895.1
dd_Smed_v6_10216_0_1	1034	2.00E-49	SNAI2 SLUG SLUGH1 SNAIL2 WS2D	snail family transcriptional repressor 2	Homo sapiens	NP_003059.1
dd_Smed_v6_10218_0_1	2017	6.00E-125	SLC2A13 HMIT	solute carrier family 2 member 13	Homo sapiens	NP_443117.3
dd_Smed_v6_10218_0_2	1978	1.00E-128	SLC2A13 HMIT	solute carrier family 2 member 13	Homo sapiens	NP_443117.3
dd_Smed_v6_10219_0_1	974	2.00E-69	PAX5 ALL3 BSAP	paired box 5	Homo sapiens	NP_001267479.1
dd_Smed_v6_10223_0_1	1357	1.00E-103	ALG3 CDG1D CDGS4 D16Ertd36e NOT56L Not56	"ALG3, alpha-1,3- mannosyltransferase"	Homo sapiens	NP_005778.1
dd_Smed_v6_102256_0_1	245	9.00E-37	PPP1CB HEL-S-80p PP-1B PP1B PP1beta PPP1CD	protein phosphatase 1 catalytic subunit beta	Homo sapiens	NP_002700.1
dd_Smed_v6_10225_0_1	2111	7.00E-58	CNOT7 CAF1 Caf1a hCAF-1	"CCR4-NOT transcription complex, subunit 7"	Homo sapiens	NP_473367.2
dd_Smed_v6_10228_0_1	2896	1.00E-169	CEP104 GlyBP KIAA0562	centrosomal protein 104kDa	Homo sapiens	NP_055519.1
dd_Smed_v6_10229_0_1	2856	7.00E-12	TUBGCP6 GCP-6 GCP6 MCCRP MCPHCR	"tubulin, gamma complex associated protein 6"	Homo sapiens	NP_065194.2
dd_Smed_v6_10232_0_1	1317	4.00E-20	DXO DOM3L DOM3Z NG6 RAI1	decapping exoribonuclease	Homo sapiens	NP_005501.2
dd_Smed_v6_10235_0_1	1933	6.00E-76	TBCE HRD KCS KCS1 pac2	tubulin folding cofactor E	Homo sapiens	NP_003184.1
