Transcript_Id	Length	Source	evalue	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_10614_0_1	1407	PLDB	0	PPP2R3C C14orf10 G4-1 G5pr	protein phosphatase 2 regulatory subunit B''gamma	Homo sapiens
dd_Smed_v6_10614_0_2	1049	PLDB	2.00E-119	PPP2R3C C14orf10 G4-1 G5pr	protein phosphatase 2 regulatory subunit B''gamma	Homo sapiens
dd_Smed_v6_10646_0_1	1175	PLDB	2.00E-55	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_10670_0_1	3534	PLDB	0	ATP11B ATPIF ATPIR	"ATPase, class VI, type 11B"	Homo sapiens
dd_Smed_v6_10670_0_2	3427	PLDB	0	ATP11A ATPIH ATPIS	"ATPase, class VI, type 11A"	Homo sapiens
dd_Smed_v6_10670_0_3	3311	PLDB	0	ATP11B ATPIF ATPIR	"ATPase, class VI, type 11B"	Homo sapiens
dd_Smed_v6_10670_0_4	3204	PLDB	0	ATP11A ATPIH ATPIS	"ATPase, class VI, type 11A"	Homo sapiens
dd_Smed_v6_10674_0_1	1198	PLDB	2.00E-133	ATP2B2 PMCA2 PMCA2a PMCA2i	"ATPase, Ca   transporting, plasma membrane 2"	Homo sapiens
dd_Smed_v6_10704_0_1	1899	PLDB	3.00E-60	STK11 LKB1 PJS hLKB1	serine/threonine kinase 11	Homo sapiens
dd_Smed_v6_10704_0_2	1868	PLDB	3.00E-60	STK11 LKB1 PJS hLKB1	serine/threonine kinase 11	Homo sapiens
dd_Smed_v6_10716_0_1	3063	PLDB	3.00E-54	NOTCH1 TAN1 hN1	notch 1	Homo sapiens
dd_Smed_v6_10734_0_1	3067	PLDB	4.00E-54	RIMS2 OBOE RAB3IP3 RIM2	regulating synaptic membrane exocytosis 2	Homo sapiens
dd_Smed_v6_10737_0_1	3900	PLDB	2.00E-113	ATP10B ATPVB	"ATPase, class V, type 10B"	Homo sapiens
dd_Smed_v6_10832_0_1	2254	PLDB	0	PCSK6 PACE4 SPC4	proprotein convertase subtilisin/kexin type 6	Homo sapiens
dd_Smed_v6_1086_0_1	584	PLDB	1.00E-17	CAV3 LGMD1C LQT9 VIP-21 VIP21	caveolin 3	Homo sapiens
dd_Smed_v6_10898_0_1	1626	PLDB	6.00E-111	SLC25A24 APC1 SCAMC-1	solute carrier family 25 member 24	Homo sapiens
dd_Smed_v6_10962_0_1	8267	PLDB	5.00E-73	PKD1L2 PC1L2	polycystic kidney disease 1-like 2	Homo sapiens
dd_Smed_v6_10968_0_1	1657	PLDB	6.00E-90	P2RX4 P2X4 P2X4R	purinergic receptor P2X 4	Homo sapiens
dd_Smed_v6_11004_0_1	3017	PLDB	6.00E-92	GRIK2 EAA4 GLR6 GLUK6 GLUR6 GluK2 MRT6	glutamate ionotropic receptor kainate type subunit 2	Homo sapiens
dd_Smed_v6_11014_0_1	952	PLDB	9.00E-30	R3HDML dJ881L22.3	R3H domain containing like	Homo sapiens
dd_Smed_v6_11034_0_1	1964	PLDB	4.00E-169	HCN1 BCNG-1 BCNG1 HAC-2	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	Homo sapiens
dd_Smed_v6_11034_0_2	1754	PLDB	1.00E-169	HCN1 BCNG-1 BCNG1 HAC-2	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	Homo sapiens
dd_Smed_v6_11121_0_1	2983	PLDB	5.00E-48	SYDE2	"synapse defective 1, Rho GTPase, homolog 2 (C. elegans)"	Homo sapiens
dd_Smed_v6_11127_0_1	3607	PLDB	0	WDR66	WD repeat domain 66	Homo sapiens
dd_Smed_v6_11127_0_2	3558	PLDB	0	WDR66	WD repeat domain 66	Homo sapiens
dd_Smed_v6_11132_0_1	881	PLDB	4.00E-11	PLSCR1 MMTRA1B	phospholipid scramblase 1	Homo sapiens
dd_Smed_v6_11140_0_1	5626	PLDB	0	ASCC3 ASC1p200 HELIC1 RNAH	activating signal cointegrator 1 complex subunit 3	Homo sapiens
dd_Smed_v6_11141_0_1	2804	PLDB	2.00E-97	CAPN15 SOLH	calpain 15	Homo sapiens
dd_Smed_v6_11172_0_1	874	PLDB	1.00E-96	GCH1 DYT14 DYT5 DYT5a GCH GTP-CH-1 GTPCH1 HPABH4B	GTP cyclohydrolase 1	Homo sapiens
dd_Smed_v6_11185_0_1	1142	PLDB	5.00E-63	PSPH PSP PSPHD	phosphoserine phosphatase	Homo sapiens
dd_Smed_v6_11189_0_1	5019	PLDB	0	CC2D2A JBTS9 MKS6	coiled-coil and C2 domain containing 2A	Homo sapiens
dd_Smed_v6_11223_0_1	3838	PLDB	1.00E-66	PCDH11Y PCDH-PC PCDH22 PCDHX PCDHY	protocadherin 11 Y-linked	Homo sapiens
dd_Smed_v6_11259_0_1	3789	PLDB	2.00E-82	TRPM2 EREG1 KNP3 LTRPC2 NUDT9H NUDT9L1 TRPC7	"transient receptor potential cation channel, subfamily M, member 2"	Homo sapiens
dd_Smed_v6_11259_0_12	3684	PLDB	1.00E-91	TRPM2 EREG1 KNP3 LTRPC2 NUDT9H NUDT9L1 TRPC7	"transient receptor potential cation channel, subfamily M, member 2"	Homo sapiens
dd_Smed_v6_11259_0_17	3449	PLDB	4.00E-81	TRPM6 CHAK2 HMGX HOMG HOMG1 HSH	"transient receptor potential cation channel, subfamily M, member 6"	Homo sapiens
dd_Smed_v6_11259_0_5	3754	PLDB	4.00E-89	TRPM3 GON-2 LTRPC3 MLSN2	transient receptor potential cation channel subfamily M member 3	Homo sapiens
dd_Smed_v6_11259_0_7	3751	PLDB	4.00E-88	TRPM3 GON-2 LTRPC3 MLSN2	transient receptor potential cation channel subfamily M member 3	Homo sapiens
dd_Smed_v6_11259_0_8	3748	PLDB	2.00E-84	TRPM6 CHAK2 HMGX HOMG HOMG1 HSH	"transient receptor potential cation channel, subfamily M, member 6"	Homo sapiens
dd_Smed_v6_11287_0_1	1206	PLDB	4.00E-51	CALB2 CAB29 CAL2 CR	calbindin 2	Homo sapiens
dd_Smed_v6_11289_0_1	5900	PLDB	0	MYO5B	myosin VB	Homo sapiens
dd_Smed_v6_11327_0_1	2086	PLDB	4.00E-15	GLIPR2 C9orf19 GAPR-1 GAPR1	GLI pathogenesis related 2	Homo sapiens
dd_Smed_v6_11394_0_1	7012	PLDB	0	UNC13B MUNC13 UNC13 Unc13h2	unc-13 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_11394_0_2	6943	PLDB	0	UNC13B MUNC13 UNC13 Unc13h2	unc-13 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_11394_0_3	6830	PLDB	0	UNC13B MUNC13 UNC13 Unc13h2	unc-13 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_11394_0_4	6761	PLDB	0	UNC13B MUNC13 UNC13 Unc13h2	unc-13 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_11394_0_5	4933	PLDB	0	UNC13B MUNC13 UNC13 Unc13h2	unc-13 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_11394_0_6	4864	PLDB	0	UNC13B MUNC13 UNC13 Unc13h2	unc-13 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_11394_0_7	4751	PLDB	0	UNC13B MUNC13 UNC13 Unc13h2	unc-13 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_11394_0_8	4682	PLDB	0	UNC13B MUNC13 UNC13 Unc13h2	unc-13 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_1141_0_1	1089	PLDB	4.00E-09	PI16 CRISP9 MSMBBP PSPBP	peptidase inhibitor 16	Homo sapiens
dd_Smed_v6_11425_0_1	4345	PLDB	2.00E-164	RPGRIP1L CORS3 FTM JBTS7 MKS5 NPHP8 PPP1R134	RPGRIP1-like	Homo sapiens
dd_Smed_v6_11540_0_1	1918	PLDB	7.00E-146	CPNE8	copine 8	Homo sapiens
dd_Smed_v6_11561_0_1	1949	PLDB	0	FYN SLK SYN p59-FYN	"FYN proto-oncogene, Src family tyrosine kinase"	Homo sapiens
dd_Smed_v6_11579_0_1	3379	PLDB	5.00E-80	PCDH11X PCDH-X PCDH11 PCDHX PPP1R119	protocadherin 11 X-linked	Homo sapiens
dd_Smed_v6_11582_0_1	825	PLDB	1.00E-60	CETN3 CDC31 CEN3	centrin 3	Homo sapiens
dd_Smed_v6_11605_0_1	3444	PLDB	2.00E-62	PCDH11X PCDH-X PCDH11 PCDHX PPP1R119	protocadherin 11 X-linked	Homo sapiens
dd_Smed_v6_1161_0_1	12897	PLDB	0	HMCN1 ARMD1 FBLN6 FIBL-6 FIBL6	hemicentin 1	Homo sapiens
dd_Smed_v6_11633_0_1	3484	PLDB	2.00E-89	PCDH1 PC42 PCDH42	protocadherin 1	Homo sapiens
dd_Smed_v6_11650_0_1	2332	PLDB	2.00E-109	FZD4 CD344 EVR1 FEVR FZD4S Fz-4 Fz4 FzE4 GPCR hFz4	frizzled class receptor 4	Homo sapiens
dd_Smed_v6_11651_0_1	1572	PLDB	2.00E-85	FAM188A C10orf97 CARP DERP5 MST126 my042	"family with sequence similarity 188, member A"	Homo sapiens
dd_Smed_v6_11652_0_1	2091	PLDB	2.00E-134	PPP2R3A PPP2R3 PR130 PR72	protein phosphatase 2 regulatory subunit B''alpha	Homo sapiens
dd_Smed_v6_11653_0_1	2831	PLDB	3.00E-58	NELL2 NRP2	NEL-like 2 (chicken)	Homo sapiens
dd_Smed_v6_11695_0_1	1301	PLDB	1.00E-55	STK33	serine/threonine kinase 33	Homo sapiens
dd_Smed_v6_11725_0_1	5098	PLDB	0	CADPS CADPS1 CAPS CAPS1	Ca  -dependent secretion activator	Homo sapiens
dd_Smed_v6_11742_0_1	1401	PLDB	2.00E-10	RAB11FIP4 RAB11-FIP4	RAB11 family interacting protein 4	Homo sapiens
dd_Smed_v6_11748_0_1	1180	PLDB	7.00E-41	KCNIP2 KCHIP2	Kv channel interacting protein 2	Homo sapiens
dd_Smed_v6_1181_0_1	2702	PLDB	4.00E-58	CCAR1	cell division cycle and apoptosis regulator 1	Homo sapiens
dd_Smed_v6_1181_0_2	2633	PLDB	3.00E-58	CCAR1	cell division cycle and apoptosis regulator 1	Homo sapiens
dd_Smed_v6_11832_0_1	4715	PLDB	2.00E-89	NRXN1 Hs.22998 PTHSL2 SCZD17	neurexin 1	Homo sapiens
dd_Smed_v6_11837_0_1	3575	PLDB	9.00E-53	PCDH1 PC42 PCDH42	protocadherin 1	Homo sapiens
dd_Smed_v6_1184_0_1	1884	PLDB	0	GNB4 CMTD1F	G protein subunit beta 4	Homo sapiens
dd_Smed_v6_1184_0_2	1865	PLDB	0	GNB4 CMTD1F	G protein subunit beta 4	Homo sapiens
dd_Smed_v6_11862_0_1	2173	PLDB	8.00E-44	MINPP1 HIPER1 MINPP2 MIPP	multiple inositol-polyphosphate phosphatase 1	Homo sapiens
dd_Smed_v6_11874_0_1	2242	PLDB	0	PPEF1 PP7 PPEF PPP7C PPP7CA	protein phosphatase with EF-hand domain 1	Homo sapiens
dd_Smed_v6_11874_0_2	2164	PLDB	0	PPEF1 PP7 PPEF PPP7C PPP7CA	protein phosphatase with EF-hand domain 1	Homo sapiens
dd_Smed_v6_11876_0_1	5112	PLDB	0	JAG1 AGS AHD AWS CD339 HJ1 JAGL1	jagged 1	Homo sapiens
dd_Smed_v6_11908_0_1	2688	PLDB	0	HSP90B1 ECGP GP96 GRP94 HEL-S-125m HEL35 TRA1	heat shock protein 90kDa beta family member 1	Homo sapiens
dd_Smed_v6_11909_0_1	2012	PLDB	7.00E-82	EFHB CFAP21	"EF-hand domain family, member B"	Homo sapiens
dd_Smed_v6_11942_0_1	729	PLDB	9.00E-54	CALM2 CAMII PHKD PHKD2	"calmodulin 2 (phosphorylase kinase, delta)"	Homo sapiens
dd_Smed_v6_11948_0_1	3593	PLDB	7.00E-15	ITGA8	"integrin, alpha 8"	Homo sapiens
dd_Smed_v6_11969_0_1	1870	PLDB	4.00E-13	RAB11FIP3 CART1 Rab11-FIP3	RAB11 family interacting protein 3 (class II)	Homo sapiens
dd_Smed_v6_11969_0_2	1849	PLDB	5.00E-13	RAB11FIP3 CART1 Rab11-FIP3	RAB11 family interacting protein 3 (class II)	Homo sapiens
dd_Smed_v6_11969_0_3	1813	PLDB	5.00E-13	RAB11FIP3 CART1 Rab11-FIP3	RAB11 family interacting protein 3 (class II)	Homo sapiens
dd_Smed_v6_11976_0_1	1959	PLDB	1.00E-83	SAMD8 HEL-177 SMSr	sterile alpha motif domain containing 8	Homo sapiens
dd_Smed_v6_11981_0_1	7464	PLDB	0	UNC13B MUNC13 UNC13 Unc13h2	unc-13 homolog B (C. elegans)	Homo sapiens
dd_Smed_v6_11981_0_4	694	PLDB	7.00E-42	UNC13A Munc13-1	unc-13 homolog A (C. elegans)	Homo sapiens
dd_Smed_v6_12023_0_1	3088	PLDB	4.00E-62	PCDHGA10 PCDH-GAMMA-A10	"protocadherin gamma subfamily A, 10"	Homo sapiens
dd_Smed_v6_12026_0_1	1848	PLDB	1.00E-180	EDEM1 EDEM	ER degradation enhancing alpha-mannosidase like protein 1	Homo sapiens
dd_Smed_v6_1205_0_1	19524	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_10	19432	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_11	19414	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_12	19390	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_13	18819	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_14	18795	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_15	18777	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_16	18753	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_2	19504	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_3	19500	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_4	19482	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_5	19480	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_6	19462	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_7	19458	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_8	19456	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_1205_0_9	19438	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_12111_0_1	5012	PLDB	0	SLIT3 MEGF5 SLIL2 SLIT1 Slit-3 slit2	slit homolog 3 (Drosophila)	Homo sapiens
dd_Smed_v6_12125_0_1	1022	PLDB	8.00E-65	AURKC AIE2 AIK3 ARK3 AurC SPGF5 STK13 aurora-C	aurora kinase C	Homo sapiens
dd_Smed_v6_1213_0_1	479	PLDB	2.00E-05	CALML5 CLSP	calmodulin like 5	Homo sapiens
dd_Smed_v6_12168_0_1	2107	PLDB	4.00E-42	EFCAB7	EF-hand calcium binding domain 7	Homo sapiens
dd_Smed_v6_12169_0_1	1470	PLDB	3.00E-58	KCNN1 KCa2.1 SK1 SKCA1 hSK1	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1"	Homo sapiens
dd_Smed_v6_12186_0_1	2287	PLDB	6.00E-81	DCLK3 CLR DCAMKL3 DCDC3C DCK3	doublecortin like kinase 3	Homo sapiens
dd_Smed_v6_12243_0_1	3535	PLDB	0	SCN2A BFIC3 BFIS3 BFNIS EIEE11 HBA HBSCI HBSCII NAC2 Na(v)1.2 Nav1.2 SCN2A1 SCN2A2	"sodium channel, voltage-gated, type II, alpha subunit"	Homo sapiens
dd_Smed_v6_12275_0_1	3462	PLDB	2.00E-80	DTNA D18S892E DRP3 DTN DTN-A LVNC1	"dystrobrevin, alpha"	Homo sapiens
dd_Smed_v6_12275_0_2	3416	PLDB	2.00E-80	DTNA D18S892E DRP3 DTN DTN-A LVNC1	"dystrobrevin, alpha"	Homo sapiens
dd_Smed_v6_12275_0_3	3273	PLDB	1.00E-80	DTNA D18S892E DRP3 DTN DTN-A LVNC1	"dystrobrevin, alpha"	Homo sapiens
dd_Smed_v6_12275_0_4	3227	PLDB	1.00E-80	DTNA D18S892E DRP3 DTN DTN-A LVNC1	"dystrobrevin, alpha"	Homo sapiens
dd_Smed_v6_1230_0_1	1139	PLDB	1.00E-61	SCGN CALBL DJ501N12.8 SECRET SEGN setagin	"secretagogin, EF-hand calcium binding protein"	Homo sapiens
dd_Smed_v6_12323_0_1	1966	PLDB	7.00E-100	CPNE5 COPN5 CPN5	copine 5	Homo sapiens
dd_Smed_v6_12358_0_1	3302	PLDB	2.00E-77	KIAA0195 TMEM94	KIAA0195	Homo sapiens
dd_Smed_v6_12363_0_1	4190	PLDB	2.00E-52	SYDE2	"synapse defective 1, Rho GTPase, homolog 2 (C. elegans)"	Homo sapiens
dd_Smed_v6_1237_0_1	700	PLDB	6.00E-06	GNG7	G protein subunit gamma 7	Homo sapiens
dd_Smed_v6_1237_0_2	651	PLDB	5.00E-06	GNG7	G protein subunit gamma 7	Homo sapiens
dd_Smed_v6_12407_0_1	1889	PLDB	3.00E-155	KCND3 KCND3L KCND3S KSHIVB KV4.3 SCA19 SCA22	"potassium voltage-gated channel, Shal-related subfamily, member 3"	Homo sapiens
dd_Smed_v6_12408_0_1	2906	PLDB	5.00E-65	HEXB ENC-1AS HEL-248	hexosaminidase B (beta polypeptide)	Homo sapiens
dd_Smed_v6_12461_0_1	1471	PLDB	1.00E-58	STK33	serine/threonine kinase 33	Homo sapiens
dd_Smed_v6_12476_0_1	2647	PLDB	3.00E-176	ANKEF1 ANKRD5 dJ839B4.6	ankyrin repeat and EF-hand domain containing 1	Homo sapiens
dd_Smed_v6_12520_0_1	4530	PLDB	1.00E-136	NPHP4 POC10 SLSN4	nephronophthisis 4	Homo sapiens
dd_Smed_v6_12567_0_1	2054	PLDB	3.00E-48	RASEF RAB45	RAS and EF-hand domain containing	Homo sapiens
dd_Smed_v6_12595_0_1	2845	PLDB	5.00E-121	TRIM9 RNF91 SPRING	tripartite motif containing 9	Homo sapiens
dd_Smed_v6_12621_0_1	3427	PLDB	0	KCNH6 ERG-2 ERG2 HERG2 Kv11.2 hERG-2	potassium voltage-gated channel subfamily H member 6	Homo sapiens
dd_Smed_v6_12628_0_1	514	PLDB	9.00E-19	EFCAB11 C14orf143	EF-hand calcium binding domain 11	Homo sapiens
dd_Smed_v6_1263_0_1	1333	PLDB	0	ACTR1A ARP1 CTRN1	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"	Homo sapiens
dd_Smed_v6_12647_0_1	1873	PLDB	1.00E-20	SYT15 CHR10SYT sytXV	synaptotagmin XV	Homo sapiens
dd_Smed_v6_12659_0_1	985	PLDB	7.00E-44	SLC25A38	"solute carrier family 25, member 38"	Homo sapiens
dd_Smed_v6_12689_0_1	3096	PLDB	2.00E-99	DCLK3 CLR DCAMKL3 DCDC3C DCK3	doublecortin like kinase 3	Homo sapiens
dd_Smed_v6_12697_0_1	2743	PLDB	2.00E-41	PCDH9	protocadherin 9	Homo sapiens
dd_Smed_v6_12816_0_1	2968	PLDB	0	C2CD5 CDP138 KIAA0528	C2 calcium-dependent domain containing 5	Homo sapiens
dd_Smed_v6_12866_0_1	2900	PLDB	0	ATP2B3 CFAP39 CLA2 OPCA PMCA3 PMCA3a SCAX1	ATPase plasma membrane Ca2  transporting 3	Homo sapiens
dd_Smed_v6_12872_0_1	3358	PLDB	5.00E-63	PCDH1 PC42 PCDH42	protocadherin 1	Homo sapiens
dd_Smed_v6_12888_0_1	1957	PLDB	2.00E-41	STIM1 D11S4896E GOK IMD10 TAM	stromal interaction molecule 1	Homo sapiens
dd_Smed_v6_12895_0_1	3439	PLDB	2.00E-51	PCDH11Y PCDH-PC PCDH22 PCDHX PCDHY	protocadherin 11 Y-linked	Homo sapiens
dd_Smed_v6_12963_0_1	1506	PLDB	2.00E-21	GLIPR2 C9orf19 GAPR-1 GAPR1	GLI pathogenesis related 2	Homo sapiens
dd_Smed_v6_12977_0_1	2464	PLDB	3.00E-65	DOC2B DOC2BL	double C2 domain beta	Homo sapiens
dd_Smed_v6_12977_0_2	2462	PLDB	2.00E-65	DOC2B DOC2BL	double C2 domain beta	Homo sapiens
dd_Smed_v6_12978_0_1	2416	PLDB	1.00E-133	KCNH7 ERG3 HERG3 Kv11.3	potassium voltage-gated channel subfamily H member 7	Homo sapiens
dd_Smed_v6_12978_0_2	2368	PLDB	7.00E-134	KCNH7 ERG3 HERG3 Kv11.3	potassium voltage-gated channel subfamily H member 7	Homo sapiens
dd_Smed_v6_12978_0_3	2319	PLDB	2.00E-149	KCNH7 ERG3 HERG3 Kv11.3	potassium voltage-gated channel subfamily H member 7	Homo sapiens
dd_Smed_v6_12978_0_4	2271	PLDB	9.00E-150	KCNH7 ERG3 HERG3 Kv11.3	potassium voltage-gated channel subfamily H member 7	Homo sapiens
dd_Smed_v6_12998_0_1	3202	PLDB	5.00E-76	FGFR2 BBDS BEK BFR-1 CD332 CEK3 CFD1 ECT1 JWS K-SAM KGFR TK14 TK25	fibroblast growth factor receptor 2	Homo sapiens
dd_Smed_v6_13003_0_1	1659	PLDB	8.00E-84	CYP3A4 CP33 CP34 CYP3A CYP3A3 CYPIIIA3 CYPIIIA4 HLP NF-25 P450C3 P450PCN1	cytochrome P450 family 3 subfamily A member 4	Homo sapiens
