Transcript > Id	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_12261_0_1	3254	PLDB	1.00E-179	RTEL1 C20orf41 DKCA4 DKCB5 NHL RTEL	regulator of telomere elongation helicase 1	Homo sapiens
dd_Smed_v6_12390_0_1	307	PLDB	5.00E-28	RAD51 BRCC5 HRAD51 HsRad51 HsT16930 MRMV2 RAD51A RECA	RAD51 recombinase	Homo sapiens
dd_Smed_v6_12478_0_1	919	PLDB	9.00E-67	RAD1 HRAD1 REC1	RAD1 checkpoint DNA exonuclease	Homo sapiens
dd_Smed_v6_12519_0_1	648	PLDB	5.00E-26	SSRP1 FACT FACT80 T160	structure specific recognition protein 1	Homo sapiens
dd_Smed_v6_12551_0_1	4135	PLDB	4.00E-48	BRCA2 BRCC2 BROVCA2 FACD FAD FAD1 FANCD FANCD1 GLM3 PNCA2	"breast cancer 2, early onset"	Homo sapiens
dd_Smed_v6_1260_0_1	1832	PLDB	3.00E-123	TYMS HST422 TMS TS	thymidylate synthetase	Homo sapiens
dd_Smed_v6_12638_0_1	3460	PLDB	1.00E-118	DNA2 DNA2L PEOA6 SCKL8 hDNA2	DNA replication helicase/nuclease 2	Homo sapiens
dd_Smed_v6_12690_0_1	1968	PLDB	4.00E-54	ASTE1	asteroid homolog 1 (Drosophila)	Homo sapiens
dd_Smed_v6_1276_0_1	1858	PLDB	0	PRPF19 NMP200 PRP19 PSO4 SNEV UBOX4 hPSO4	pre-mRNA processing factor 19	Homo sapiens
dd_Smed_v6_12789_0_1	1570	PLDB	6.00E-39	CHEK1 CHK1	checkpoint kinase 1	Homo sapiens
dd_Smed_v6_12806_0_1	2574	PLDB	1.00E-51	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_10	1982	PLDB	4.00E-43	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_11	1803	PLDB	2.00E-38	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_12	1722	PLDB	2.00E-43	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_13	1333	PLDB	4.00E-84	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_14	1252	PLDB	2.00E-90	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_15	1192	PLDB	4.00E-61	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_16	1111	PLDB	1.00E-66	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_17	963	PLDB	4.00E-70	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_18	882	PLDB	3.00E-76	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_2	2493	PLDB	1.00E-56	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_20	822	PLDB	3.00E-47	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_21	741	PLDB	5.00E-53	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_3	2433	PLDB	7.00E-52	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_4	2352	PLDB	7.00E-57	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_5	2204	PLDB	5.00E-38	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_6	2173	PLDB	3.00E-52	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_7	2123	PLDB	6.00E-43	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_8	2092	PLDB	2.00E-57	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_9	2063	PLDB	3.00E-38	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12881_0_1	4172	PLDB	7.00E-21	FANCD2 FA-D2 FA4 FACD FAD FAD2 FANCD	"Fanconi anemia, complementation group D2"	Homo sapiens
dd_Smed_v6_12962_0_1	1274	PLDB	3.00E-18	TDP2 AD022 EAP2 EAPII TTRAP dJ30M3.3 hTDP2	tyrosyl-DNA phosphodiesterase 2	Homo sapiens
dd_Smed_v6_12966_0_1	3475	PLDB	0	POLD1 CDC2 CRCS10 MDPL POLD	"polymerase (DNA) delta 1, catalytic subunit"	Homo sapiens
dd_Smed_v6_13054_0_1	3639	PLDB	0	POLD1 CDC2 CRCS10 MDPL POLD	"polymerase (DNA) delta 1, catalytic subunit"	Homo sapiens
dd_Smed_v6_13557_0_1	4195	PLDB	0	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_13895_0_1	954	PLDB	4.00E-34	LOC101929864	structure-specific endonuclease subunit SLX1-like	Homo sapiens
dd_Smed_v6_13980_0_1	4923	PLDB	0	POLE CRCS12 FILS POLE1	"polymerase (DNA) epsilon, catalytic subunit"	Homo sapiens
dd_Smed_v6_14064_0_1	3668	PLDB	0	TOP2A TOP2 TP2A	topoisomerase (DNA) II alpha	Homo sapiens
dd_Smed_v6_14064_0_3	1874	PLDB	0	TOP2A TOP2 TP2A	topoisomerase (DNA) II alpha	Homo sapiens
dd_Smed_v6_14064_0_5	1695	PLDB	6.00E-158	TOP2A TOP2 TP2A	topoisomerase (DNA) II alpha	Homo sapiens
dd_Smed_v6_14121_0_1	1198	PLDB	7.00E-44	RAD9A RAD9	RAD9 checkpoint clamp component A	Homo sapiens
dd_Smed_v6_14127_0_1	773	PLDB	1.00E-37	TDG hTDG	thymine-DNA glycosylase	Homo sapiens
dd_Smed_v6_14134_0_1	1198	PLDB	1.00E-70	CDK1 CDC2 CDC28A P34CDC2	cyclin-dependent kinase 1	Homo sapiens
dd_Smed_v6_1445_0_1	2163	PLDB	0	TRAP1 HSP 75 HSP75 HSP90L TRAP-1	TNF receptor associated protein 1	Homo sapiens
dd_Smed_v6_1445_0_2	1234	PLDB	2.00E-101	TRAP1 HSP 75 HSP75 HSP90L TRAP-1	TNF receptor-associated protein 1	Homo sapiens
dd_Smed_v6_14471_0_1	1168	PLDB	3.00E-55	OGG1 HMMH HOGG1 MUTM OGH1	8-oxoguanine DNA glycosylase	Homo sapiens
dd_Smed_v6_14471_0_2	1123	PLDB	6.00E-59	OGG1 HMMH HOGG1 MUTM OGH1	8-oxoguanine DNA glycosylase	Homo sapiens
dd_Smed_v6_14547_0_1	1864	PLDB	3.00E-75	EXO1 HEX1 hExoI	exonuclease 1	Homo sapiens
dd_Smed_v6_14586_0_1	4334	PLDB	1.00E-139	ATM AT1 ATA ATC ATD ATDC ATE TEL1 TELO1	ATM serine/threonine kinase	Homo sapiens
dd_Smed_v6_14737_0_1	2906	PLDB	6.00E-41	TOPBP1 TOP2BP1	topoisomerase (DNA) II binding protein 1	Homo sapiens
dd_Smed_v6_15463_0_1	3673	PLDB	0	MSH6 GTBP GTMBP HNPCC5 HSAP p160	mutS homolog 6	Homo sapiens
dd_Smed_v6_15463_0_2	2818	PLDB	0	MSH6 GTBP GTMBP HNPCC5 HSAP p160	mutS homolog 6	Homo sapiens
dd_Smed_v6_15524_0_1	697	PLDB	9.00E-31	BRIP1 BACH1 FANCJ OF	BRCA1 interacting protein C-terminal helicase 1	Homo sapiens
dd_Smed_v6_15532_0_1	2376	PLDB	0	RAD54L HR54 RAD54A hHR54 hRAD54	RAD54-like (S. cerevisiae)	Homo sapiens
dd_Smed_v6_15639_0_1	2655	PLDB	8.00E-82	ERCC4 ERCC11 FANCQ RAD1 XPF	excision repair cross-complementation group 4	Homo sapiens
dd_Smed_v6_15639_0_2	2615	PLDB	6.00E-82	ERCC4 ERCC11 FANCQ RAD1 XPF	excision repair cross-complementation group 4	Homo sapiens
dd_Smed_v6_15640_0_1	2192	PLDB	2.00E-37	PMS1 HNPCC3 PMSL1 hPMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_15678_0_1	978	PLDB	3.00E-45	HUS1 hHUS1	HUS1 checkpoint clamp component	Homo sapiens
dd_Smed_v6_1568_0_1	892	PLDB	4.00E-83	UNG DGU HIGM4 HIGM5 UDG UNG1 UNG15 UNG2	uracil DNA glycosylase	Homo sapiens
dd_Smed_v6_15723_0_1	1360	PLDB	2.00E-45	EEPD1 HSPC107	endonuclease/exonuclease/phosphatase family domain containing 1	Homo sapiens
dd_Smed_v6_15756_0_1	5128	PLDB	2.00E-27	TOPBP1 TOP2BP1	topoisomerase (DNA) II binding protein 1	Homo sapiens
dd_Smed_v6_15910_0_1	796	PLDB	2.00E-08	RECQL RECQL1 RecQ1	RecQ like helicase	Homo sapiens
dd_Smed_v6_161_0_1	1059	PLDB	6.00E-82	RPLP0 L10E LP0 P0 PRLP0 RPP0	ribosomal protein lateral stalk subunit P0	Homo sapiens
dd_Smed_v6_1626_0_2	4926	PLDB	0	TOP2B TOPIIB top2beta	topoisomerase (DNA) II beta	Homo sapiens
dd_Smed_v6_1626_0_3	4868	PLDB	0	TOP2B TOPIIB top2beta	topoisomerase (DNA) II beta	Homo sapiens
dd_Smed_v6_16638_0_1	2400	PLDB	2.00E-106	BRIP1 BACH1 FANCJ OF	BRCA1 interacting protein C-terminal helicase 1	Homo sapiens
dd_Smed_v6_16724_0_1	967	PLDB	5.00E-65	RAD51C BROVCA3 FANCO R51H3 RAD51L2	RAD51 paralog C	Homo sapiens
dd_Smed_v6_1672_0_1	1140	PLDB	1.00E-94	UCHL5 CGI-70 INO80R UCH-L5 UCH37	ubiquitin C-terminal hydrolase L5	Homo sapiens
dd_Smed_v6_16760_0_1	2306	PLDB	1.00E-80	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_16760_0_2	2265	PLDB	1.00E-80	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_16760_0_3	2262	PLDB	9.00E-81	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_16760_0_4	2221	PLDB	1.00E-80	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_16802_0_1	1809	PLDB	2.00E-75	POLE2 DPE2	"polymerase (DNA) epsilon 2, accessory subunit"	Homo sapiens
dd_Smed_v6_1692_0_1	7530	PLDB	7.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_10	6773	PLDB	6.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_11	6748	PLDB	6.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_12	6728	PLDB	6.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_13	6703	PLDB	6.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_14	6683	PLDB	6.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_15	6658	PLDB	6.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_18	6488	PLDB	5.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_2	7485	PLDB	7.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_20	6443	PLDB	5.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_21	6398	PLDB	5.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_3	7440	PLDB	7.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_4	7245	PLDB	6.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_5	7200	PLDB	7.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_6	7155	PLDB	6.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_7	7033	PLDB	6.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_8	6988	PLDB	6.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_1692_0_9	6943	PLDB	6.00E-41	MRPS5 MRP-S5 S5mt	mitochondrial ribosomal protein S5	Homo sapiens
dd_Smed_v6_170_0_1	530	PLDB	3.00E-63	RPS16 S16	ribosomal protein S16	Homo sapiens
dd_Smed_v6_17671_0_1	949	PLDB	7.00E-23	RAD51B R51H2 RAD51L1 REC2	RAD51 paralog B	Homo sapiens
dd_Smed_v6_176_0_1	451	PLDB	6.00E-80	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_17704_0_1	2953	PLDB	1.00E-179	CHD1L ALC1 CHDL	chromodomain helicase DNA binding protein 1-like	Homo sapiens
dd_Smed_v6_18101_0_1	1895	PLDB	1.00E-151	MCM9 C6orf61 MCMDC1 dJ329L24.1 dJ329L24.3	minichromosome maintenance complex component 9	Homo sapiens
dd_Smed_v6_1847_0_1	4477	PLDB	0	USP7 HAUSP TEF1	ubiquitin specific peptidase 7 (herpes virus-associated)	Homo sapiens
dd_Smed_v6_18488_0_1	983	PLDB	3.00E-14	RRM2B MTDPS8A MTDPS8B P53R2	ribonucleotide reductase M2 B (TP53 inducible)	Homo sapiens
dd_Smed_v6_18657_0_1	1803	PLDB	3.00E-25	XRCC1 RCC	X-ray repair complementing defective repair in Chinese hamster cells 1	Homo sapiens
dd_Smed_v6_1879_0_1	2284	PLDB	0	GFM1 COXPD1 EFG EFG1 EFGM EGF1 GFM hEFG1	"G elongation factor, mitochondrial 1"	Homo sapiens
dd_Smed_v6_18961_0_1	1169	PLDB	3.00E-104	RECQL RECQL1 RecQ1	RecQ like helicase	Homo sapiens
dd_Smed_v6_19166_0_1	1044	PLDB	5.00E-94	TOP2A TOP2 TP2A	topoisomerase (DNA) II alpha	Homo sapiens
dd_Smed_v6_1920_0_1	975	PLDB	2.00E-112	PCNA	proliferating cell nuclear antigen	Homo sapiens
dd_Smed_v6_1950_0_1	877	PLDB	8.00E-45	XPA XP1 XPAC	"xeroderma pigmentosum, complementation group A"	Homo sapiens
dd_Smed_v6_1965_0_1	6315	PLDB	0	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_2001_0_1	708	PLDB	3.00E-18	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_20243_0_1	252	PLDB	1.00E-28	RPS27A CEP80 HEL112 S27A UBA80 UBC UBCEP1 UBCEP80	ribosomal protein S27a	Homo sapiens
dd_Smed_v6_20320_0_1	2047	PLDB	2.00E-61	POLQ POLH PRO0327	"polymerase (DNA directed), theta"	Homo sapiens
dd_Smed_v6_20423_0_1	1669	PLDB	4.00E-49	RAD17 CCYC HRAD17 R24L RAD17SP RAD24	RAD17 checkpoint clamp loader component	Homo sapiens
dd_Smed_v6_20968_0_1	1849	PLDB	0	POLE CRCS12 FILS POLE1	"polymerase (DNA) epsilon, catalytic subunit"	Homo sapiens
dd_Smed_v6_2121_0_1	1061	PLDB	3.00E-78	STUB1 CHIP HSPABP2 NY-CO-7 SCAR16 SDCCAG7 UBOX1	STIP1 homology and U-box containing protein 1	Homo sapiens
dd_Smed_v6_2182_0_1	3684	PLDB	0	POLR2B POL2RB RPB2 hRPB140 hsRPB2	"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa"	Homo sapiens
dd_Smed_v6_21882_0_1	920	PLDB	3.00E-68	CDK1 CDC2 CDC28A P34CDC2	cyclin-dependent kinase 1	Homo sapiens
dd_Smed_v6_22244_0_1	2543	PLDB	0	MCM8 C20orf154 dJ967N21.5	minichromosome maintenance complex component 8	Homo sapiens
dd_Smed_v6_2265_0_1	4222	PLDB	3.00E-96	HSP90B1 ECGP GP96 GRP94 HEL-S-125m HEL35 TRA1	heat shock protein 90kDa beta family member 1	Homo sapiens
dd_Smed_v6_226_0_1	872	PLDB	4.00E-96	RPS2 LLREP3 S2	ribosomal protein S2	Homo sapiens
dd_Smed_v6_2348_0_1	1322	PLDB	2.00E-65	MRPS9 MRP-S9 RPMS9 S9mt	mitochondrial ribosomal protein S9	Homo sapiens
dd_Smed_v6_23954_0_1	1815	PLDB	7.00E-118	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_2490_0_1	725	PLDB	6.00E-09	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_2525_0_1	7037	PLDB	3.00E-105	TRIP12 TRIP-12 ULF	thyroid hormone receptor interactor 12	Homo sapiens
dd_Smed_v6_2547_0_1	1546	PLDB	0	RUVBL2 ECP51 INO80J REPTIN RVB2 TIH2 TIP48 TIP49B	RuvB-like AAA ATPase 2	Homo sapiens
dd_Smed_v6_25683_0_1	443	PLDB	3.00E-10	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_25803_0_1	1411	PLDB	5.00E-72	SPRTN C1orf124 DDDL1880 DVC1 PRO4323 Spartan dJ876B10.3	SprT-like N-terminal domain	Homo sapiens
dd_Smed_v6_2595_0_1	3660	PLDB	0	SUPT16H CDC68 FACTP140 SPT16/CDC68	suppressor of Ty 16 homolog (S. cerevisiae)	Homo sapiens
dd_Smed_v6_2611_0_1	1926	PLDB	2.00E-104	PARP3 ADPRT3 ADPRTL2 ADPRTL3 ARTD3 IRT1 PADPRT-3	"poly (ADP-ribose) polymerase family, member 3"	Homo sapiens
dd_Smed_v6_26342_0_1	1010	PLDB	3.00E-17	POLN POL4P	polymerase (DNA) nu	Homo sapiens
dd_Smed_v6_2689_0_1	1354	PLDB	5.00E-26	NUDT18 MTH3	nudix hydrolase 18	Homo sapiens
dd_Smed_v6_26924_0_1	926	PLDB	2.00E-20	HINFP HiNF-P MIZF ZNF743	histone H4 transcription factor	Homo sapiens
dd_Smed_v6_269_0_1	845	PLDB	7.00E-109	RPS3 S3	ribosomal protein S3	Homo sapiens
dd_Smed_v6_2720_0_1	239	PLDB	2.00E-12	POLR2K ABC10-alpha RPABC4 RPB10alpha RPB12 RPB7.0 hRPB7.0 hsRPB10a	polymerase (RNA) II subunit K	Homo sapiens
dd_Smed_v6_27497_0_1	1064	PLDB	7.00E-96	CDK2 CDKN2 p33(CDK2)	cyclin-dependent kinase 2	Homo sapiens
dd_Smed_v6_2772_0_1	2082	PLDB	6.00E-82	TTC5 Strap	tetratricopeptide repeat domain 5	Homo sapiens
dd_Smed_v6_2794_0_1	1622	PLDB	2.00E-149	ACTL6A ACTL6 ARPN-BETA Arp4 BAF53A INO80K	actin like 6A	Homo sapiens
dd_Smed_v6_2907_0_1	3409	PLDB	0	MORC2 ZCW3 ZCWCC1	MORC family CW-type zinc finger 2	Homo sapiens
dd_Smed_v6_3017_0_1	1311	PLDB	8.00E-67	RAD23A HHR23A HR23A	"RAD23 homolog A, nucleotide excision repair protein"	Homo sapiens
dd_Smed_v6_30393_0_1	1594	PLDB	2.00E-99	MSH5 G7 MUTSH5 NG23	mutS homolog 5	Homo sapiens
dd_Smed_v6_30393_0_2	1571	PLDB	1.00E-94	MSH5 G7 MUTSH5 NG23	mutS homolog 5	Homo sapiens
dd_Smed_v6_3084_0_1	1488	PLDB	4.00E-106	GALK2 GK2	galactokinase 2	Homo sapiens
dd_Smed_v6_3085_0_1	1250	PLDB	4.00E-08	USP3 SIH003 UBP	ubiquitin specific peptidase 3	Homo sapiens
dd_Smed_v6_3110_0_1	4824	PLDB	0	ERCC6 ARMD5 CKN2 COFS COFS1 CSB RAD26 UVSS1	excision repair cross-complementation group 6	Homo sapiens
dd_Smed_v6_31502_0_1	1046	PLDB	2.00E-119	CDK1 CDC2 CDC28A P34CDC2	cyclin-dependent kinase 1	Homo sapiens
dd_Smed_v6_32569_0_1	916	PLDB	2.00E-90	POLR2C RPB3 RPB31 hRPB33 hsRPB3	polymerase (RNA) II subunit C	Homo sapiens
dd_Smed_v6_325_0_1	866	PLDB	1.00E-65	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_3342_0_1	1803	PLDB	8.00E-109	RPA1 HSSB MST075 REPA1 RF-A RP-A RPA70	replication protein A1	Homo sapiens
dd_Smed_v6_338_0_1	437	PLDB	8.00E-12	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_3463_0_1	3143	PLDB	0	XRN2	5'-3' exoribonuclease 2	Homo sapiens
dd_Smed_v6_3490_0_1	1491	PLDB	0	RUVBL1 ECP54 INO80H NMP238 PONTIN Pontin52 RVB1 TIH1 TIP49 TIP49A	RuvB-like AAA ATPase 1	Homo sapiens
dd_Smed_v6_3539_0_1	473	PLDB	2.00E-34	POLR2F HRBP14.4 POLRF RPABC2 RPB14.4 RPB6	polymerase (RNA) II (DNA directed) polypeptide F	Homo sapiens
dd_Smed_v6_3543_0_1	1115	PLDB	4.00E-79	UBE2B E2-17kDa HHR6B HR6B RAD6B UBC2	ubiquitin conjugating enzyme E2 B	Homo sapiens
