transcript_id	transcript_length	transcript_source	evalue	score_type	symbol	blast_description	blast_symbol	target_species
dd_Smed_v6_10248_0_1	3156	PLDB	4.00E-12	e-value	NP_733822.1	lamin A/C	LMNA CDCD1 CDDC CMD1A CMT2B1 EMD2 FPL FPLD FPLD2 HGPS IDC LDP1 LFP LGMD1B LMN1 LMNC LMNL1 PRO1	Homo sapiens
dd_Smed_v6_10273_0_1	2723	PLDB	1.00E-41	e-value	NP_056292.1	SIN3 transcription regulator family member A	SIN3A	Homo sapiens
dd_Smed_v6_102795_0_1	286	PLDB	3.00E-19	e-value	NP_001257405.1	"protein phosphatase 2, regulatory subunit B', delta"	PPP2R5D B56D	Homo sapiens
dd_Smed_v6_10293_0_1	911	PLDB	2.00E-45	e-value	NP_004459.2	four and a half LIM domains 3	FHL3 SLIM2	Homo sapiens
dd_Smed_v6_103336_0_1	267	PLDB	2.00E-52	e-value	NP_005596.2	protein phosphatase 3 catalytic subunit gamma	PPP3CC CALNA3 CNA3 PP2Bgamma	Homo sapiens
dd_Smed_v6_1035_1_1	5651	PLDB	7.00E-46	e-value	NP_005179.2	Cbl proto-oncogene	CBL C-CBL CBL2 FRA11B NSLL RNF55	Homo sapiens
dd_Smed_v6_103690_0_1	221	PLDB	2.00E-37	e-value	NP_001280142.1	"tubulin, beta class I"	TUBB CDCBM6 M40 OK/SW-cl.56 TUBB1 TUBB5	Homo sapiens
dd_Smed_v6_10380_0_1	3931	PLDB	2.00E-84	e-value	NP_734465.2	unc-5 homolog B (C. elegans)	UNC5B UNC5H2 p53RDL1	Homo sapiens
dd_Smed_v6_10380_0_2	3554	PLDB	3.00E-84	e-value	NP_734465.2	unc-5 homolog B (C. elegans)	UNC5B UNC5H2 p53RDL1	Homo sapiens
dd_Smed_v6_10386_0_1	874	PLDB	4.00E-10	e-value	NP_005441.1	noggin	NOG SYM1 SYNS1	Homo sapiens
dd_Smed_v6_1038_0_1	940	PLDB	4.00E-119	e-value	NP_002625.1	prohibitin	PHB HEL-215 HEL-S-54e PHB1	Homo sapiens
dd_Smed_v6_10394_0_1	1942	PLDB	1.00E-33	e-value	NP_003027.1	SKI proto-oncogene	SKI SGS SKV	Homo sapiens
dd_Smed_v6_104002_0_1	213	PLDB	2.00E-16	e-value	NP_009193.2	Parkinsonism associated deglycase	PARK7 DJ-1 DJ1 HEL-S-67p	Homo sapiens
dd_Smed_v6_10406_0_1	3994	PLDB	3.00E-37	e-value	XP_006711408.1	discoidin domain receptor tyrosine kinase 2	DDR2 MIG20a NTRKR3 TKT TYRO10	Homo sapiens
dd_Smed_v6_10415_0_1	2052	PLDB	9.00E-20	e-value	NP_001122092.1	p21 (RAC1) activated kinase 1	PAK1 PAKalpha	Homo sapiens
dd_Smed_v6_10424_0_1	1744	PLDB	5.00E-28	e-value	NP_004611.1	TNF receptor associated factor 6	TRAF6 MGC:3310 RNF85	Homo sapiens
dd_Smed_v6_10427_0_1	2580	PLDB	6.00E-30	e-value	XP_005251975.1	"nuclear receptor subfamily 6, group A, member 1"	NR6A1 CT150 GCNF GCNF1 NR61 RTR hGCNF hRTR	Homo sapiens
dd_Smed_v6_10450_0_1	748	PLDB	3.00E-16	e-value	NP_653183.2	testis expressed 261	TEX261 TEG-261	Homo sapiens
dd_Smed_v6_10454_0_1	2772	PLDB	2.00E-36	e-value	NP_001135906.1	meningioma expressed antigen 5 (hyaluronidase)	MGEA5 MEA5 NCOAT OGA	Homo sapiens
dd_Smed_v6_10569_0_1	1602	PLDB	5.00E-05	e-value	NP_001186356.1	TNF receptor associated factor 3	TRAF3 CAP-1 CAP1 CD40bp CRAF1 IIAE5 LAP1	Homo sapiens
dd_Smed_v6_10576_0_1	1847	PLDB	0	e-value	NP_872270.1	"pyruvate kinase, muscle"	PKM CTHBP HEL-S-30 OIP3 PK3 PKM2 TCB THBP1	Homo sapiens
dd_Smed_v6_10585_0_1	3399	PLDB	7.00E-75	e-value	NP_543148.2	unc-5 homolog D (C. elegans)	UNC5D PRO34692 Unc5h4	Homo sapiens
dd_Smed_v6_10624_0_1	4838	PLDB	5.00E-69	e-value	XP_005246433.1	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	ERBB4 ALS19 HER4 p180erbB4	Homo sapiens
dd_Smed_v6_10704_0_1	1899	PLDB	3.00E-60	e-value	XP_005259675.1	serine/threonine kinase 11	STK11 LKB1 PJS hLKB1	Homo sapiens
dd_Smed_v6_10708_0_1	1537	PLDB	4.00E-24	e-value	XP_005246951.1	caspase 8	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	Homo sapiens
dd_Smed_v6_10708_0_2	1292	PLDB	1.00E-24	e-value	XP_005246951.1	caspase 8	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	Homo sapiens
dd_Smed_v6_10724_0_1	1735	PLDB	6.00E-59	e-value	NP_689991.1	major facilitator superfamily domain containing 8	MFSD8 CLN7	Homo sapiens
dd_Smed_v6_10730_0_1	3101	PLDB	1.00E-59	e-value	NP_734465.2	unc-5 homolog B (C. elegans)	UNC5B UNC5H2 p53RDL1	Homo sapiens
dd_Smed_v6_10730_0_2	3053	PLDB	2.00E-59	e-value	NP_001231818.1	unc-5 netrin receptor B	UNC5B UNC5H2 p53RDL1	Homo sapiens
dd_Smed_v6_10802_0_1	4577	PLDB	3.00E-53	e-value	NP_055791.1	programmed cell death 11	PDCD11 ALG-4 ALG4 NFBP RRP5	Homo sapiens
dd_Smed_v6_10824_0_1	1574	PLDB	5.00E-52	e-value	NP_116274.3	autophagy related 4D cysteine peptidase	ATG4D APG4-D APG4D AUTL4	Homo sapiens
dd_Smed_v6_1082_0_1	1467	PLDB	4.00E-33	e-value	NP_001158229.1	nitric oxide synthase 1 adaptor protein	NOS1AP 6330408P19Rik CAPON	Homo sapiens
dd_Smed_v6_10835_0_2	5096	PLDB	0	e-value	NP_066187.2	"ankyrin 2, neuronal"	ANK2 ANK-2 LQT4 brank-2	Homo sapiens
dd_Smed_v6_10835_0_3	2329	PLDB	2.00E-134	e-value	XP_006714253.1	"ankyrin 2, neuronal"	ANK2 ANK-2 LQT4 brank-2	Homo sapiens
dd_Smed_v6_10848_0_1	1812	PLDB	1.00E-110	e-value	NP_001014834.1	p21 (RAC1) activated kinase 4	PAK4	Homo sapiens
dd_Smed_v6_10863_0_1	1310	PLDB	6.00E-75	e-value	NP_031401.1	TAR DNA binding protein	TARDBP ALS10 TDP-43	Homo sapiens
dd_Smed_v6_10869_0_1	1362	PLDB	2.00E-135	e-value	NP_037534.3	fatty acid desaturase 1	FADS1 D5D FADS6 FADSD5 LLCDL1 TU12	Homo sapiens
dd_Smed_v6_10883_0_1	1775	PLDB	5.00E-34	e-value	XP_005246951.1	caspase 8	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	Homo sapiens
dd_Smed_v6_10894_0_1	1287	PLDB	1.00E-21	e-value	NP_004856.1	TATA-box binding protein like 1	TBPL1 MGC:8389 MGC:9620 STUD TLF TLP TRF2	Homo sapiens
dd_Smed_v6_10921_0_1	1888	PLDB	4.00E-37	e-value	NP_003027.1	SKI proto-oncogene	SKI SGS SKV	Homo sapiens
dd_Smed_v6_10924_0_1	1844	PLDB	1.00E-65	e-value	XP_005264584.1	TIA1 cytotoxic granule-associated RNA binding protein	TIA1 TIA-1 WDM	Homo sapiens
dd_Smed_v6_10952_0_1	714	PLDB	7.00E-28	e-value	NP_000135.2	frataxin	FXN CyaY FA FARR FRDA X25	Homo sapiens
dd_Smed_v6_1095_0_1	1301	PLDB	3.00E-27	e-value	NP_002120.1	high mobility group box 2	HMGB2 HMG2	Homo sapiens
dd_Smed_v6_10962_0_1	8267	PLDB	5.00E-73	e-value	NP_001265354.1	polycystic kidney disease 1-like 2	PKD1L2 PC1L2	Homo sapiens
dd_Smed_v6_10966_0_1	2455	PLDB	0	e-value	NP_003574.1	dual specificity tyrosine phosphorylation regulated kinase 2	DYRK2	Homo sapiens
dd_Smed_v6_10968_0_1	1657	PLDB	6.00E-90	e-value	NP_002551.2	purinergic receptor P2X 4	P2RX4 P2X4 P2X4R	Homo sapiens
dd_Smed_v6_1096_0_1	733	PLDB	4.00E-62	e-value	NP_000260.1	NME/NM23 nucleoside diphosphate kinase 1	NME1 AWD GAAD NB NBS NDKA NDPK-A NDPKA NM23 NM23-H1	Homo sapiens
dd_Smed_v6_10990_0_1	2298	PLDB	1.00E-118	e-value	NP_001034485.1	macrophage expressed 1	MPEG1 MPG1 MPS1 Mpg-1	Homo sapiens
dd_Smed_v6_11004_0_1	3017	PLDB	6.00E-92	e-value	NP_068775.1	glutamate ionotropic receptor kainate type subunit 2	GRIK2 EAA4 GLR6 GLUK6 GLUR6 GluK2 MRT6	Homo sapiens
dd_Smed_v6_11022_0_1	1647	PLDB	8.00E-06	e-value	XP_005255433.1	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	RRN3 A-270G1.2 TIFIA	Homo sapiens
dd_Smed_v6_11024_0_1	3081	PLDB	3.00E-80	e-value	NP_075252.2	fibroblast growth factor receptor 4	FGFR4 CD334 JTK2 TKF	Homo sapiens
dd_Smed_v6_11024_0_2	2948	PLDB	2.00E-80	e-value	NP_075252.2	fibroblast growth factor receptor 4	FGFR4 CD334 JTK2 TKF	Homo sapiens
dd_Smed_v6_11070_0_1	1469	PLDB	1.00E-21	e-value	NP_003004.1	secreted frizzled related protein 2	SFRP2 FRP-2 SARP1 SDF-5	Homo sapiens
dd_Smed_v6_1107_0_1	3197	PLDB	0	e-value	NP_003325.2	ubiquitin-like modifier activating enzyme 1	UBA1 A1S9 A1S9T A1ST AMCX1 GXP1 POC20 SMAX2 UBA1A UBE1 UBE1X	Homo sapiens
dd_Smed_v6_11088_0_2	1149	PLDB	1.00E-09	e-value	NP_001278341.1	SON DNA binding protein	SON BASS1 C21orf50 DBP-5 NREBP SON3	Homo sapiens
dd_Smed_v6_11090_0_1	672	PLDB	7.00E-68	e-value	XP_006714933.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	DDX41 ABS	Homo sapiens
dd_Smed_v6_11100_0_1	1104	PLDB	7.00E-16	e-value	NP_066961.2	TNF receptor associated factor 2	TRAF2 MGC:45012 TRAP TRAP3	Homo sapiens
dd_Smed_v6_1110_0_1	1951	PLDB	4.00E-36	e-value	XP_006711587.1	TNF receptor-associated factor 5	TRAF5 MGC:39780 RNF84	Homo sapiens
dd_Smed_v6_11132_0_1	881	PLDB	4.00E-11	e-value	XP_005247595.1	phospholipid scramblase 1	PLSCR1 MMTRA1B	Homo sapiens
dd_Smed_v6_11193_0_1	1497	PLDB	2.00E-17	e-value	XP_005263328.1	"caspase 6, apoptosis-related cysteine peptidase"	CASP6 MCH2	Homo sapiens
dd_Smed_v6_11193_0_2	1298	PLDB	6.00E-08	e-value	XP_005246951.1	caspase 8	CASP8 ALPS2B CAP4 Casp-8 FLICE MACH MCH5	Homo sapiens
dd_Smed_v6_11265_0_1	1381	PLDB	3.00E-112	e-value	NP_001777.1	cyclin-dependent kinase 1	CDK1 CDC2 CDC28A P34CDC2	Homo sapiens
dd_Smed_v6_11271_0_1	2267	PLDB	2.00E-49	e-value	NP_004217.1	serine/threonine kinase 17b	STK17B DRAK2	Homo sapiens
dd_Smed_v6_11280_0_1	2134	PLDB	8.00E-23	e-value	XP_005271759.1	kin of IRRE like 3 (Drosophila)	KIRREL3 KIRRE MRD4 NEPH2 PRO4502	Homo sapiens
dd_Smed_v6_112_0_1	607	PLDB	1.00E-08	e-value	NP_005498.1	cofilin 1 (non-muscle)	CFL1 CFL HEL-S-15	Homo sapiens
dd_Smed_v6_11310_0_1	4798	PLDB	1.00E-92	e-value	NP_005226.1	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	ERBB4 ALS19 HER4 p180erbB4	Homo sapiens
dd_Smed_v6_11320_0_1	1636	PLDB	0	e-value	NP_000781.1	dopa decarboxylase	DDC AADC	Homo sapiens
dd_Smed_v6_11354_0_1	1735	PLDB	2.00E-07	e-value	NP_004611.1	TNF receptor associated factor 6	TRAF6 MGC:3310 RNF85	Homo sapiens
dd_Smed_v6_11357_0_1	787	PLDB	1.00E-46	e-value	NP_008839.2	"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	RAC1 Rac-1 TC-25 p21-Rac1	Homo sapiens
dd_Smed_v6_1135_0_1	1731	PLDB	0	e-value	NP_000099.2	dihydrolipoamide dehydrogenase	DLD DLDD DLDH E3 GCSL LAD PHE3	Homo sapiens
dd_Smed_v6_11363_0_1	2859	PLDB	3.00E-178	e-value	NP_002303.2	"ligase IV, DNA, ATP-dependent"	LIG4	Homo sapiens
dd_Smed_v6_11370_0_1	1547	PLDB	6.00E-125	e-value	NP_149017.2	Bardet-Biedl syndrome 4	BBS4	Homo sapiens
dd_Smed_v6_11372_0_1	1818	PLDB	8.00E-154	e-value	NP_001275504.1	EYA transcriptional coactivator and phosphatase 1	EYA1 BOP BOR BOS1 OFC1	Homo sapiens
dd_Smed_v6_1140_0_1	14199	PLDB	0	e-value	NP_001367.2	"dynein, cytoplasmic 1, heavy chain 1"	DYNC1H1 DHC1 DHC1a DNCH1 DNCL DNECL DYHC Dnchc1 HL-3 SMALED1 p22	Homo sapiens
dd_Smed_v6_11417_0_1	1083	PLDB	4.00E-101	e-value	XP_005267639.1	apurinic/apyrimidinic endodeoxyribonuclease 1	APEX1 APE APE1 APEN APEX APX HAP1 REF1	Homo sapiens
dd_Smed_v6_11434_0_1	2732	PLDB	0	e-value	NP_000242.1	mutS homolog 2	MSH2 COCA1 FCC1 HNPCC HNPCC1 LCFS2	Homo sapiens
dd_Smed_v6_11453_0_1	1686	PLDB	5.00E-94	e-value	XP_006721881.1	lysine acetyltransferase 2A	KAT2A GCN5 GCN5L2 PCAF-b hGCN5	Homo sapiens
dd_Smed_v6_11492_0_1	2595	PLDB	2.00E-68	e-value	XP_005263286.1	jade family PHD finger 1	JADE1 PHF17	Homo sapiens
dd_Smed_v6_1149_0_1	3106	PLDB	0	e-value	NP_002798.2	"proteasome 26S subunit, non-ATPase 1"	PSMD1 P112 Rpn2 S1	Homo sapiens
dd_Smed_v6_11544_0_1	2746	PLDB	9.00E-61	e-value	NP_570711.1	menin 1	MEN1 MEAI SCG2	Homo sapiens
dd_Smed_v6_11561_0_1	1949	PLDB	0	e-value	NP_002028.1	"FYN proto-oncogene, Src family tyrosine kinase"	FYN SLK SYN p59-FYN	Homo sapiens
dd_Smed_v6_11562_0_1	984	PLDB	8.00E-08	e-value	NP_001186356.1	TNF receptor associated factor 3	TRAF3 CAP-1 CAP1 CD40bp CRAF1 IIAE5 LAP1	Homo sapiens
dd_Smed_v6_11594_0_1	1695	PLDB	3.00E-37	e-value	NP_001090.2	"acid phosphatase, prostate"	ACPP 5'-NT ACP-3 ACP3	Homo sapiens
dd_Smed_v6_11598_0_1	1437	PLDB	6.00E-132	e-value	NP_001139628.1	glycogen synthase kinase 3 beta	GSK3B	Homo sapiens
dd_Smed_v6_11651_0_1	1572	PLDB	2.00E-85	e-value	NP_079224.1	"family with sequence similarity 188, member A"	FAM188A C10orf97 CARP DERP5 MST126 my042	Homo sapiens
dd_Smed_v6_11674_0_1	2064	PLDB	2.00E-131	e-value	NP_001258973.1	ribosomal protein S6 kinase B1	RPS6KB1 PS6K S6K S6K-beta-1 S6K1 STK14A p70 S6KA p70(S6K)-alpha p70-S6K p70-alpha	Homo sapiens
dd_Smed_v6_1167_0_1	952	PLDB	9.00E-64	e-value	NP_001253987.1	caspase 7	CASP7 CASP-7 CMH-1 ICE-LAP3 LICE2 MCH3	Homo sapiens
dd_Smed_v6_11693_0_1	2214	PLDB	8.00E-115	e-value	NP_005985.3	T-box 2	TBX2	Homo sapiens
dd_Smed_v6_11699_0_1	524	PLDB	6.00E-14	e-value	XP_005260108.1	ubiquitin A-52 residue ribosomal protein fusion product 1	UBA52 CEP52 HUBCEP52 L40 RPL40	Homo sapiens
dd_Smed_v6_11708_0_1	1691	PLDB	4.00E-05	e-value	NP_003045.2	solute carrier family 18 member A2	SLC18A2 SVAT SVMT VAT2 VMAT2	Homo sapiens
dd_Smed_v6_11724_0_1	1421	PLDB	9.00E-40	e-value	NP_057457.1	WW domain containing oxidoreductase	WWOX D16S432E FOR FRA16D HHCMA56 PRO0128 SCAR12 SDR41C1 WOX1	Homo sapiens
dd_Smed_v6_11728_0_1	4639	PLDB	2.00E-155	e-value	XP_005251906.1	ATP/GTP binding protein 1	AGTPBP1 CCP1 NNA1	Homo sapiens
dd_Smed_v6_1176_0_1	2243	PLDB	0	e-value	NP_001186092.1	"proteasome 26S subunit, ATPase 5"	PSMC5 S8 SUG-1 SUG1 TBP10 TRIP1 p45 p45/SUG	Homo sapiens
dd_Smed_v6_1180_0_1	4538	PLDB	0	e-value	NP_006247.1	protein kinase N2	PKN2 PAK2 PRK2 PRKCL2 PRO2042 Pak-2 STK7	Homo sapiens
dd_Smed_v6_1181_0_1	2702	PLDB	4.00E-58	e-value	NP_060707.2	cell division cycle and apoptosis regulator 1	CCAR1	Homo sapiens
dd_Smed_v6_11823_0_1	2367	PLDB	0	e-value	NP_003459.2	frizzled class receptor 5	FZD5 C2orf31 HFZ5	Homo sapiens
dd_Smed_v6_11870_0_1	1714	PLDB	0	e-value	NP_005989.3	chaperonin containing TCP1 subunit 3	CCT3 CCT-gamma CCTG PIG48 TCP-1-gamma TRIC5	Homo sapiens
dd_Smed_v6_11903_0_1	1848	PLDB	9.00E-30	e-value	NP_775954.2	XK related 6	XKR6 C8orf21 C8orf5 C8orf7 XRG6	Homo sapiens
dd_Smed_v6_11903_0_2	1683	PLDB	2.00E-29	e-value	NP_775954.2	XK related 6	XKR6 C8orf21 C8orf5 C8orf7 XRG6	Homo sapiens
dd_Smed_v6_11904_0_1	1777	PLDB	7.00E-57	e-value	NP_066289.3	ubiquitin C	UBC HMG20	Homo sapiens
dd_Smed_v6_11908_0_1	2688	PLDB	0	e-value	NP_003290.1	heat shock protein 90kDa beta family member 1	HSP90B1 ECGP GP96 GRP94 HEL-S-125m HEL35 TRA1	Homo sapiens
dd_Smed_v6_11948_0_1	3593	PLDB	7.00E-15	e-value	NP_001278423.1	"integrin, alpha 8"	ITGA8	Homo sapiens
dd_Smed_v6_1196_0_1	2558	PLDB	2.00E-115	e-value	NP_060711.2	transmembrane protein 184C	TMEM184C TMEM34	Homo sapiens
dd_Smed_v6_11982_0_1	881	PLDB	8.00E-37	e-value	NP_291028.3	TP53 regulating kinase	TP53RK BUD32 C20orf64 Nori-2 Nori-2p PRPK dJ101A2	Homo sapiens
dd_Smed_v6_1198_0_1	1703	PLDB	1.00E-123	e-value	NP_001011553.2	septin 7	SEPT7 CDC10 CDC3 NBLA02942 SEPT7A	Homo sapiens
dd_Smed_v6_12059_0_1	2068	PLDB	9.00E-16	e-value	NP_001341.1	death-domain associated protein	DAXX BING2 DAP6 EAP1	Homo sapiens
dd_Smed_v6_12059_0_2	2020	PLDB	6.00E-18	e-value	NP_001341.1	death-domain associated protein	DAXX BING2 DAP6 EAP1	Homo sapiens
dd_Smed_v6_12059_0_3	2019	PLDB	1.00E-15	e-value	NP_001341.1	death-domain associated protein	DAXX BING2 DAP6 EAP1	Homo sapiens
dd_Smed_v6_12059_0_4	2005	PLDB	9.00E-20	e-value	NP_001241646.1	death-domain associated protein	DAXX BING2 DAP6 EAP1	Homo sapiens
dd_Smed_v6_12059_0_5	1971	PLDB	5.00E-18	e-value	NP_001241646.1	death-domain associated protein	DAXX BING2 DAP6 EAP1	Homo sapiens
dd_Smed_v6_12059_0_6	1957	PLDB	6.00E-22	e-value	NP_001241646.1	death-domain associated protein	DAXX BING2 DAP6 EAP1	Homo sapiens
dd_Smed_v6_12059_0_7	1956	PLDB	8.00E-20	e-value	NP_001241646.1	death-domain associated protein	DAXX BING2 DAP6 EAP1	Homo sapiens
dd_Smed_v6_12059_0_8	1908	PLDB	6.00E-22	e-value	NP_001241646.1	death-domain associated protein	DAXX BING2 DAP6 EAP1	Homo sapiens
dd_Smed_v6_12091_0_1	1962	PLDB	3.00E-117	e-value	NP_149985.2	tigger transposable element derived 7	TIGD7 Sancho	Homo sapiens
dd_Smed_v6_12091_0_2	1947	PLDB	3.00E-117	e-value	NP_149985.2	tigger transposable element derived 7	TIGD7 Sancho	Homo sapiens
dd_Smed_v6_12091_0_3	1946	PLDB	3.00E-117	e-value	NP_149985.2	tigger transposable element derived 7	TIGD7 Sancho	Homo sapiens
dd_Smed_v6_12091_0_4	1931	PLDB	2.00E-117	e-value	NP_149985.2	tigger transposable element derived 7	TIGD7 Sancho	Homo sapiens
dd_Smed_v6_12118_0_1	2787	PLDB	2.00E-38	e-value	XP_005271759.1	kin of IRRE like 3 (Drosophila)	KIRREL3 KIRRE MRD4 NEPH2 PRO4502	Homo sapiens
dd_Smed_v6_12119_1_2	1916	PLDB	4.00E-172	e-value	NP_003574.1	dual specificity tyrosine phosphorylation regulated kinase 2	DYRK2	Homo sapiens
dd_Smed_v6_12132_0_1	540	PLDB	4.00E-33	e-value	NP_005784.1	NME/NM23 nucleoside diphosphate kinase 6	NME6 IPIA-ALPHA NDK 6 NM23-H6	Homo sapiens
dd_Smed_v6_12166_0_1	2275	PLDB	4.00E-53	e-value	NP_004751.2	serine/threonine kinase 17a	STK17A DRAK1	Homo sapiens
dd_Smed_v6_1221_0_1	2319	PLDB	4.00E-23	e-value	NP_001014436.1	drebrin like	DBNL ABP1 HIP-55 HIP55 SH3P7	Homo sapiens
dd_Smed_v6_12222_0_1	3238	PLDB	3.00E-76	e-value	NP_036367.2	SREBF chaperone	SCAP	Homo sapiens
dd_Smed_v6_12229_0_1	3100	PLDB	5.00E-48	e-value	NP_002126.2	"nuclear receptor subfamily 4, group A, member 1"	NR4A1 GFRP1 HMR N10 NAK-1 NGFIB NP10 NUR77 TR3	Homo sapiens
dd_Smed_v6_12240_0_1	2678	PLDB	1.00E-51	e-value	NP_001034439.1	dipeptidyl-peptidase 6	DPP6 DPPX VF2	Homo sapiens
dd_Smed_v6_12243_0_1	3535	PLDB	0	e-value	XP_005246813.1	"sodium channel, voltage-gated, type II, alpha subunit"	SCN2A BFIC3 BFIS3 BFNIS EIEE11 HBA HBSCI HBSCII NAC2 Na(v)1.2 Nav1.2 SCN2A1 SCN2A2	Homo sapiens
dd_Smed_v6_12262_0_1	833	PLDB	8.00E-11	e-value	NP_005441.1	noggin	NOG SYM1 SYNS1	Homo sapiens
dd_Smed_v6_12275_0_1	3462	PLDB	2.00E-80	e-value	NP_001383.2	"dystrobrevin, alpha"	DTNA D18S892E DRP3 DTN DTN-A LVNC1	Homo sapiens
dd_Smed_v6_12275_0_2	3416	PLDB	2.00E-80	e-value	NP_001383.2	"dystrobrevin, alpha"	DTNA D18S892E DRP3 DTN DTN-A LVNC1	Homo sapiens
dd_Smed_v6_12275_0_3	3273	PLDB	1.00E-80	e-value	NP_001383.2	"dystrobrevin, alpha"	DTNA D18S892E DRP3 DTN DTN-A LVNC1	Homo sapiens
dd_Smed_v6_12275_0_4	3227	PLDB	1.00E-80	e-value	NP_001383.2	"dystrobrevin, alpha"	DTNA D18S892E DRP3 DTN DTN-A LVNC1	Homo sapiens
dd_Smed_v6_1231_0_1	1143	PLDB	4.00E-74	e-value	NP_002801.1	"proteasome 26S subunit, non-ATPase 4"	PSMD4 AF AF-1 ASF MCB1 Rpn10 S5A pUB-R5	Homo sapiens
dd_Smed_v6_12355_0_1	2091	PLDB	5.00E-100	e-value	NP_690043.1	angiotensin I converting enzyme	ACE ACE1 CD143 DCP DCP1 ICH MVCD3	Homo sapiens
dd_Smed_v6_1235_0_1	918	PLDB	3.00E-104	e-value	NP_002783.1	"proteasome (prosome, macropain) subunit, alpha type, 7"	PSMA7 C6 HSPC RC6-1 XAPC7	Homo sapiens
dd_Smed_v6_12371_0_1	1358	PLDB	0	e-value	NP_003874.2	histone deacetylase 3	HDAC3 HD3 RPD3 RPD3-2	Homo sapiens
dd_Smed_v6_12408_0_1	2906	PLDB	5.00E-65	e-value	NP_000512.1	hexosaminidase B (beta polypeptide)	HEXB ENC-1AS HEL-248	Homo sapiens
dd_Smed_v6_1241_0_1	747	PLDB	4.00E-91	e-value	NP_002786.2	proteasome subunit beta 3	PSMB3 HC10-II	Homo sapiens
dd_Smed_v6_12425_0_1	888	PLDB	3.00E-15	e-value	NP_005247.1	growth arrest specific 2	GAS2	Homo sapiens
dd_Smed_v6_12427_0_1	782	PLDB	6.00E-28	e-value	NP_001157285.1	chromosome 10 open reading frame 2	C10orf2 ATXN8 IOSCA MTDPS7 PEO PEO1 PEOA3 SANDO SCA8 TWINL	Homo sapiens
dd_Smed_v6_12432_0_1	3166	PLDB	7.00E-33	e-value	XP_006711408.1	discoidin domain receptor tyrosine kinase 2	DDR2 MIG20a NTRKR3 TKT TYRO10	Homo sapiens
dd_Smed_v6_1250_0_1	2374	PLDB	0	e-value	NP_006787.2	AFG3 like matrix AAA peptidase subunit 2	AFG3L2 SCA28 SPAX5	Homo sapiens
